Tweet,Nilai
"BPOM: 71,4 Persen Relawan Uji Vaksin Nusantara Alami Kejadian Tak Diinginkan https://t.co/KDbC0pRoG5",Tidak Percaya
BPOM Menyoal Vaksin Nusantara: Produksi Tak Steril hingga Peneliti Tak Berizin – Kumparan https://t.co/ELSjKhltgn,Tidak Percaya
"Berdasar fatwa MU dan Ijtihad para ulama vaksin ini aman dan bisa disuntikkan kepada masyarakat yang sedang berpuasa. 

Karena tidak membatalkan puasa. Yuk vaksinasi https://t.co/MHOcRhbZzc",Percaya
"@yunartowijaya Emang ada vaksin yang sudah di ujicoba secara klinis?
Atau kita lah kelinci percobaannya?",Tidak Percaya
"Dalam Fikih syafi'iyah juga dijelaskan jika Vaksin Aman saat berpuasa. Tidak membatalkan puasa atau merusak puasa kita.

Yang dapat giliran jangan ragu lagi yaa untuk vaksinasi https://t.co/dfFSx2oFrk",Percaya
"Oke kita bahas satu-satu ya.
Pertama, vaksin kan disuntikkan ke dalam tubuh bukan di bagian yang terbuka. Vaksin juga bukan makanan dan minuman, jadi vaksin aman dilakukan selama puasa Ramadan https://t.co/sAvEB3z7co",Percaya
@jswngchan ngk mau suntik silikon..suntik vaksin aja gw takut,Tidak Percaya
Vaksinasi justru malah memperkuat imun kita karena puasa berfungsi sebagai detoksifikasi. Hal ini membuat vaksin aman saat berpuasa dan fungsinya malah lebih bekerja efektif. https://t.co/7JmJzNh2vS,Percaya
"MUI Jawa Timur juga memastikan jika vaksinasi di bulan puasa ini tidak batalkan puasa.
Dengan begitu jelas kan, vaksin aman, dengan landasan yang jelas https://t.co/pszbc9Z2V4",Percaya
"Bapak @jokowi saya bingung ttg Vaksin covid. Apakah vaksin aman atau tdk? Kenapa setelah divaksin orang meninggal? Bukannya sebelum divaksin itu dicek terlebih dahulu oleh tenaga medis? Dan orang yg mau divaksin sdh bilang memiliki byk penyakit, knp tenaga medis tdk menolak?",Tidak Percaya
BPOM konsisten menyatakan penelitian vaksin Nusantara tidak sesuai standar mulai dari produksinya yang tidak steril hingga peneliti tak berizin. #kumparanNEWS https://t.co/CtlC4mVG0V,Tidak Percaya
"Aneh..
Nyawanya pada ada berapa dah berani banget divaksin dengan barang yang tidak berizin BPOM.
Kosmetik aja bahaya kalo ga ada izin BPOM..ini vaksin loh https://t.co/RuK7IWHJ4D",Tidak Percaya
"Ayo jangan takut dan ragu untuk di vaksin, Karena vaksin covid-19 itu aman dan halal. https://t.co/w90sk6caOC",Percaya
Hari ini nyokap vaksin ke 2👏👏👏,Percaya
"Haduh minggu depan vaksin, agak serem ya🥲",Tidak Percaya
"@ponxx2020papua Makin matang aja nih persiapan PON, sampe mikir vaksin ke masyarakat sekitar vanue, aku sih setuju",Percaya
vaksin tu juga buat jadi bahan politik. bodo punya orang,Tidak Percaya
@fadlizon Hehehe vaksin yg malah bikin banyk org mati itu juga melawan populasi kan yah gmana mnurut bapak?,Tidak Percaya
jadi kalo ada yg takut puasanya batal karena vaksin.. kasih tahu aja fatwa no. 13 (2021)dari MUI kalo disuntik vaksin aman walaupun dalam keadaan berpuasa. https://t.co/enRD47gdMJ,Percaya
"@drpriono1 @jokowi @DPR_RI @KemenristekBRIN @KemenkesRI apapun itu vaksinnya,jujur atau bohongan tetap saja rakyat harus mau divaksin.terutama bagi mereka dibawah tekanan kantor yg wajib vaksin.bagaimana cara menolaknya?",Tidak Percaya
@KompasTV @BossTemlen Siapa yg bs menjamin semua vaksin??!!!!,Tidak Percaya
"Selain di Surabaya, pemkot DKI Jakarta juga memastikan program vaksinasi Covid-19 di Jakarta tetap berjalan sesuai jadwal meskipun penerima vaksin sedang menjalankan ibadah puasa. 

Vaksin Aman menjadi hal penting ditengah banyak keraguan dari masyarakat https://t.co/0gObcFHvh0",Percaya
Selain adanya fatwa vaksin aman saat berpuasa (ga membatalkan puasa) ada fatwa test swab juga aman untuk yg berpuasa https://t.co/7z9g22BhZL,Percaya
"Dapat jadwal vaksin pas puasa Ramadan? nanti batal gak sih puasanya? Tenang aja gaes menurut fatwa MUI vaksin aman dan gak bikin puasa kalian jadi batal.

THREAD https://t.co/ga0IuMBfvX",Percaya
@KompasTV Emang klian bisa mnjamin keamanan vaksin China?,Tidak Percaya
"Vaksin aman, vaksinasi bisa dilakukan, tentunya memperhatikan kondisi kesehatan. https://t.co/sSPXnBvX8u",Percaya
"Hal ini diperkuat dengan dikeluarkannya Fatwa Majelis Ulama Indonesia Nomor 13 tahun 2021 yang menyatakan bahwa Vaksinasi Covid 19 tidak merusak puasa umat Islam Indonesia.

Vaksin Aman Ibadah Nyaman. https://t.co/BBQGhHlB5v",Percaya
Bahagia itu ktk selesai mengantar ibuk (80) yg sudah merampungkan kewajibannya dua kali vaksin #COVID19,Percaya
Pemerintah daerah diminta juga ikut mensosialisasikan hal terkait Vaksin Aman ini. Terutama mengenai ibadah puasa. Sebagai contoh Pemkot Surabaya bersama MUI setempat saat ini gencar mengadakan sosialisasi mengenai kegiatan vaksinasi di Bulan Ramadhan https://t.co/SOKB2nNRbs,Percaya
@BudiGSadikin Ibuk saya usia 80 alhamdulillah sudah dua kali vaksin. Tidak ada kendala dan tambah sehat lahir batin,Percaya
"@liputan6dotcom kalo setengah"" mending gak usah buat vaksin buat beli nasi padang aja penambah imun👍😋🔨",Tidak Percaya
"Sekalipun vaksinasi siang hari, ngga masalah kok.
Kan kita udah tahu persis, vaksin aman, ibadah puasa engga batal. https://t.co/WIZUUCndyC",Percaya
"(1/5) Uji sinovac unt fase 1 &amp; 2 sdh dilak di Tiongkok. Kita laks uji fase 3 dg 1600 rlwn pd Agt 2020. Hslnya, tk efikasi sktr 65%, di atas standard WHO 50%. BPOM sdh klrkan ijin. Tp kita ttp ragu, smp minta Pres divaksin duluan 😅 https://t.co/2gZ3oEi92w",Tidak Percaya
"Tetapi kemarin adikku yang sudah di vaksin smp 2 kali karena sedang tugas sama sekali tidak ada efek samping, jadi vaksin aman - aman aja",Percaya
"Kepastian vaksin aman ini, untuk menghilangkan keraguan masyarakat.
Dengan vaksinasi yang semakin merata, kita berharap herd immunity lekas tercapai.
Pastinya semua pengin kondisi normal kembali",Percaya
"Nah ini bahasan MUN mingdep, ada urgensi utk bikin vaksin Covid cm ternyata keamanan dalam pembuatannya tidak terjamin

Lah ngaco https://t.co/h5PEGWm0A6",Tidak Percaya
"Pro Kontra Vaksin Nusantara, Epidemiolog Minta Pemerintah Stop Lakukan Uji Klinis https://t.co/0Vh9DFHzAA",Tidak Percaya
