Tweet,Nilai,,Tidak Percaya,Percaya,,,
"Ayo vaksin, lawan Covid-19 dengan Vaksinasi 

@divisihumaspolri #polripresisi #poldasulsel https://t.co/1fG1RgCOQt",Percaya,,,,,,
"Ini klaim ngawur. BPOM blum pernah memberi izin uji klinis fase II.

Baca: ""Tidak ada izin uji klinik fase II yang dikeluarkan oleh BPOM untuk vaksin Nusantara,"" kata Rizka saat dihubungiÂ CNNIndonesia, Rabu (14/4). https://t.co/mp4v1GGygJ https://t.co/LS4k5sbE2a",Tidak Percaya,,,,,,
"Vaksin aman selama puasa, Cairan yang dimaksudkan ke dalam tubuh melalui penyuntikan itu tidak membatalkan puasa. Hal itu merupakan proses pengobatan untuk mengakhiri pandemi ini. https://t.co/s8sMcMvDpL",Percaya,,,,,,
"BPOM menyebut ada banyak temuan dari uji klinis sebelumnya yang belum dibereskan oleh tim peneliti Vaksin Nusantara, salah satunya soal sterilitas dalam pembuatan vaksin.

https://t.co/EHHa4inDh3",Tidak Percaya,,,,,,
"@gheaprativi Sehat2 ya kaa, semoga bisa cepet vaksin",Percaya,,,,,,
"Vaksin kedua, done~ https://t.co/k26fyBwlwZ",Percaya,,,,,,
Denmark menyetop permanen vaksinasi AstraZeneca karena memicu pembekuan darah. Bagaimana nasibnya di Indonesia? Begini kata Kemenkes RI. https://t.co/PQJvUIpltA,Tidak Percaya,,,,,,
"Awal Puasa, 1970Â  Warga Karanganyar Terima Vaksin Dosis Kedua https://t.co/fqb8Qal3Lr",Percaya,,,,,,
"Ayo vaksin, lawan Covid-19 dengan Vaksinasi 

@divisihumaspolri #polripresisi #poldasulsel https://t.co/MjeKk4WBYM",Percaya,,,,,,
"Denmark akan secara permanen berhenti memberikan vaksin Covid-19 AstraZeneca, yang akan menunda peluncuran vaksinasi di Denmark beberapa minggu. Tanpa suntikan J&amp;J dan AstraZeneca, para ahli memperingatkan bahwa program vaksinasi Denmark mungkin tidak selesai sebelum akhir tahun.",Tidak Percaya,,,,,,
"Ayo bersama kita lawan pandemi ini. Siap divaksinasi saat vaksin siap!

#TakKenalMakaTakKebal
#IndonesiaBangkit",Percaya,,,,,,
"@thearuum Karena ada efek samping penggumpalan darah pada wanita usia 60 thn ke bawah mbak.
Gejalanya bisa muncul sampai dgn 2 minggu setelah vaksin.",Tidak Percaya,,,,,,
"Ketua Satgas COVID-19 IDI, Sebut Vaksin Nusantara Ada Keganjilan https://t.co/fDLNl4Ngb4",Tidak Percaya,,,,,,
"ex menkes Terawan vs IDI (Ikatan Dokter Indonesia) rasanya bukan kali ini aja yg kontroversial. toh sblmnya ttg konsep terapi cuci otak jg di kritik abis abisan sm IDI. apalah jugaaa itu skrg vaksin nusantara, BPOM aja ndak setuju apalagi IDI. duhkah aneh aneh aeee",Tidak Percaya,,,,,,
"Vaksinasi Intramuscular dianggap tidak membatalkan puasa karena tidak masuk lewat rongga badan yang terbuka. Vaksin tidak dianggap sebagai makanan atau minuman, vaksin aman.",Percaya,,,,,,
Denmark Putuskan Setop Penggunaan Vaksin AstraZeneca https://t.co/wMEWQwCPo4,Tidak Percaya,,,,,,
#Vaksin Covid-19 Itu Aman dan Halal. https://t.co/bBMXYkgrMJ,Percaya,,,,,,
"@NyiPenengah aku lagi nunggu jadwal vaksin nih NYi, kmrn sdh didaftarin lewat kantor suami. Kalo dpt jadwal vaksin pas puasa ini, it's oke karena ga batalin puasa kan ya",Percaya,,,,,,
"Kementerian Kesehatan mengingatkan masyarakat agar tidak perlu takut untuk melakukan vaksin di bulan Ramadhan. Jokowi berharap semua masyarakat mau melakukan vaksin di bulan Ramadhan, selain itu vaksin aman.",Percaya,,,,,,
"Pemerintah melaporkan enam kasus pengumpalan darah, termasuk satu meninggal dunia, dua pekan setelah warga AS mendapatkan satu dosis vaksin covid-19.
  https://t.co/3yrzDK9IvE",Tidak Percaya,,,,,,
Makasi pak dr. Terawan utk vaksin Nusantara nya ðŸ¥° https://t.co/W2BqLGtv5z,Percaya,,,,,,
@ngegasteruss Kan emg bener bapak masuk ke dalem RS buat vaksin hahahaha,Percaya,,,,,,
"Semalam buka sahur make kangkung, paginya dapat info vaksin-2 dimajukan pagi ini. Yailaa Dah lemes duluan shayy, inget jarum suntik ðŸ˜‚",Percaya,,,,,,
"@jungjenass Kakak gue kemaren vaksin pertama pusing ketolongan jeee pas vaksin kedua gapapa.. 

Coba tanya deh jeee sama dokternya efek sampingnya begitu yaa?",Percaya,,,,,,
"Segenap Pemda memastikan kegiatan vaksinasi lansia tahap 2 ini tetap berlangsung selama Ramadan. Demikian juga dengan Dinkes Pemprov DKI yg tetap mengadakan vaksinasi tahap 2. 
Beberapa alasan dari Pak Ustad dan warga lainnya akhirnya membuat si bapak lansia tadi mau vaksin besok https://t.co/o63POuiyAs",Percaya,,,,,,
Pengembangan vaksin Covid-19 secara global terus berlanjut untuk meningkatkan kemanjurannya. Ikatan Dokter Indonesia telah menyatakan vaksin buatan Tiongkok layak dan aman digunakan. https://t.co/ru5L5X7Djg,Percaya,,,,,,
"@03__nakula @KemenkesRI @BudiGSadikin @MudasirRomini @vita_AVP @veraagustian_ @NesyaZhafira @BenkKendal @PretiWn @Wildan_Juli @antasena_wisesa @Widyarenee @wahyujoehidayat Belum ada yg bisa menjelaskan dan yg bertanggung jawab, jika vaksin Nusantara itu asli Indonesia? Dan belum ada yg menjelaskan kepada publik tentang uji klinis dari vaksin Nusantara?",Tidak Percaya,,,,,,
"VAKSIN AMAN, HALAL DAN TIDAK MEMBATALKAN PUASA
JANGAN TAKUT UNTUK VAKSINASI DEMI MENYUKSESKAN PEMBERANTASAN COVID-19

#CovidBelumBerakhir
#VaksinasiMassal
#POLRI
@polresbungosmart
@lutfi_bm99
@mazzadjie
@moraisjj98
@divisihumaspolri 
@humaspolresbungo
@polda_jambi https://t.co/D32Z2AgLT7",Percaya,,,,,,
@soubeli abis di vaksin wkwk lemes,Percaya,,,,,,
Penelitian vaksin besutan eks Menteri Kesehatan Terawan Agus Putranto ini dihentikan sementara dan belum mendapat izin lanjut ke fase uji klinik II. #kumparanNews https://t.co/Nl8egrQEhM,Tidak Percaya,,,,,,
"Ayo vaksin, lawan Covid-19 dengan Vaksinasi 

@divisihumaspolri #polripresisi #poldasulsel https://t.co/oDphvqfi1c",Percaya,,,,,,
"Kalo ada rencana liburan ke Amrik, Eropa, Spore lebih baik suntik vaksin yg dipake disana krn kalo ada syarat vaccine passport udah beres https://t.co/51czrTbHmG",Percaya,,,,,,
Huwoooo vaksin pertama alhamdulilah berjalan lancar https://t.co/HP3QkUYZeR,Percaya,,,,,,
"Sekarang sudah tidak perlu khawatir dengan vaksin, karena vaksin aman. Fatwa no 13 tahun 2021 tentang hukum vaksinasi menyebutkan vaksinasi tidak membatalkan puasa sehigga pemerintah bisa melakukan vaksin di bulan Ramadhan. https://t.co/6tjmIQkWQO",Percaya,,,,,,
"Jadi Relawan Vaksin Nusantara, Dasco: Bantu Program Vaksinasi Pemerintah

https://t.co/nk8R1ma382",Percaya,,,,,,
"Respons Antibodi Vaksin Nusantara Disorot, Dinilai Tak Konsisten dengan Dosis yangÂ Diberikan https://t.co/tG15dgWJZc",Tidak Percaya,,,,,,
Vaksin dr. Terawan merupakan solusi nya ! #imwithterawan,Percaya,,,,,,
"Cuma aku mau nanya ke dokter aja nanti siang bagusnya yg mana. Gak ada yg tau apa reaksinya kalau vaksin pertama astrazeneca dan yg keduanya Pfizer-Biontech atau Moderna.

Apa kami juga bakal divaksin yg ketiga kalinya? Gak ada yg tau juga ðŸ˜…ðŸ˜…",Tidak Percaya,,,,,,
"28 Februari kemaren aku divaksin Astrazeneca untuk tahap pertama dan ya efek samping yg aku dpt bisa dibilang paling parah dibanding kolega yg lainnya. Bahkan aku lgsg ngerasa keleyengan beberapa menit setelah vaksin.

Untuk vaksin kedua jadinya ada empat pilihan jenis vaksin. https://t.co/E5IfOUWXFZ",Percaya,,,,,,
"SMS sampah terus yang masuk, SMS woro-woro giliran vaksin kagak pernah masuk. Ampas!! ðŸ˜’ðŸ˜’ðŸ˜’ https://t.co/vspeFCLz8i",Tidak Percaya,,,,,,
"DKI Jakarta, sampai dengan Pemkot Surabaya juga tetap akan melaksanakan vaksinasi pada bulan Ramadan. Bahkan Pemkot SBY juga menggandeng MUI dalam menyosialisasikannya. Yuk Twips kita bantu suarakan juga di sekitar kita, bahwa vaksin aman dilakukan. https://t.co/h19M3dwnRe",Percaya,,,,,,
"Malah dengan melakukan vaksinasi covid-19, akan memperkuat imun muslim yang sedang menjalankan puasa. Vaksin bahkan memiliki fungsi sebagai detoksifikasi. https://t.co/SPAhFZnQfv",Percaya,,,,,,
"Efek vaksin selain bkn lemes,,aku ngerasa ngiluÂ²,demam dan menggigil. Setelah minum obat pereda nyeri,ga lagi kerasa sakitnya tdr nyenyak ðŸ¤£ðŸ¤£",Percaya,,,,,,
"KEMENKES, Kementerian Kesehatan juga mengingatkan masyarakat agar tidak perlu takut melakukan vaksinansi meski masih berpuasa. Karena tidak membatalkan, vaksin aman kok! https://t.co/mUELqKCUPc",Percaya,,,,,,
Kenapa urusan vaksin jadi ribet begini? #fucksin :) https://t.co/9mM3wHIKKe,Tidak Percaya,,,,,,
@KompasTV Siapa bisa jamin semua vaksin yg di rekom who dan IDI itu aman?? ðŸ¤£ðŸ¤£ðŸ¤£ ngga ada kan yg bisa jamin.. Preeet lah kelien,Tidak Percaya,,,,,,
Alhamdulillah mama dah dpt temujanji vaksin ðŸ¥ºðŸ˜­,Percaya,,,,,,
J-Lo hingga Selena Gomez akan meriahkan konser amal dukung program vaksin Covid-19. https://t.co/xeLaMIdukF,Percaya,,,,,,
"Kaga masuk kerja hrini,bdn semalam meriang.Sahur kesiangan krn jm04.30 br bgn, gusi sariawan, panas dlm,mulut akoh pait semua, sesak napas,lengan bekas Vaksin akoh sakit,bengkak dikit.Sepertinya asal skt dr ini,lengan bks Vaksin ini.",Percaya,,,,,,
@SMBS_rio @iamdluhansa @yunartowijaya Terus apa bedanya dengan vaksin yg sudah ada ??,Tidak Percaya,,,,,,
"@MrsRachelIn Siapa yg bisa membuktikan bahwa Vaksin Nusantara adalah asli dari Indonesia? mungkin hanya dikembangkan di Indonesia tapi bukan asli Indonesia, dan apakah SDH ada penjelasan secara detail dari pihak yg memproduksi vaksin Nusantara?
Yang jelas utk rakyat Indonesia TDK boleh main2.",Tidak Percaya,,,,,,
@KompasTV ada apa dengan vaksin nusantara ? apa dibalik vaksin nusantara ? kelompok kepentingan yg mana yg sedang tarik menarik terhadap vaksin nusantara ini ?? hmmm,Tidak Percaya,,,,,,
@subschfess Kalau gitu tunggu info lanjutan dr ltmpt. Susah jua si buat tes gini dimasa pandemi walaupun udah di vaksin ga nutup kemungkinan untuk ttp positif C-19,Tidak Percaya,,,,,,
@fitrian Ini banyak dikhawatirin orang ya.. Pada ragu mo vaksin krn takut batal puasa,Tidak Percaya,,,,,,
"Vaksin kedua selesai..alhamdulillah
Terimakasih pak jokowi ðŸ˜Œ https://t.co/ekX9vBjrhZ",Percaya,,,,,,
Ketua Bidang MUI mengatakan puasa harus dimanfaatkan untuk melakukan vaksin karena vaksin ini sudah aman untuk masyarakat yang sedang ber puasa https://t.co/nXzTjwGrES,Percaya,,,,,,
Johnson &amp; Johnson mengungkapkan adanya kasus pembekuan darah yang dialami relawan vaksin COVID-19. Tercatat dua relawan mengalami pembekuan darah. https://t.co/JK4X2r3e0q,Tidak Percaya,,,,,,
"Bukan hanya pemerintah DKI Jakarta aja yang sudah menjalankan vaksin, hampir semua pemerintah daerah sudah menjalankan vaksin. Seperti Pemkot Surabaya akan mensosialisasikan ke warga Surabaya bahwa vaksin di bulan puasa tidak membatalkan https://t.co/IcEHYU1bFB",Percaya,,,,,,
@KADIN_Indonesia Daftar vaksin gotong royong batch3 kemana pak ? ðŸ™,Percaya,,,,,,
@KADIN_Indonesia @KADIN_Indonesia mau daftar vaksin gotongroyong batch 3 kemana pak ? ðŸ™ðŸ™,Percaya,,,,,,
"Manfaatkan vaksin yang diberikan secara gratis oleh Bpk. Jokowi ini merupakan ikhtiar untuk melawan covid. Yuk bisa kita saling melindungi, kerjasama dengan baik untuk memusnakan virus ini https://t.co/sWFse6VkBy",Percaya,,,,,,
"Justru dengan berpartisipasi pada program vaksin, umat Islam membantu mewujudkan kekebalan kelompok sehingga kita semua bisa segera terbebas dari wabah.",Percaya,,,,,,
Kementerian Kesehatan menegaskan bahwa vaksin tetap aman dilakukan oleh orang yang puasa. Jadi masyarakat diimbau nggak perlu khawatir.,Percaya,,,,,,
"Lucu deh baca artikel berita tentang Vaksin N nya pak ex menteri. Jelas2 penelitiannya gak sesuai cpob (cara pembuatan obat yg baik) makanya gak dapet ijin bpom. 

Terus malah si bapak2 dpr juga ngotot buat tetep dilaksanain uji klinis tahap 2nya.",Tidak Percaya,,,,,,
"Banyak dari mereka yang mengalami pembekuan darah setelah mendapat vaksin Covid-19, rupanya memiliki hasil tes positif antibodi trombosit 4 atau PF4. https://t.co/nUCazxgsJz",Tidak Percaya,,,,,,
"Belum Pernah Divaksinasi, Anggota DPR Pilih Dukung Produksi Vaksin Nusantara https://t.co/5RWJ0fEKVX via @medcom_id #CekDuluMedcom #CaraBaruMenikmatiMedcom",Percaya,,,,,,
"Fatwa dari MUI Nomor 13 Tahun 2021 tentang hukum Vaksinasi, adalah : Tidak membatalkan puasa dan boleh dilakukan bagi umat Islam yang sedang berpuasa. Vaksin aman, karena dilakukan dengan injeksi intramuscular. https://t.co/3GCtdJ9IUO",Percaya,,,,,,
Italia menjadi negara berikutnya yang menahan penggunaan vaksin COVID-19 Johnson &amp; Johnson karena isu pembekuan darah. #TempoDunia https://t.co/NsduFjPNWr,Tidak Percaya,,,,,,
"Meskipun udah vaksin, belum tentu kebal kopid yaa...
Tetap menjalankan protokol kesehatan juga. Contoh kasus terdekat, kantor lockdown 3 hari karena salah satu rekan kerja ada yang positif",Percaya,,,,,,
gini nih efek vaksin jd ngantukan:(,Percaya,,,,,,
"Aku udah full vaksin. Mau peluk, boleh? https://t.co/Y0vU9VcBRh",Percaya,,,,,,
"Dengan berlangsungnya secara bertahap vaksin tahap 2 bagi lansia, alhamdulillah beberapa masjid kembali menggelar ibadah taraweh meskipun jumlah jamaah dibatasi 50%. Nah yg sudah vaksin tenang donk, bisa beribadah dengan aman dan tenang",Percaya,,,,,,
"Puasa di tahun ini Indonesia masih dilanda pandemi, Vaksinasi Covid-19 masih belum sepenuhnya selesai. Nah, MUI Majelis Ulama Indonesia, mengelurkan pernyataan bahwa Vaksinasi di bulan Ramadan tidak membatalkan puasa ya Twips. Vaksin Aman, allhamdulillah, don't worry. https://t.co/0iJO7pY2TK",Percaya,,,,,,
"Vaksinasi ini salah satu cara kita untuk terus sehat dan melanjutkan puasa dan ibadah kit. Covid ini tidak seperti kelihatannya, dia bisa ada di dekat kita kapan aja. Makanya vaksin ini penting juga untuk menjaga imun kita https://t.co/7b0hbSC18L",Percaya,,,,,,
"BPOM menemukan sejumlah kejanggalan pada pengembangan vaksin Nusantara. Selain pengujian belum memenuhi standar ilmiah, vaksin ini berpotensi mengakibatkan efek samping bagi tubuh manusia. Berikut ini rinciannya. #korantempodigital #KoranTempo https://t.co/D8tYT7r04a https://t.co/69xZx1QWSG",Tidak Percaya,,,,,,
"Nah kalau udah ada fatwa MUI ini udah mantep khan gak perlu pusing dan bingung lagi. Pokoknya puasa dan vaksin covid 19 tetep aman ya, gak akan ngaruh ke ibadah kita semua https://t.co/djXKtYXgza",Percaya,,,,,,
"Waduh, Peneliti Vaksin Nusantara Disebut Abaikan Koreksi BPOM? 

Vaksin Nusantara itu bukan untuk vaksin covid tapi vaksin politik.

https://t.co/QhesWkAm0E",Tidak Percaya,,,,,,
"Terawan jadi menteri kesehatan ngurusi data pasien covid aja nyembunyiin data. Terus berharap dpi bikin vaksin ngasih tahu data penelitiannya?

Mimpi kamu, dek! https://t.co/buoNV5nLYT",Tidak Percaya,,,,,,
"menurut AGAMA pun semua sdh ada AHLInya &amp; kita harus berpasrah pada ahlinya,, jadi kalo vaksin sdh dikatakan klinis yaa kita harus vaksin ðŸ˜ðŸ‘ https://t.co/tOCeeNlqeT",Percaya,,,,,,
@PakAhmadUtomo @ismailfahmi Saya melihat vaksin satu ini ada unsur politisnya. Terlihat dari ngotonya bbrp anggota dpr,Tidak Percaya,,,,,,
Rencana Pemberian Vaksin Nusantara ke Anggota DPR Dianggap Ganjil https://t.co/DlYpVH9zoi,Tidak Percaya,,,,,,
@politikana Od money Golkar mungkin banyak yg dimintain sumbangan buat muterin vaksin amrik ini jadi punya terawan kali?,Tidak Percaya,,,,,,
"@drpriono1 @BPOM_RI Yg penting jgn pakai standar ganda, emang BPOM memeriksa langsuÃ±g proses pembuatan vaksin ke Cina dan Amerika, katanya hanya berdasar laporan, lha gmn bisa menerapkan standard berbeda dg Vaksin Nusantara,?",Tidak Percaya,,,,,,
Gimana caranya vaksin sih kok ini gua liat udah pada mulai dapet ya,Percaya,,,,,,
@whereistherrr hbis ni gw mau vaksin kedua juga nih yah. jujur takut godin. soalnya iya pas yg oertama emang jadi laperan ðŸ˜ðŸ‘,Percaya,,,,,,
Akhirnya vaksin juga...,Percaya,,,,,,
"So far so good ini Sinovac, paling kemeng doang tangan.

Yuk mari menanti tahap 2 vaksin dengan ttp menjaga kesehatan as always.",Percaya,,,,,,
@KompasTV Jawab dulu siapa bertanggung jawab vaksin LN? Vaksin Nusantara jelas aman karena Lokal dan Alamiah... Kami 100% Yakin Vaksin Nusantara!,Percaya,,,,,,
"@penyejuk_hati_ @DivHumas_Polri lha?
belum terbukti secara klinis, lalu sudah ngaku2 ampuh dan dipakaikan ke orang, itu ga beda sama vaksin palsu...

buktikan dulu itu ampuh, baru jadi vaksi asli ðŸ˜Š",Tidak Percaya,,,,,,
"Apa itu uji klinis, yg penting bisnis. Kudu cepet jadi vaksin. Makin cepet jadi makin cuan. Sebelum permintaan sedikit stok banyak, harga jadi murah, bisa bisa ga laku ðŸ¤£. Mantep emang politikus negara tetangga. https://t.co/9difzme50m",Tidak Percaya,,,,,,
BPOM: Peneliti Vaksin Nusantara Orang Asing dan Tidak Berizin https://t.co/ROGjEW5nh5,Tidak Percaya,,,,,,
BPOM menilai dokumen CPOB dan hasil uji klinis fase I vaksin Nusantara gagasan Terawan belum sesuai kaidah penelitian. Baca selengkapnya di #CNNIndonesia https://t.co/KQSTGAGZLk,Tidak Percaya,,,,,,
Makanya gw against what they call vaksin nusantara.. akal2an biar dapet kue gede vaksin doang https://t.co/0qfRSI9hUk,Tidak Percaya,,,,,,
Ke bandung cuma buat vaksin doang,Percaya,,,,,,
@KompasTV @BossTemlen vaksin nusantara kok 100% teknologi avita USA..nusantara cabang UD ya..mwkwkwkwk,Tidak Percaya,,,,,,
Hore dah vaksin kedua.,Percaya,,,,,,
@kompascom Dan impornya dari Amerika pula. Udah tau Amerika bermasalah soal vaksin,Tidak Percaya,,,,,,
Inilah Kesalahan Uji Klinis Vaksin Fase 1 Buatan Terawan yang Menyebabkan BPOM Belum Mengizinkan Untuk Fase Tahap 2 https://t.co/xx06uzyXtD,Tidak Percaya,,,,,,
"1.250 lansia sudah mendapatkan suntikan vaksin Sinovac. Pelaksanaan vaksinasi Covid-19 sudah masuk pada tahap kedua untuk vaksinasi bagi lansia dan petugas pelayanan publik.

#papuanlivesmatter 
https://t.co/gJyiuD8mv4",Percaya,,,,,,
"Lagi-lagi negara ini cuma dibuat mainan oleh pejabat yang berkepentingan...

Bikin vaksin? Mimpi.
Sillicon valley? Jualan resort.
Prokes? Senjata pidana.

Mau dibawa kemana lagi bangsa ini??? https://t.co/jLsfLeFZUV",Tidak Percaya,,,,,,
"Vaksin itu bukan di Nusantarakan, tapi di uji Klinis kan.

Gimana pemikiran anggota @DPR_RI  Komisi IX ini.

Adeeeuuuuhhhhh. Gkgkgkgkgk
 https://t.co/kHPXvUW2jn",Tidak Percaya,,,,,,
"@TirtoID Ini kacau benar. Phase I saja belum lewat, vaksin sudah diberikan ke mereka yang â€œberminatâ€. Kalau misalnya diberikan dalam rangkaian penelitian, peserta vaksinasi haruslah sesuai dengan kriteria yang sudah ditetapkan peneliti.",Tidak Percaya,,,,,,
Apa ini? Oohhh gua lagi vaksin https://t.co/szhSUBRY7g,Percaya,,,,,,
"Masih tuai pro kontra, pimpinan Komisi IX tetap dukung pengembangan vaksin Nusantara.

#merahputihcom #vaksin #vaksinnusantara #covid19 #dpr 
https://t.co/bjsnCBsb0w",Percaya,,,,,,
Alhamdulillah atok dpt giliran vaksin,Percaya,,,,,,
@leksa @DivHumas_Polri Woi.. Emangnya dia bikin vaksin palsu?,Tidak Percaya,,,,,,
"Eaaahhh B Penny mau cari pembenaran untuk impor vaksin.
Unrespect !!!

https://t.co/5kF8q6AYMY",Tidak Percaya,,,,,,
"Bagus juga kalau begitu, dan karena Vaksin, semua terkena Virus China
 https://t.co/5K2Rzq4czd",Tidak Percaya,,,,,,
Vaksin Covid-19 aman dan halal https://t.co/vIGIrEYj90,Percaya,,,,,,
"Supaya segera tuntas, Dinas Kesehatan DKI Jakarta dan Pemkot Surabaya tetap melanjutkan proses pelaksaanaan vaksin aman covid-19 selama ramadan.

Mana suaranya yang kebagian giliran vaksin di bulan puasa? 
Siapin stamina yaa.. https://t.co/V67b8SD8rw",Percaya,,,,,,
"Bolsonaro meremehkan pandemi sejak awal, menganggap covid-19 sebagai flu kecil, meragukan efektivitas masker dan vaksin, serta terus melakukan kampanye menentang tindakan penguncian.
  https://t.co/25vR2bvs5x",Tidak Percaya,,,,,,
Vaksin Covid-19 aman dan halal https://t.co/fRG2Hzpfdk,Percaya,,,,,,
"Sebabkan Pembekuan Darah Denmark Hentikan Pakai Vaksin AstraZeneca, 2,4 Juta Dosis Ditarik https://t.co/HsrTGYwotE",Tidak Percaya,,,,,,
@kompascom Vaksin rasa pulitik~,Tidak Percaya,,,,,,
"hari ini bapak vaksin,semoga tetep sehat selalu sehabis vaksin. aamiin",Percaya,,,,,,
"Biarkan saja mereka yg percaya vaksin ""karya anak bangsa"" toh resiko di tangan mrk sendiri..",Tidak Percaya,,,,,,
"Fatma MUI sudah menyatakan bahwa vaksinasi covid di Bulan Ramadhan tidak membatalkan puasa kita. Nah hayo yang punya pikiran membatalkan puasa kudu dibenerin nich, bahwa semua aman kok vaksin saat puasa https://t.co/X98NZoiXph",Percaya,,,,,,
Dah lah. Ga ush steril. Ga ush vaksin,Tidak Percaya,,,,,,
"Badan POM: Keamanan dan Efektivitas Vaksin Nusantara Belum Meyakinkan, Komponennya Produk Impor #badanPOM #vaksinnusantara 

Selengkapnya--&gt; https://t.co/nfYxObB7Se https://t.co/sgKtHTUMb4",Tidak Percaya,,,,,,
"Bohongi Rakyat dan Jokowi, Ahli Epidemiologi Ungkap Vaksin Nusantara Penelitian Asing dan Tak Sesuai Standar
https://t.co/jjjnvv6NKv https://t.co/eM8LYoypEG",Tidak Percaya,,,,,,
Vaksin Aman karena nggak masuk lewat rongga badan yang terbuka dan vaksin nggak dianggap sebagai makanan dan minuman. https://t.co/juS1WZ4MPE,Percaya,,,,,,
"@martiramatir Tiap pengujian itu jg ada standar2nya.. Biasanya merujuk ke standar yg dikeluarkan FDA ato ISO.. Ya kalau Vaksin Nusantara dibilang ga layak, berarti dlm prosedur pembuatannya ada yg ga sesuai dgn standar2 pengujian kelayakan dari FDA atau ISO itu..",Tidak Percaya,,,,,,
Di vaksin dulu https://t.co/3MgcoiuYGy,Percaya,,,,,,
"Amerika Syarikat, Afrika Selatan dan Kesatuan Eropah (EU) memutuskan untuk menghentikan sementara suntikan vaksin J&amp;J selepas kes darah beku dilaporkan.Â 

https://t.co/u150gr1lCa
#onenews #COVID19 #vaksin https://t.co/prOnr6PWcX",Tidak Percaya,,,,,,
"Hari ini Vaksin ke-2. 
Bismilahirrahmanirrahiimm https://t.co/i3bj1PrOTy",Percaya,,,,,,
"Sama seperti Arab Saudi, Pusat Fatwa (Dar al-Ifta) al-Azhar, Kairo, Mesir juga menegaskan, suntikan vaksin Covid-19 ngga membatalkan puasa

Suntikan vaksin aman, soalnya ngga dimasukkan melalui rongga tubuh, seperti mulut, hidung, telinga &amp; bukan berupa makanan minuman",Percaya,,,,,,
"Vaksin 1 kemarin terlewati tanpa efek demam, mual atau ngantuk bangatt âœ¨",Percaya,,,,,,
"Bersama kita bisa. Mari saling melindungi, karena sejatinya vaksin aman itu buat kita juga, bagian dari upaya kita melindungi, bagian dari ikhtiar.
Berserah mah boleh aja, tapi setelah berikhtiar, right?",Percaya,,,,,,
"Ayo vaksin, lawan Covid-19 dengan Vaksinasi 

@divisihumaspolri #polripresisi #poldasulsel https://t.co/0ulLBT16SQ",Percaya,,,,,,
"4) Data tidak transparan. Hingga kini ilmuwan independen seperti saya tidak bisa mengakses data hasil uji klinis fase 1. Padahal dalam pengembangan vaksin covid lainnya, semua melaporkan dan mempublikasikannya secara luas sehingga bisa dianalisa oleh ilmuwan lainnya.",Tidak Percaya,,,,,,
"@JLukup Aku tidak mengerti penjelasan BPOM mengenai penilaian thdp vaksin nusantara yg dilakukan dari mana, yg jelas pembuat vaksin nusantara juga dari kedokteran dan para ahli dibidangnya dg ilmu yg sama, skr tinggal nunggu mana yg berhsil, kalau aku ya prcaya sama dr. Terawan &amp; teamnya",Percaya,,,,,,
"Vaksin Nusantara , vaksin individual, perlu Kajian lanjut ðŸ™
#VAKSINNUSANTARA https://t.co/rHcaYMvhBU",Tidak Percaya,,,,,,
"08.55 #BeritaSONORA - Anggota DPR Ikut Uji Klinis, Semua Fraksi Komisi IX Disebut Dukung Pembuatan Vaksin Nusantara https://t.co/OylNK36vOO via @KompasTV",Percaya,,,,,,
"Mufti Besar Arab Sasudi Sheikh Abdul Aziz al-Asheikh menegaskan, vaksin aman Covid-19 ngga membatalkan puasa. 

Sebab diberikan lewat injeksi, sehingga tidak dianggap sebagai makanan dan minuman.",Percaya,,,,,,
"@pengarang_sajak Gak Apa , Vaksin Rusia Saja Tidak Di Akui Eropa Dengan Berbagai Alasan",Tidak Percaya,,,,,,
"emang bener yang dikata bokap, jangan vaksin. https://t.co/A4rwqLPpmy",Tidak Percaya,,,,,,
"Anggota DPR Ikut Uji Klinis, Semua Fraksi Komisi IX Disebut Dukung Pembuatan Vaksin Nusantara https://t.co/5PNURISTA4 https://t.co/WWojdrCCN6",Percaya,,,,,,
Jadi  Vaksin Aman dilakukan siang hari karena nggak membatalkan puasa. https://t.co/fxeOv2aAAh,Percaya,,,,,,
"Gimana gaes? Jangan bimbang dan ragu lagi jika kalian mendapat giliran vaksin di bulan ramadhan ini ya? InsyaAllah aman dan tdk membatalkan puasa kalian kok. 
Ok gaes, sehat-sehat yaa kalian semuaa",Percaya,,,,,,
"Masih bingung dengan urgensi vaksin Nusantara yang belum lolos uji klinis fase 1 oleh BPOM tapi tetap dilanjutkan ke fase 2.

Hidup orang kok kayak ga ada harganya
Otak gw belum nyampe dengan pola pikir politikus",Tidak Percaya,,,,,,
"Vaksin NUSANTARA ... Karya Anak Bangsa 

Hiyaaaa ... Pada PANIK ... 
RAKYAT dijadikan Kelinci percobaan. https://t.co/xPulstdlG2",Tidak Percaya,,,,,,
"ðŸ˜±ðŸ˜±ðŸ˜± 

71% Relawan Vaksin Nusantara Alami Kejadian Tak Diinginkan, 6 Orang Gejala Berat | https://t.co/fj1SPa7Gjf",Tidak Percaya,,,,,,
@fitrian Sip kalo gitu vaksin aman ya,Percaya,,,,,,
"Pemerintah terus mendorong pengembangan vaksin dalam negeri
https://t.co/InLIIOoFPu",Percaya,,,,,,
