"tahla, malas la nak ajak for AZ. memang end up derhaka. takpela tunggu je la pfizer tu. kadang tak faham kot kita ni risau. geram",
"@AamAadmiParty @Saurabh_MLAgk Bahut mota amount mila hai Aap walo ko,saara din pfizer aur moderna ki lobbying karte hai inke neta.",
"Lepas ni petugas yg cucuk vaksin akan tunjuk amount vaksin dalam syringe tu before &amp; selepas cucuk kepada penerima vaksin utk tujuan verifikasi. Pastikan info ini sampai ke semua penerima vaksin. 

Pfizer: 0.3ml
AZ: 0.5ml
Sinovac: 0.5ml

Info daripada Dr @noksihlm https://t.co/hHFohUGBwR",
"@afqazt Wey aku dengar &amp; baca jugak news ni. But incase kita dapat sinovac, so bila nak gi umrah, kene amek dose vaksin (pfizer/AZ) lagi kah? Boleh eh double dose vaksin",
@greedizgoodz hmm as for what aku tahu front liner akan dapat pfizer and sinovac as both are good actually. Sinovac ni dia long term compared to pfizer thats why government sarankan old folks utk dapatkan sinovac. Tapi.... since kau dah register better proceed je dgn astra zeneca tu lah haha,
"Berikut adalah panduan terkini mengenai kesesuaian vaksinasi COVID-19 bagi ibu mengandung dan ibu menyusu. 

Kaedah untuk menempah vaksin Pfizer bagi ibu mengandung akan diumumkan dalam masa terdekat.

Baca panduan penuh di sini: https://t.co/ohoqehHZNB 
#LindungDiriLindungSemua https://t.co/LI7b0NgkrO",
Goku or Vegeta #DRAGONBALLSUPER2022 #DragonBallSuper #DrakeDecade #wwe #YellowFungus #TereNaal #PSBB #iKON #Palestinian #Antisemitism #Dek64 #DebateTecnicoJNE #DefundTheABC #doge #Halo #JENLISA #kanairofear #LeeSeungGi #LalisaManoban #cryptocurrency #Crypto #makamu #Pfizer #dbz https://t.co/6hj91HLLCO,
I am vaccinated! #Pfizer Alhamdulillah https://t.co/7shixGLzNT,
"@masfaizhakim Dr, boleh tak clarify kot kot Isu blood cloth ni hanya terjadi apabila seseorang itu mengambil Vaksin AZ sahaja, risk blood cloth untuk Pfizer dan lain lain ada tak ? Sebab tak dengar sangat isu bloodcloth untuk penerima vaksin selain AZ.",
"beria lah hari2 dok meratib pfizer lagi bagus dari az sekali tanya dah register vaccine or not, rupanya belum. bodoh ke apa tah",
@harriszainul Kalau bertuhankan KJ dapat Pfizer ke tak? Ke still AZ?,
@nadpyruvate Uih masuk KL-Sel ni dah la hotspot. High risk. Pfizer tu kalau dah dapat appoinment dalam mysj okay lagi nak tunggu. Kalau berjanji mulut tak payah la.,
@z_nyna @PuanEuruss @Fahmibinhassan Wkslm...ayah sy pfizer yg dpt appointment thru mysejahtera. mak sy az. Lupa pulak nak mention. Maaf..,
"@NHashiiii Maaf lmbt, setahu sy if tak hadir &amp; tiada rekod nama kita dh vaksin, nama kita akn kembali dlm senarai giliran PICK. Tapi sy rasa selagi kita registered dlm PICK, kita masih boleh book utk AZ. Utk booking, setakat ni utk AZ saja. Pfizer &amp; sinovac dibwh PICK.

Betul ke @JKJAVMY ?",
Apa barang sumbat AZ. Sumbat Pfizer la bary terasa kayangan✌️,
Ok gais pls help me berik tweet yg padah sikda beza pfizer and AS cause my one of my fam tgh hold nenek mok daftar vaksin AS,
"Pfizer, AstraZeneca Efektif Melawan Strain Virus Yang Ditemukan Di India
https://t.co/Ydsk4pHoAa
#Pfizer,
#AstraZeneca https://t.co/6e6NYYK0OW",
'siap dapat pfizer' macam ni la yang suka categorisedkan ikut brand ni. https://t.co/LhyrwSgjGu,
"@nurdianah16 @bntgprnh My sejahtera, Pfizer and Sinovac

AZ open for all sebab ada isu blood clot, di luar negara. Sebab kes ni, kadar pendaftaran merundum, so govt open for all and it is register manually, siapa nak pi apply.

Potential blood clot tu 0.0008% je 😂",
"Vaksin Pfizer, AstraZeneca Berkesan Terhadap Varian India – Kajian https://t.co/DJZHzBFe8i via @Suara.TV",
@waniekamarudinn Yg syida tahu ibu mengandung &amp; bf better amek pfizer.,
@meisadamantium @JKJAVMY Tapi kan sekarang dia dh boleh dpt yg pfizer tu tak? Yg tu buat kat kk kan? Lagi dekat kot? Ke camne,
Dalalwal ji ne firse dalali shuru krdi.. ab Pfizer aur morderna ki dalali kr rhe hai ....,
@Asad_Umar Saudi government nay bina Astrazanic or Pfizer vecine kay saudi arab main dakhlay per pabndi laga di hai kitny log or un ki families is waja say Pakistan main bhasi howi hai kaam say kaam NRP ka tu khyal karain please,
"@NuvaidV Moderna pfizer India Nahi le sakta kuiki unki ek demand ki agar koi bhi admi us vaccine se maar gaya to  Central government  apne property ko bechkar unhe
  compensation dega",
@coolfunnytshirt @ANI Shayad Pfizer walone inke mohalla clinic dekhe honge....,
"KOI mndapat tawaran vaksin Pfizer dari IOC untuk para atlet yg akan akan berlaga di Olimpiade Tokyo.
Hal tsb disampaikan Sekjen KOI. 
KOI belum pasti menerima tawaran tsb krn para atlet Indonesia yg akan berangkat ke Olimpiade Tokyo sudah menerima vaksin Sinovac Februari lalu.",
@Hasina68947414 @DGHisham Saya marhean dapat pfizer,
"Soalan.

Sistem MySejahtera tak boleh integrate data slot vaksin perdana (pfizer, sinovac) dengan slot vaksin sukarela astrazeneca ke supaya semua PPV boleh digunapakai untuk slot astrazeneca juga?

Orang Johor yang duduk kat sempadan Endau Rompin sana masak nak tempuh 3-4 daerah",
"Berapa jam lepas cucuk pfizer umi ayah tiada kesan sampingan apa apa, tiada demam atau apa pun alhamdulilah. Cuma tiba tiba umi teringin nak makan makanan korea pulak dah 😂😂😂",
"/kle aku abis dapet vaksin PFIZER kok tanganku yang disuntik itu rada bengkak ya, tenggorokanku juga jadi agak sakit dan badan demam, kalian yang udah di vaksin kira kira apa aja efek samping yg kalian rasain ?",
"@beinghumour5 @SamridhJoshi @ANI AAPtards: Pfizer itne vaccines bana paaye na paaye hum toh unki dalali karenge. 
Canada, Australia, Japan etc desho ke croro Pfizer supply pending hain lekin muffler man ke kehne pe woh log Delhi sarkar ko sab turant de denge.",
"@IamDeshBhakt_ To modi ji ko bolo Pfizer leke aaye india mei , kyun banti baat bigaad di feb mei 🤷",
mak punya besan pun dah dapat second dose pfizer...,
"@ANI Covaxin ke against PIL aur Pfizer, moderna ki sifarish. Waah saad ji",
@naeeemmm Betul ke wei. AZ ke pfizer? Yeayyy Alhamdulillah.,
"@ANI Koi enko btao ki Sputnik aa rhi hai, vohi milegi. Pfizer, Moderna ki dalaali karna band kare.",
"@agritaw Ada niatan mau cari pfizer, tapi kantor menyediakan astrazeneca🙄🙄🙄. Aduh harusnya di vaksin seneng ya, ini malah was was🙄",
@varrshrr @R8Supriya Lagale covaxin.  we are taking turkey's Muslim scientist developed Pfizer. Gareeb chor desh ke gareeb insaan covaxin le Lala Ramdev ki coronil aur gobar mutra ke saath. aur haan taali thaali bhi peet.,
"Penelitian oleh Badan Kesehatan Inggris menunjukkan, vaksin Pfizer dan AstraZeneca efektif dalam melawan virus corona varian India. #kumparanNews https://t.co/3BqrDwsLSf",
"@AamAadmiParty @Saurabh_MLAgk Yeh sahi comedy hai

Aab Pfizer &amp; moderna ko bhi MODI control kar raha hai
😂😂😂😂😂",
@ANI Sputnik ko kyo nahi le raha jab uska approval de diya hai moderna Pfizer se koi deal hai kya,
@SainiManish__ 😂😂 kejriwal acting as a agent of #Pfizer &amp; #Moderna,
@ANI Kejriwal is the medical representative of Pfizer,
@coolfunnytshirt Pfizer and Moderma to Kejriwal- https://t.co/dNqGZP9Zuk,
opah saya dah selesai dose ke-2 pfizer!!!! comelkan dia? paternal family i alhamdulillah bukan antivaxx https://t.co/80alUxtlsz,
"@SirPareshRawal Sir abhi toh Plastic Madam ka Las Vegas mein 3 BHK lene ka prayas chalu hai.

Pfizer ki poori gulami kar rahi hai India mein.",
"@wanmehsan @sarahshattri @MFMiraFilzah Haa faham fahamm. Dia nak kaitkan arwah haziq meninggal sebab dia atlet and ambil vaccine? Thats why he got blood clot pastu meninggal? But the thing is Haziq tu dapat pfizer, tapi blood clot issue is Astrazeneca",
So far aku baca for travel most of country accept Pfizer &amp; AZ vaccine je. Nak pergi Saudi Arabia 🇸🇦 pun dua tu je. Including Moderna. Sinovac masih banyak tempat tak terima. Tapi tu lah aku ni kerja banyak ke China. Harap terima AZ vaksin aku.,
"@Had1Nasution Yang lain bawah 60 tu dapat pfizer atau AZ?

Parents ada update MySejahtera dah? Sampai ada keluar poskod",
"Bahan lawak terkini yang bodoh &amp; ramai start percaya; Pfizer vaksin kayangan.

Semua frontliners dapat Pfizer.

Aaaaaaabodo.

🖕🏼😌🖕🏼 https://t.co/EvtHayCJDr",
Tak kira nak Pfizer jugak https://t.co/MnBQ6ooInC,
lambat gila ek pfizer ni,
"@Gss_Views @chhavi83 @hombale @ANI Abe bewkoof Pfizer demanding indemnity..matlab pata hai hutiye? Vaccine thok ne Ke bad kisika maut ho Gaya to Pfizer Ke khilaf case nehi ho Sakta. Upar se Pfizer ko store Karne Ke liye extreme low temperature ki jarurat hai, humare desh mein wo facility nehi hai.",
"@sarahshattri Oh faham faham. Maaf lepas terbaca soalan saya balik nampak macam rude pula, berniat nak tanya kenapa dengan pfizer yang atlet dapat 🙇🏼‍♀️🙇🏼‍♀️🙇🏼‍♀️",
"Nk ke area sana, dorg accept yg dh dpt vax moderna, pfizer &amp; astrazeneca jer",
@msisodia Pfizer wala daba ke chanda diya hai kya??,
@faruqmcgrath Dua dose terus ke bang?vaxx apa?Pfizer?hahaha,
"@khafif__ Lantak cakap je la sama je az ke pfizer ke apa 😂

Biar kita spread awareness kemudian yang penting dah dapat date untuk vacc hshshsh alang-alang dia memang nak tapi still nak tunggu mysj jugak halah halah lemessss banget",
@ANI Ghum firke kahi se b pfizer pe bat ake ruk jati h..,
"@zaxquezms @sarahshattri @MFMiraFilzah Jadinya salahlah info yang minah karat ni bagi. Dia kata Haziq ambil pfizer blood clot semua, fact situ pun dah salah.",
"@msisodia Sir kitna paisa mil raha hai aapko pfizer se.Roz TV pe aake pfizer ki promotion karte ho.
Sabko pata hai pfizer ko permission kyo nahi mil rahi,Aur aap Education minister hone ke baad bhi itne agyaani kaise hai.
Aap Education minister nahi propaganda minister jada lagte hai.",
@MuhammadAshraff Sblm ni KJ ada bgtau pasal pregnant advisable ambil Pfizer. Since then byk misunderstanding.,
"Jangan lepaskan dengan apology je. 
Memang fake news pun, Haziq dapat vaksin Pfizer bukan AZ. https://t.co/htTH0nbNS5",
"@msisodia Abey kitni khuli batting karoge Pfizer ke favour me. 
Saaf dikh gaya toolkit ka asar. India ki har cheez k khilaaf bolo, har baat pe india ki vaccine, dawai, ayuveda k khilaf bolo or Pfizer moderna ka paisa lekar u ka prachar kro. 
It's clear fact",
Saya telah divaksin sepenuhnya pada 3hb Mei 2021 - Camirnaty Pfizer https://t.co/JzzEKCaNY3,
Hoaks dokumen Pfizer yang menyebut vaksin corona memberikan efek samping dan menular lewat kontak fisik. #kumparanNEWS https://t.co/TPkfMor21I,
@vivekagnihotri @ArvindKejriwal moderna aur pfizer se baat ki..aapko vaccines chahiye toh serum ya covshield se baat kyu nhi ki...natuanki krne k alava kuch aata nhi hai kya..,
Kalau dah ambik AZ later boleh Pfizer tak?,
"@coolfunnytshirt @ANI Pfizer khush hoga... Inaam dega... 
Shabasss kejriwal, tujhe mil jayega tera maal..",
"Kejriwal: hello Pfizer ? We need vaccines for corona. 
.
Pfizer: aisaa mat corona. Centre se bolona.",
@sarahshattri @MFMiraFilzah Jadi? Kenapa dengan pfizer tu?,
@mfsz_96 Tk lg. Hri tu ambik rdv je. Die kate utk moderna. Smpai sane die kasi pfizer. Nmpk sgt iluminati smua ni,
@INCIndia Besharam 😡 ye jaahil Pfizer ki  vaccine kyu nhi order karte😡😡,
"@aqiIahm Sini yg muda depa tak bagi AZ, depa bagi Pfizer.. yg AZ depa bagi utk umur 40/60 and above je",
@coolfunnytshirt @ANI Pfizer and Moderna to kejriwal 😂😂 https://t.co/f5OEsg9Qph,
@PTI_News Kitna commission khaya Pfizer aur moderna se @msisodia ji,
@zua_al_azmi Macamana diorg dpt... frontliner ke.. bestnye.. sy pregnant... hanya pfizer je sesuai buat masa skrg ni 😔,
"@Hasina68947414 @DGHisham sampai bila nk tunggu Pfizer, kes tgh banyak",
"@mnoh_sapiah @omfgitskeems @JKJAVMY Setahu sy di titwangsa bleh, pfizer atau sinovac. AZ utk reg lain",
"@ANI Pfizer, Moderna to Kejriwal https://t.co/rOk8KUcIBa",
@miraersha Bila date u ambil az? As i know after @Khairykj keluarkan statement bf mom and pregnant woman only can take pfizer tu esoknya terus semua ppv tak benarkan 2 condition ni ambil az. They told us suruh tunggu pfizer jugak.,
@AlawiyahYussof Well kita ada 3 vaksin. So PharmaNiaga bawa masuk Sinnovac. AZ dan Pfizer lain company bawa kan? Tak tau la kalau AZ dan Pfizer pun Pharma yang bawa masuk...,
"Lepas ni kena lepak ikut circle brand vaccine ke? Pfizer lepak dgn circle Pfizer, Astra lepak dgn Astra and so on.",
"@armaleeo Nnti ambil vaksin dulu, kau ambil pfizer dengan AZ serentak 4 dos",
@MFMiraFilzah Setahu saya atlet semua dapat pfizer,
"Aku jumpa td dkt facebook, deorg duk kira org yg cucuk pfizer lepas tu meninggal, katanya semua attack jantung, setakat ni dh ada 3 org 🤦🏻‍♀️",
Registering for Astra Zeneca now. Anyone ada stock lebih Sinovac? Pfizer? Need it for research purposes. Johnson &amp; Johnson pun boleh lah tapi tak nak free bedak baby nanti selsema. https://t.co/DyrWW2UjYh,
selagik belum roll out sikboleh suk gilak https://t.co/K1IdhL9cIO,
@TheAmazingTiaa HAHAHAHA SISSSSS i confuse kutttt. I kenal yang hangat di medsos je 😭 yang antivaxx tu lagi bangang. Duk tabur fitnah. Nak tunggu Pfizer confirm cepat gila habis.,
@Saiybetron @LenkaPravakar @TimesNow @ArvindKejriwal Bas 2 din ruk moderna aur Pfizer bhi dega Vaccine..,
@msisodia Ye Pfizer se itni mohabbat kyu h bhai?,
@TimesNow @ArvindKejriwal Kejriwal after speaking to pfizer and moderna https://t.co/T36AKpUFXK,
"Risau cok, umi abi takmk vaksin AZ. Nak Pfizer je. Aduyaii 🥺",
"@MiraSueMZ @Iam_Shiroo Tak mesti dpt Pfizer, ade yg dpt Sinovac.",
@JKJAVMY Diberitahu awal ke which vaccine yang akan diberi? Pfizer or astrazeneca?,
@Rey_Zal02 @ImanNrainaa @redzuanNewsMPB Bukan ke arwah cucuk dgn vaksin Pfizer,
@ANI Moderna aur Pfizer ne Singapore wala tweet dekh liya hoga🥴,
@ninazairi Sepupu aku pun kena reject harini lpstu doc bg surat utk tulis kononya dia boleh dpt pfizer. Bila la tu boleh dpt…,
"Arwah Haziq ambik pfizer bukan astrazeneca. Tapi pfizer pun ada risk heart complications. Tu mmg fakta, walaupun tak besar probability. Post-mortem belum selesai, tapi kalau betul sebab side effect vax, rasanya KKM akan siarkan tak? 🤔 https://t.co/7EFGhfMrhU",
@tweetsmebabes @lailozw_ Seingat aku pfizer mmg,
@HaniefErza Apesal kau dpt pfizer?,
"@AyuLestrange @9dean @mabitxch Saya tolong jawab ya. Kalau kat luar bandar, memang cucuk di KK. Tapi ini untuk 2nd wave Pfizer shots, dikhaskan kepada golongan warga emas. Dah mula sesi ni sejak Ramadan lepas. Ayah saya akan ambil suntikan kedua 27/5 ni.",
"@ANI Sirf Pfizer ke hi piche kyo pde ho saare???????
Bachaa bachha jaanta he uski performance!",
"@ichbinSyafiq time for govt make it to other cities aswell. Buka slot di kluang, segamat, muar, JB. baru boleh percepatkan process. Kalau duk nak tunggu pfizer sinovac, sampai bila. They all have to be protected.",
@pelikhensem Uuuuuu 👀 hehehe tapi dorang kata untuk preggy mummy doc suggest ambil pfizer kan?,
@dianaluvJC Sejauh ini Pfizer dan AstraZeneca yang sudah terbukti,
@YayaYyuya AZ dalam list vaksin untuk haji https://t.co/LOQRKseWxN,
"😭😭😭😭😂
Punjab CM moderna ka bola tha
Hamare keju 1 kadam aage badhkar Pfizer bhi add kar diya https://t.co/fcAOu8B3C6",
"@hemirdesai @msisodia @raghav_chadha @KhanAmanatullah @RahulGandhi @priyankagandhi Ye toh aise bath kartha hai jaise abhi pfizer ko manzoori dede toh, uskka storage facility ready karke rakha huwa hai.",
@LelakiOnTheGo Mana nk tahu dapat pfizer atau lain?,
"@AhmdSafwan hahahah wehh aku ulang balik dialog wawancara semalam tu 😂 kalau ikut cerita semalam tu, pfizer lah kot.",
"Ketua Fraksi Demokrat DPR RI @Edhie_Baskoro pertanyakan aturan soal turis yang bepergian ke Eropa harus sudah divaksinasi dgn merek vaksin Pfizer, Moderna &amp; AstraZeneca, tanpa merek Shinovac.

“Jangan sampai kita di-banned akibat merek vaksin,” cuit Ibas.
https://t.co/OgzHys4v44",
"@lilclaire1485 yup. mula2 pfizer. sinovac start dri kj. baru sampai AZ... itu yg member qi cakap takut tk sesuai dgn badan. lpstu tk diiktiraf kt eropah, tkleh masuk bila travel nnti.... qi cm, kenapa sampai cmtu sekali",
"@qidaehun X sure, x baca lagi psal kes nie.. kte ada sinovac jugak ke? Bukan pfizer dgn astrazeneca je eh? Lolll da lama xbaca news pasal vaccine",
"@nabeelabukasim Doc tu tak hold tapi dia memang cakap la pfizer je ada data untuk bf mom AZ belum ada, dalam otak aku fikir lagi berapa bulan lah aku nak tunggu vaksin lain. Aku pun proceed je (at my own risk) harap2 ok je la 😣",
@yasminzulkifli @badariahnabilah tp pfizer tu pn belum tentu diorg dpt kan.ntah2 dpt sinovac ke.haa,
@PTI_News Gadhe sodia Pfizer ne TO y bhi Kha h ki agar koi side effect hum jimmedar ni honge...,
"After Punjab, Kejriwal Says Pfizer, Moderna Refused to Sell Jabs, Urges Centre to Import https://t.co/bIRDfYHxGq",
"Itna frustration 🤔
Pfizer hi kyu???
Kya mil raha hai??? https://t.co/kkd8tfXZhk",
@yeobeeyin @JKJAVMY @Khairykj Mgkn rmai &gt;60thn dh dpt dose menerusi PICK biasa. Ada jgak rmai yg dilarang ole anak2 sndiri utk tggu Pfizer atau Sinovac. Itu je.,
@imohdillyas Bestnya dpt pfizer! Im jealous,
"Sirji log keh rhe hain aap bik gye 
Mein nhi maanta , magar aap saboot deke unka muh band kar dijiye 
Pfizer wanted Brazil, Argentina to put military bases, Federal reserve as collateral: Why India kept Pfizer away and how the usual suspects are wrong
https://t.co/lM2SIRvxAM https://t.co/1key8Meyvv",
"Banyaknye la cerita2 pasal vaksin. For me, if u study betul..n demand pfizer..sbb pfizer dicipta oleh 2 doc islam. Yang lain bahan2 tu yg byk timbulkan keraguan. Tp utk situasi skrg, ofkos kita x perlu pilih2. Mufti dan bahagian sepatut da jalan tgjwb depa. Kita ikut jela https://t.co/3kgENIYb9c",
"@TimesNow @ArvindKejriwal Bhai ""AAPko"" to @ChitaleGroup apni Baakar Wadi nahi bechega knowing your reputation, kaha Moderna aur Pfizer k sapne liye baithe ho.",
"Banyak sangat golongan baru yg timbul, ada yang percaya covid tapi tak percaya vaksin, ada percaya vaksin Pfizer je tapi tak percaya vaksin Astraveneca, ada tak percaya hospital itu hanya hospital ini je. Pening",
"@ANI Pfizer : Thanks Mr Kejriwal,  we need some guarantee. 
Kejriwal : BACHHON KI KASAM..... https://t.co/9V37PslYxj",
"@onnijaer Ni yang version bm punyaa

https://t.co/7V7tHUZM5A",
@ANI Bhadwagiri Pfizer ki?,
@Abhina_Prakash Ji nahi unko moderna aur pfizer hi chahiye!,
"Kalau dilihat pada harga vaksin yang didedahkan oleh menteri kewangan Belgium Eva De Bleeker melalui Twitter beliau pada 17 Disember 2020 adalah seperti berikut:
Astra Zeneca - rm8.90
Sanofi/GSK - rm37.80
Curevac - rm50
Pfizer - rm60
Johnson &amp; johnson - rm31.60
Moderna - rm75.60",
"mein kab se bol raha hun,
Pfizer , Moderna approve karo,
koi sunta hi nahi meri.🤨 https://t.co/y1oJDyQrA7",
"@SanjayAzadSln Aur tum bus propoganda kro? 
Muh utha kr pfizer aur moderna ki vaccine lene chale gye , jinka trial india mai hua bhi nahi agar uske side effects aate hai to uski responsibility kon lega?",
"@ANI To jab pata h to ro kyu rhe ho baar baar Media m pfizer ka prachar kr krke,krwali or international beijjati fir se",
"Alhamdulillah,
Ayah &amp; mek saya done 1st dose pfizer. 2nd dose early June.

Nenek belah suami done 1st dose pfizer early May , 2nd dose esok.

Kak long saya done 1st dose Sinovac, abang long pulak esok 1st dose Sinivac.

Abang saya completed 2nd dose pfizer hari ni.",
@Nicks103 Kejriwal ko Pfizer ke Mumbai office ke bahar dharna de dena chahiye... Boht dino se koi dharna nahi dekha waise...,
@coolfunnytshirt Pfizer and Moderna to kejriwal 😂😂😂😂 https://t.co/JirsmSpQA0,
@seriousfunnyguy Pfizer and Moderna to kejriwal 😂😂😂 https://t.co/JVNw6WfeGb,
"Pfizer, Moderna to Kejriwal: https://t.co/ULmVZs2Zpk https://t.co/ahQRbeVpXP",
@PTI_News Ab Pfizer ka dalla ban gaya hai @ArvindKejriwal . Poora ka poora DALLA !,
"@seriousfunnyguy Pfizer : Thanks Mr Kejriwal,  we need some guarantee. 
Kejriwal : BACHHON KI KASAM.....",
Bahagian Regulatori Farmasi Negara (NPRA) telah meluluskan Sinovac untuk digunakan di bawah NIP. Antara vaksin lain yang turut diluluskan sebelum ini adalah Pfizer-BioNTech dan AstraZeneca.,
Palatao je anak haram ni. Pdhl arwah Haziq tu ambik vaksin Pfizer. Bodoh pnya sempudal. https://t.co/1cKySqvkP0,
"@ANI Pfizer, Moderna to Kejriwal: https://t.co/gdbZM4i9IO",
@InaCheme Kennnnnn pening betul. Cuba lah selaraskan semua boleh ke tak boleh explain betul betul ni terus strict cakap takboleh AZ tunggu pfizer yang lambertttt lagi tu 🥴,
Pfizer Ka coffee wala intern bhi Kejriwal Ka phone na uthaye 😭😭😭,
@ANI Yogi ji se mana karke dikhade pfizer or moderna or jo koi bhi ho yab maane,
"@JKJAVMY nak Tanya kalau ayah nak tarik balik aplikasi untuk AZ Dan tunggu Pfizer Dan sinovac, boleh? Saya call hotline busy.",
"Tadi ada someone im fb aku. Tanya aku ""vaccine apa dapat?"" ""Astrazeneca vaccine, taktahu pula vaccine lain ada availability"" ""Cepatnya dapat, hopefully dapat pfizer""

Aku terus ignore im fb dia. Gentle aku cakap, siapa hoax aku terus report! https://t.co/gc7iL9d12y",
@republic Pfizer and Moderna to kejriwal 😂😂 https://t.co/yHHPlDBBVs,
@ANI Modern Pfizer to Arvind kejriwal : https://t.co/Xi0KKRbnII,
@shashazzZ9 Ohh haha geng taksub dengan pfizer rupanya 😂 lantak situ la,
@meorhaqimy Pfizer &amp; AZ setakat ni boleh diterima 2 negara ni cukup lah.,
"@rafidah72 Dr, maaf saya ada soalan nak bertanya. kalau wanita yang ada fibroid pada rahim, disarankan atau tidak untuk ambil vaksin? dan kalau ya, vaksin pfizer atau AZ lebih baik?",
"@theakmalsalleh Beb, ni register AS tu ke? Mcm mana dpt pfizer?",
@MundaTatawala Bhaisahab dimag pichwada mai dal lie ho ka?! Centre se deal ye india ka law hai nahi moderna pfizer ka chutie,
@ANI @ArvindKejriwal ohh chumu Teri sunega pfizer tu aapna mohalla clinic chala le woh hi bahut badi baat hai 💩,
"Dah la dpt dua dos, dpt yg Pfizer pulak tu. Dah settle dua dos, parlimen still tutup, abah sapa ni, kutip jap pls https://t.co/ZjYyCP990f",
@redrhmn Dato2 tunggu turn pfizer,
cucuk pfizer bole g europe https://t.co/RXmsEDJZra,
Pfizer and moderna to kejriwal: https://t.co/wx6ahjB04a https://t.co/7LGIEGcalw,
"@TimesNow @ArvindKejriwal Bhai ye banda pfizer k piche q bhaag raha h, china se manga le, sputnik manga le, Israel se manga le. Andra gov have already bought sputnik.",
"@MargasayaWang Saya mukim di HK mbk Andin, dan saya pilih vaksin dari Pfizer.
Sungguh demam 2hari pasca vaksin.",
"@timesofindia @ArvindKejriwal @msisodia teri shakal dekhkar mana kar diya, socha hoga kya pata kal ko bolna shuru kar de Pfizer varient corona, moderna varient corona...",
"Sorry tapi mostly tunggu Pfizer dari AZ sebab takut akibat baca post2 ngarut org dok share kt parents kita nie. Org tua kan ketegaq taktau nak handle cane lagi, fedup rasa 🤷🏻‍♀️ https://t.co/ifupRqvnhr",
"Vaksin Pfizer dan AstraZeneca Terbukti Efektif Melawan Gejala Covid-19 Varian B1617.2 dari India

https://t.co/UQDdFIEPtJ",
@MiraSueMZ @kamarul14 Alhamdullillah my mil dah dpt dose 1st... Saya yg daftarkan utk dia... Sbb gajet mmg dia x berapa nak minat.... Yes dose 1st dia dpt Pfizer... Dia ckp x kisah brand apa jnji dia dah divaksinkan... Dia punya seronok lepas inject mcm budak dapat gula gula 😂😂,
Mak aku call tanya aku sebab ada org bagitahu dia kalau nk travel kena ikut jenis vaccine. Dia tanya Pfizer boleh pi mana? Hahah,
Cemane nak dpt pfizer ek,
@Reenahamidz @masfaizhakim pengalaman sy bw mak hari tu bila declare ngn doc sblm cucuk... doc decide presribed with pfizer... alhamdulillah ...,
"🧪 Vaccines used globally

Pfizer/BioNTech (contd.):
🇵🇦 PA 🇵🇪 PE 🇵🇭 PH 🇵🇱 PL 🇵🇹 PT 🇵🇸 PS 🇶🇦 QA 🇷🇴 RO 🇷🇼 RW 🇸🇦 SA 🇸🇩 SD 🇸🇬 SG 🇸🇻 SV 🇸🇲 SM 🇷🇸 RS 🇸🇰 SK 🇸🇮 SI 🇸🇪 SE 🇹🇨 TC 🇹🇳 TN 🇹🇷 TR 🇺🇦 UA 🇺🇾 UY 🇺🇸 US",
Aaj Kejri Pfizer seh gaali khaya hai. https://t.co/Rt1I5kd713,
@SinarOnline Bukan ke arwah ambil Pfizer. Nampak nau menipu,
@ezzatirose @amirahzabidi Tak boleh zati. Aku dah pergi. Sampai consultation dia tak bagi ambil if bf. Kena ambil pfizer,
@ANI Pfizer and Moderna to Kejriwal: https://t.co/iLdyT4sI3N,
"@AsanNishant @saxenaaditya321 @pramila2710 @ANI Han to sacchai h ...bahar se vaccine jb GOI k thru ayi h to vo unse deal krenge kya har alg region se... 
Why cnt they go and place orders for indian vaccine... 
Pfizer ko rkne ki dikkt h .. to keju wahi lega phr ek bahana hoga hmare pass refrigerator ni h ji..rkne ko",
@liiyanaaghani Eh bukan 60 above dpt Pfizer ke ?,
@ANI Pfizer and Moderna ne  Kejribawal ko apni aukat bataya hi,
Bila vaksin nak bagi kt klinik/hospital swasta supaya company besar boleh beli tuk staff atau bagi yg nak cepat n berkemampuan pastu boleh pilih vaksin apa yg nak dicocok kt diri sendiri. pfizer ke az ke semua pilihan sendiri.,
@uarnee Doc ak advice pfizer. Dia kata tunggu pfizer. Tp in my case sbb dah over 33 weeks xboleh amek gak. Kene tunggu after deliver.,
Dah ramai pun ibu menyusu cucuk AZ sebelum JKJAV tukar statement dalam poster and sebelum KJ buat pc suruh ambik Pfizer je. https://t.co/1Fchfqj9vR,
"@saxenaaditya321 @pramila2710 @ANI Punjab CM captain ne bhi same statement diya h, ki vaccine centre ko di jayegi aisa moderna or Pfizer ne bola h",
"@rafidah72 @khairul_hafidz Assalammualaikum doc. Adik saya sedang ttc. Dia sendiri pening bila byk sgt pendapat. Utk org yg ttc adakah sama seperti wanita mngndung, hanya boleh ambil vaksin Pfizer &amp; tidak boleh ambil AZ. Saya faham dia stress sbb klau boleh dia nk cepat2 vaksin. Tp turn Pfizer lmbat lagi.",
@han_nizs Pfizer dengan AZ has been proof to VOC. lupa terbaca kat mana,
"Dahtu haritu KJ buat pc kata wanita mengandung and ibu menyusu tak disyorkan ambik Sinovac or AZ, hanya ambik Pfizer, atas nasihat pakar KKM. Poster tu pun buat orang confuse haritu. Harini lain, delete, esok tukar lain. https://t.co/yJP8fKKvaG",
