Tweet,Nilai,Percaya,Tidak Percaya
"Biaya vaksin merek Sinopharm buatan China Rp. 500 ribu per suntikan. Semoga Pemerintah Komunis China akan ganti rugi warga RI karena virus corona berasal dari China. 

https://t.co/Q1xv8O39hc",,,
"Seiring jumlah pasien COVID-19 dan kematian terus meningkat setiap hari di Sri Lanka, antrean panjang terlihat di banyak tempat vaksin Sinopharm Tiongkok diberikan di negara pulau tersebut. Tengok video selengkapnya berikut ini https://t.co/WC1mY3tqBp",,,
"Penanganan Pandemi Airlangga mengungkapkan, total vaksin Sinopharm yang sudah tiba untuk vaksin gotong royong sebanyak 500 ribu dosis. #VaksinGotongRoyongPekerja

https://t.co/v5omonAjgS",,,
"@sociotalker hibah ini dipake gotong-royong atau gratis?
https://t.co/mP8DNDk15i",,,
"Penanganan Pandemi Airlangga mengungkapkan, total vaksin Sinopharm yang sudah tiba untuk vaksin gotong royong sebanyak 500 ribu dosis. #VaksinGotongRoyongPekerja

https://t.co/o3ip7IgRGD",,,
"7. Penanganan Pandemi Airlangga mengungkapkan, total vaksin Sinopharm yang sudah tiba untuk vaksin gotong royong sebanyak 500 ribu dosis. #VaksinGotongRoyongPekerja

https://t.co/lp95PG6oaa",,,
"Sejumlah negara menawarkan vaksin 'booster' bagi warganya, menggunakan vaksin Sinopharm. WHO sudah menyetujui vaksin ini dengan efikasi 79 persen. https://t.co/kRoFXnuCza",,,
"Pemerintah akan menambahkan jumlah dosis vaksin Covid-19 yang digunakan dalam program vaksinasi gotong royong. Adapun dua jenis vaksin yang akan ditambahkan adalah Sinopharm dan Cansino. Di samping itu, apakah vaksinasi gotong royong juga dapat memulihkan Ekonomi RI? https://t.co/v4xItouhAO",,,
@Sesa_Opas Vaksin gotong royong bukannya pake sinopharm om?,,,
Pemerintah fokus herd immunity https://t.co/UrQyNDq764,,,
@bin_sinopharm Wkkk 2 early 2 judge si tapi semoga wae,,,
@rhesume_ Heran ya pa kantor ko santuy betul,,,
"7. Penanganan Pandemi Airlangga mengungkapkan, total vaksin Sinopharm yang sudah tiba untuk vaksin gotong royong sebanyak 500 ribu dosis. #VaksinGotongRoyongPekerja

https://t.co/ajFC2Ca1lD",,,
"Penanganan Pandemi Airlangga mengungkapkan, total vaksin Sinopharm yang sudah tiba untuk vaksin gotong royong sebanyak 500 ribu dosis. #VaksinGotongRoyongPekerja

https://t.co/3Zgq3V73ey",,,
"Penanganan Pandemi Airlangga mengungkapkan, total vaksin Sinopharm yang sudah tiba untuk vaksin gotong royong sebanyak 500 ribu dosis. #VaksinGotongRoyongPekerja
https://t.co/JSqWW5Jney",,,
"Penanganan Pandemi Airlangga mengungkapkan, total vaksin Sinopharm yang sudah tiba untuk vaksin gotong royong sebanyak 500 ribu dosis. #VaksinGotongRoyongPekerja
https://t.co/k56H78z06P",,,
"7. Penanganan Pandemi Airlangga mengungkapkan, total vaksin Sinopharm yang sudah tiba untuk vaksin gotong royong sebanyak 500 ribu dosis. #VaksinGotongRoyongPekerja

https://t.co/Fqt2XOW9hh",,,
"@poobritney Untuk program ini, vaksin yang dipakai vaksin produksi Sinopharm.",,,
@nuytarigan Kalo yg penggunaan pertama pd pake sinovac and sinopharm apa yak kemaren tetehku cerita karna dia baca ampul nya,,,
"@ProfesorZubairi Prof, barangkali berkenan untuk dapat jg dibahas mengenai vaksin Sinopharm bagi Odapus... terima kasih sebelumnya Prof,. Salam sehat 🙏",,,
"Bahrain dan UEA Tawarkan Suntikan ""Tambahan"" Sinopharm Kepada Warganya https://t.co/z0x6LY9NHE",,,
@MuzamilMumtaz10 Mtlb Astrazeneca lgni ya sinopharm,,,
@ArvinderSoin ek  kam kyo nhi krte pfizer moderna johnson covidshield sputnik covaxin sinopharm sabko mila ke khichdi kyo nhi bna dete,,,
"@Stone98Jade @univ_indonesia @UGMYogyakarta @itbofficial @ipbofficial @unpad @UndipSemarang @UB_Official @its_campus @Unair_Official @UNJ_Official @upiofficial @BEMUI_Official @bemkm_ugm @bemkmipb @KM_ITB @bem_unpad @BEMUndip_ @BEMUNAIR_ID @BEM_ITS @muhammadiyah @nahdlatululama @univ_pasundan @11MaretUniv @iainsurakarta @Jogjastudent @EM_UBOfficial @UINSK @UIIYogyakarta @SBYudhoyono @Pak_JK @fadlizon @aagym @hnurwahid @rockygerung @msaid_didu @JimlyAs @KhofifahIP @PKSejahtera @Nurmantyo_Gatot @ustadtengkuzul @haikal_hassan @ReflyHZ @caknundotcom @infoRIAU @infoSumbar @DMS_AMBON @tvOneNews @Metro_TV @kompascom diUSA sehabis divaksin,Gak perlu pake Masker=bukti Vaksin itu Asli&amp;Efektif.
diIndo sehabis di V-CINA-SINOPHARM-SINOVAC-CANSINO,masih hrs pake masker=BUKTI Vaksin PALSU;TERBUKTI SGT TAK efektif&amp;TAK aman&amp;TAK halal&amp;MEMATIKAN/RESIKO MATI!
Msih mau divaksinCINA?Maaf,SGT TOLOL bila mau https://t.co/oF6dmG7lb9",Tidak Percaya,,
"@sociotalker pertanyaan yg sama di tweet sy ke @spartancuyy dan @perupadata kemarin:

Sinopharm dr awal utk Vaksin Gotong Royong..

tp pemerintah bilang MERK Vaksin Gotong Royong hrs BEDA dgn Vaksin Program Pemerintah

nah, Sinopharm hibah dr UAE itu utk yg mana ? 

https://t.co/ZhgfbGuIfA",,,
Indonesia Dapat Komitmen 15 Juta Dosis Vaksin Sinopharm https://t.co/Ae67Wq1Wuy,,,
"@Stone98Jade @univ_indonesia @UGMYogyakarta @itbofficial @ipbofficial @unpad @UndipSemarang @UB_Official @its_campus @Unair_Official @UNJ_Official @upiofficial @BEMUI_Official @bemkm_ugm @bemkmipb @KM_ITB @bem_unpad @BEMUndip_ @BEMUNAIR_ID @BEM_ITS @muhammadiyah @nahdlatululama @univ_pasundan @11MaretUniv @iainsurakarta @Jogjastudent @UMYogya @UnsoedOfficial @UNAS1949 @UnivTerbuka @bemkmunnes @halokampus @yeahmahasiswaa @TulisanPELAJAR @iloveaceh @official_unand @hasanuddin_univ @infoHMI @pp_tebuireng @nu_online @DrTaufan1 @tni_ad @blogdokter @detikcom @usembassyjkt @DubesUniEropa @DubesAustralia @POTUS @VP @NajwaShihab diUSA sehabis divaksin,Gak perlu pake Masker=bukti Vaksin itu Asli&amp;Efektif.
diIndo sehabis di V-CINA&gt;SINOPHARM-SINOVAC-CANSINO,masih hrs pake masker=BUKTI Vaksin PALSU;TERBUKTI SGT TAK efektif&amp;TAK aman&amp;TAK halal&amp;MEMATIKAN/RESIKO MATI!
Msih mau divaksinCINA?Maaf,SGT TOLOL bila mau https://t.co/MX3WuX0Bxr",Tidak Percaya,,
"Indonesia mendapat jaminan vaksin dari Sinopharm dan Cansino untuk 12,5 juta orang yang ikut vaksinasi gotong royong. Total ada 20 juta dosis vaksin. https://t.co/DvJZYsYGaR",,,
"@sociotalker @KawalCOVID19 Misal ada perusahaan membeli sinopharm, dan ternyata karena sesuatu lain hal terdapat sisa vaksin tidak terpakai, sisa vaksin tersebut dhibahkan ke pemerintah dalam rangka vaksin program. Maka pengecualian harus berbeda berubah menjadi ""dapat sama"".",,,
"Prof, vaksin Program: Sinovac, Novavax, &amp; Astrazeneca. Ketiga vaksin tsb tdk boleh digunakan u/ Vaksin Mandiri.

Jk nanti Pemerintah dpt hibah Sinopharm (yg dipakai vaksin mandiri saat ini) u/ Vaksin Program, maka Sinopharm tetap dpt digunakan Vaksin Mandiri (beli sendiri/Swasta) https://t.co/d9xVSjsYH7",,,
"@sociotalker gw nangkapnya kepmenkes ini memberikan flexibilitas atas jenis vaksin yg bisa dipakai untuk vaksinasi program dan diprioritaskan, misal kemenkes mendapatkan hibah vaksin sinopharm maka vaksin tersebut bisa dipakai untuk vaksinasi program juga, tidak saklek harus beda.",,,
"@sociotalker @KawalCOVID19 1. Jenis vaksin berbeda dr program. VakProg, Sinovac. VakMan, Sinopharm.
2. Dibilangnya, pd kondisi tertentu, JENIS vaksin utk VaxMan boleh sama dg VakProg yg berasal dari Hibah. Astraznca.
Berarti saat kondisi itu Kimia Farma boleh import Aztraznca tp bukan Sinovac

Begitu kan?",,,
Vaksinasi gotong royong (VGR) untuk para buruh atau karyawan swasta pada tahap pertama ini menggunakan vaksin Sinopharm. https://t.co/gpjzYadtYG,,,
Indonesia sudah mendapatkan komitmen 15 juta dosis vaksin Sinopharm sampai bulan Desember.,,,
"Menko Erick Thohir sebut Indonesia Dapatkan Komitmen 15 Juta Dosis Vaksin Sinopharm
https://t.co/plsr9gVBPp

#pustakalewi #news #newstoday #erickthohir #vaksin #vaksinsinopharm #vaksìncovid19 #menteribumn #menteribumnerickthohir #beritaupdate",,,
Menteri Thohir: RI Sudah Dapat Komitmen Pasokan 15 Juta Dosis Vaksin Sinopharm https://t.co/39ECfRpQRG,,,
"Untuk jenis vaksin, @KemenkesRI menetapkan, vaksinasi gotong royong ini menggunakan vaksin Sinopharm, vaksin asal China. Hingga 1 Mei 2021, pemerintah telah menerima 982.400 vaksin jd Sinopharm yang siap digunakan untuk vaksinasi ini. @Rizmaya__ @Ari3Pras
https://t.co/iofOQ32WFu https://t.co/OXMhCh05xE",,,
"@drpriono1 @BudiGSadikin Masalah utama lainnya kecepatan vaksinasi karena vaksin efikasinya turun seiring waktu. Contohnya Sinopharm yg di UAE perlu booster shoot, 6 bulan setelah vaksin ke-2. Mampu nggak kita selesaikan vaksinasi dlm 6 bln?

https://t.co/xTDqrqDApg",,,
"Presiden @jokowi meninjau Vaksinasi Gotong Royong utk para karyawan di PT Unilever Indonesia Tbk.

Vaksinasi dilakukan kepada 320 Karyawan PT Unilever dan menggunakan vaksin Sinopharm.

Rencananya ada 10.000 Karyawan yg akan disuntik vaksin COVID-19. 

https://t.co/2EuWZW8tOs",,,
"@anchabasgan Bukan nama vaksinnya kayak sinovac, pfeizer dll gitu sih, nama progammya aja vaksin gotong royong. Jadi kayak pemerintah dan perusahaan swasta gotong royong mempercepat immunity. Vaksinnya mah pake sinopharm dan cansino kalau ga salah.",,,
"Di Indonesia sendiri vaksin ini sudah mendapatkan persetujuan penggunaan dari BPOM pada 29 April 2021. Selanjutnya, vaksin Sinopharm akan digunakan dalam skema gotong royong atau vaksin mandiri lho, Sahabat Kaef.

#KimiaFarmaBebenah
#VaksinGotongRoyongPekerja
(2)",,,
"Tahukah Sahabat Kaef?

Badan kesehatan dunia atau WHO telah memasukan vaksin Covid-19 yaitu Sinopharm ke daftar penggunaan darurat. Vaksin Sinopharm ini juga telah diuji dan disetujui penggunaannya di beberapa negara, dan dinyatakan aman dan efektif oleh WHO.
(1) https://t.co/8oF9FTjlu0",Percaya,,
Indonesia sudah mendapatkan komitmen 15 juta dosis vaksin Sinopharm sampai Desember. https://t.co/d5mCNGPtP2,,,
Indonesia sudah dapat komitmen 15 juta dosis vaksin Sinopharm - ANTARA News Jawa Barat https://t.co/LFOZiC22JJ,,,
@KKMPutrajaya @DrAdhamBaba @DrNoorAzmi @DGHisham @Khairykj @JKJAVMY @JPenerangan @officialmosti @bernamadotcom Seycheles sudah vaccinate 60% penduduk tetapi covid naik balik. Sebab apa? Mereka guna Sinopharm yang tidak berapa berkesan seperti Pfizer.,,,
@Khairykj Xpe la YB. Saya dah dapat maklumat yg NPRA sedang meneliti permohonan satu company yg dah apply utk Sinopharm.,,,
@mulanbilqis Vaksin Sinopharm beda dgn Sinovac ya?,,,
Semoga besok vaksin sinopharm Amiiin jangan sampe astrazenecca macet batal 🤣🤣🤣,,,
"Komitmen dalam rentang waktu Mei sampai Desember.

Selengkapnya: https://t.co/dZOZ9w9Q6B #Sinopharm",,,
@aajtak Kyuki Pfizer aur Sinopharm ki lobbying ho rahi hai,,,
"hari ini gw ikut program vaksinasi gotong royong dapat vaksin Sinopharm.. Habis vaksin gw ngantuuuuuuuuuuuuuuuuuuuuuuuuuuuk. Reaksi wajar sih. 

Gw saranin klo lu pada mau vaksin, sebaiknya ambil day off deh. Karena enakan abis vaksin itu bubu cantik  ato ngaso2 di tempat tidur.",,,
Vaksinasi gotong royong menggunakan vaksin Sinopharm dan Cansino. https://t.co/mwP8XEkPok,,,
"Fakta-Fakta Vaksin Sinopharm: Tingkat Efikasi, Efek Samping, Sasaran https://t.co/6l0Nzx8bVm",,,
Menteri BUMN Erick Thohir menyebut pemerintah sudah mendapatkan komitmen untuk sebanyak 15 juta dosis vaksin Sinopharm di tahun 2021. https://t.co/wkTj0CLOE2,,,
@KucingMletus @hrdbacot Wkwkw kampret sama maxim,,,
"Jenis vaksin yang digunakan untuk vaksin gotong royong ini adalah produk Sinopharm, tapi tidak menutup kemungkinan pihak Bio Farma menggunakan produk vaksin lain. #vaksinasi #sinopharm #biofarma #covid19 

https://t.co/3iMFkpxn2I",,,
"Erick Thohir menyatakan, dosis tersebut mencakup vaksin Sinopharm dan Cansino yang cukup untuk vaksinasi sebanyak 12,5 juta orang. https://t.co/N6OdM0O6ca",,,
@detikfinance Vaksin Sinopharm ini sangat efektif dalam menekan penyebaran virus Corona karena sudah lolos standar WHO dan vaksin gotong royong ini juga sama mempunyai kualitas dalam atasi pandemi yang di siapkan Kimia Farma dan diberikan kepada masyarakat,,,
"@cnbcindonesia Kalau Kimia Farma ini selalu memberikan yang terbaik apalagi soal Vaksin Sinopharm, ini juga udah  lolos standar WHO, begitu juga vaksin gotong royong yang akan sangat bagus untuk menekan penyebaran covid-19 di negeri ini",,,
"@cnbcindonesia Jadi makin yakin setelah pihak Kimia Farma menjelaskna bahwa Vaksin Sinopharm ini telah lolos standar WHO
Kini siap dipakai untuk vaksin gotong royong di negeri kita",Percaya,,
"@bin_sinopharm @hrdbacot Coba tanya ladaza omm, kali aja mau merger sama maxim nanti ditawarin pasti deh 😛",,,
@KucingMletus @hrdbacot Kpn y,,,
"Jenis Vaksin Gotong Royong:

1.Vaksin Sinopharm
Inactivated vaccine yg disebut SARS-CoV-2 vaccine (vero cell). Efikasi vaksin 78%.
Diberikan dlm 2 suntikan.
2.Vaksin CanSino
Vaksin vektor yg memuat antigen dr virus yg tidak berbahaya (adenovirus). Efikasi 65-69%, dlm 1 suntikan. https://t.co/ceOvr2XtFv",,,
"(5)
Mengenai jenis vaksin,
Sesuai Permenkes 10/2021, vaksinasi gotong royong harus menggunakan jenis vaksin yg berbeda dg vaksin yg digunakan dalam vaksinasi program pemerintah.

Dalam hal ini, per 1 Mei kemarin telah siap 982.400 vaksin jadi asal China, SINOPHARM.

Catet, GRATIS https://t.co/qSUM9OuCkp",,,
"Vaksinasi Untuk 7.000 UMKM Dimulai, Pakai Sinopharm &amp; CanSino https://t.co/u5XjssUxVG",,,
"Kalau jenis bayar tax to gov banyak and ada cable besar, cepatlah dapat pfizer full dose. Satu family nanti dapat hehe 🤫 but kalau nak sinopharm, kena pandai2 lah buat cable with Ago*g tu https://t.co/DcOKLbiVOi",,,
"5• tertinggi vaksin per dosis Rp 321.660 dan tarif layanan vaksinasi tertinggi sebesar Rp 117.910 per dosis.

Sementara untuk JENiS vaksinnya tertuang dalam Permenkes Nomor 10 Tahun 2021, untuk vaksin Gotong Royong vaksin yg dipilih adalah SINOPHARM. https://t.co/6REOZ7rx9J",,,
Penetapan Besaran Harga Pembelian Vaksin Produksi Sinopharm Untuk Vaksinasi Gotong Royong — #SobatKom #DiskominfoKaltim https://t.co/tk2H6rA3QS https://t.co/qF0mhnYjYf,,,
"Sinopharm sudah memberikan komitmen kepada Indonesia untuk menyediakan 15 juta dosis vaksin

Selengkapnya https://t.co/WI0HBJNPrS #Vaksinasi",,,
@atpridwan Haha sinopak ga ada. Astra honda aja ada . 😂 Atau yg gotong royong sinopharm,,,
Program vaksinasi gotong royong menggunakan vaksin Sinopharm dan CanSino. https://t.co/fsW1B0QX1F,,,
"@fadhilatul_adha @501Awani vaksin astrazeneca di stop semntara karna ada yg meninggal, cina kirim bahan baku vaksin kmudian diolah biofarma,pihak swasta jg ikut vaksin secara mandiri (cansino sinopharm),indo jg mau bikin vaksin sendiri ""merah putih""..mungkin begitu jawabanya. https://t.co/qtvntSO5tw",Tidak Percaya,,
"Engga usah khawatir lagi yah mengenai Vaksin Sinopharm yang digunakan dalam vaksin gotong royong sudah lolos standar WHO loh, Kimia Farma sudah membuktikan. Jadi aman, segera vaksin yah #Kimiafarmabebenah

https://t.co/KAWZBQGsA9",,,
"Vaksin Gotong Royong untuk pekerja yang digelar perdana, Selasa, 18 Mei 2021 di Jawa Barat dengan menggunakan Vaksin Sinopharm diharapkan dapat terciptanya Herd Immunity dan kekebalan komunitas.
BerGotongRoyong Yuk 

https://t.co/HJV1cM6B8E",,,
"Sobat BUMN! 
Pada hari ini, Vaksin Gotong Rotong resmi digunakan. Presiden Jokowi menyatakan 19 perusahaan manufaktur sudah dapat menggunakan Vaksin Gotong Royong.
Vaksin yang digunakan dalam vaksinasi gotong royong adalah vaksin Sinopharm dan CanSino. 
#VaksinGotongRoyongPekerja https://t.co/spVVlK5pOk",,,
"4
Dengan vaksinasi Sinopharm 320 karyawan PT Unilever dan belasan perusahaan di Jabodetabek mengikuti vaksinasi Gotong Royong.
BerGotongRoyong Yuk https://t.co/4ZvdmHu8zR",,,
Dengan vaksin Sinopharm belasan perusahaan di Jabodetabek mengikuti vaksinasi gotong royong. Agar program vaksinasi berhasil mari BerGotongRoyong Yuk ! https://t.co/CdEgDjukb7,,,
Dengan vaksin Sinopharm sebanyak 320 karyawan PT. Unilever mengikuti vaksinasi gotong royong. BerGotongRoyong Yuk agar program vaksinasi bisa berhasil dan sukses. https://t.co/xZuEdtxJf5,,,
Dengan vaksin Sinopharm belasan perusahaan di Jabodetabek mengikuti vaksinasi gotong royong. Kita BerGotongRoyong Yuk untuk suksesnya program vaksinasi. https://t.co/eBwEWVmkWA,,,
Agar program vaksinasi berhasil mari BerGotongRoyong Yuk ! Dengan vaksin Sinopharm sebanyak 320 karyawan PT. Unilever mengikuti vaksinasi gotong royong. https://t.co/wE3NSFKuEL,,,
BerGotongRoyong Yuk agar program vaksinasi bisa berhasil dan sukses. Dengan vaksin Sinopharm belasan perusahaan di Jabodetabek mengikuti vaksinasi gotong royong. https://t.co/uFcBOAxyhf,,,
Kita BerGotongRoyong Yuk untuk suksesnya program vaksinasi. Dengan vaksin Sinopharm sebanyak 320 karyawan PT. Unilever mengikuti vaksinasi gotong royong. https://t.co/KnSxHBG8Ha,,,
"Vaksin Sinopharm adalah vaksin yang dipakai untuk vaksinasi / 320 karyawan PT Unilever dan belasan perusahaan di wilayah Jabodetabek yang mengikuti pelaksanaan vaksinasi gotong royong.
BerGotongRoyong Yuk https://t.co/jP9u1Nro3c",,,
dengan vaksin sinopharm 320 karyawan PT Unilever dan belasan perusahaan di Jabodetabek mengikuti vaksin BerGotongRoyong Yuk https://t.co/Ju20snew1K,,,
"Dengan vaksin sinopharm, 320 karyawan PT Unilever dan belasan perusahaan di Jabodetabek mengikuti vaksinasi gotong royong.
BerGotongRoyong Yuk https://t.co/BnJSuX5BO7",,,
"Dengan memakai vaksin sinopharm, sejumlah 320 karyawan dari PT Unilever dan alasan perusahaan di daerah Jabodetabek mengikuti pelaksanaanan vaksinasi gotong royong.
BerGotongRoyong Yuk https://t.co/CU6afknhxJ",,,
"Dengan vaksinasi Sinopharm 320 karyawan PT Unilever dan belasan perusahaan di Jabodetabek mengikuti vaksinasi Gotong Royong.
BerGotongRoyong Yuk https://t.co/wQRtH3ywOW",,,
"Dengan vaksinasi Sinopharm 320 karyawan PT Unilever dan belasan perusahaan di Jabodetabek mengikuti vaksinasi Gotong Royong.
BerGotongRoyong Yuk https://t.co/UXz0mOmQIA",,,
"Sinopharm Jadi Salah Satu Vaksin Gotong Royong, Ini Profilnya https://t.co/0IaHBy24Kw via @medcom_id #cekdulumedcom #CaraBaruMenikmatiMedcom",,,
"Sobat BUMN! 
Pada hari ini, Vaksin Gotong Rotong resmi digunakan. Presiden Jokowi menyatakan 19 perusahaan manufaktur sudah dapat menggunakan Vaksin Gotong Royong.
Vaksin yang digunakan dalam vaksinasi gotong royong adalah vaksin Sinopharm dan CanSino. 
#VaksinGotongRoyongPekerja https://t.co/xgHoZe1wqW",,,
"Sobat BUMN! 
Pada hari ini, Vaksin Gotong Rotong resmi digunakan. Presiden Jokowi menyatakan 19 perusahaan manufaktur sudah dapat menggunakan Vaksin Gotong Royong.
Vaksin yang digunakan dalam vaksinasi gotong royong adalah vaksin Sinopharm dan CanSino. 
#VaksinGotongRoyongPekerja https://t.co/PIcXAv1R2Q",,,
"Hampir 600 karyawan pabrik yang dikenal sebagai Marunda Refinery ini akan mendapatkan injeksi vaksin Sinopharm, kemudian secara bertahap menjangkau hingga 3.000 karyawan. #vaksin #gotongroyong #Sinopharm 

https://t.co/MmL9xaTSIN",,,
Berdasarkan Keputusan Menteri Kesehatan Nomor HK.01.07/MENKES/4643/2021. Kemenkes telah menetapkan tarif maksimal harga pembelian vaksin produksi Sinopharm sebesar Rp. 321.660 perdosis dan tarif maksimal pelayanan vaksinasi sebesar Rp. 117.910.,,,
Ini Profil Vaksin Sinopharm yang Didistribusikan dengan Skema Gotong Royong https://t.co/TFSq531xkQ,,,
Adapun jenis vaksin yang akan digunakan untuk Vaksinasi Gotong Royong berbeda dengan vaksinasi program vaksinasi nasional dan salah satu vaksin yang digunakan untuk Vaksinasi GR adalah vaksin produksi Sinopharm.,,,
"@KemenkesRI telah menetapkan harga Vaksin Sinopharm dan tarif pelaksanaan vaksinasi gotong royong.
harga Vaksin Sinopharm sebesar Rp 321.660 per dosis.
Sedangkan tarif maksimal pelayanan vaksinasi sebesar Rp 117.910.
Yg pendanaannya dibebankan pada badan usaha, alias gratis https://t.co/wL3b0hCyKH",,,
"Kawan JM! Pada hari ini, Vaksin Gotong Rotong resmi digunakan. Presiden Jokowi menyatakan 19 perusahaan manufaktur sudah dapat menggunakan Vaksin Gotong Royong.

Vaksin yang digunakan dalam vaksinasi gotong royong adalah vaksin Sinopharm dan CanSino. https://t.co/SezeX8p6Vk",,,
"Gunakan Vaksin Sinopharm, 10 Juta Pekerja Segera Divaksin https://t.co/wkjMaHE54F",,,
@Asghar75 @Asad_Umar Sinopharm ha ink pas ....bcz unho ne hmei ye kaha ha k jinko first dose lgi ha sinopharm ki unk liae sinopharm ki second dose rakhni ha. .....so ap inko kh k woi lgwaein,,,
"Selain Sinopharm, Vaksin Gotong Royong juga akan menggunakan vaksin Cansino dari China. Program ini akan menyuntikkan vaksin Covid-19 pada karyawan swasta.
Hingga sekarang memang baru Sinopharm yang sudah ada.
Vaksin Cansino diketahui juga sedang dipesan berjumlah 5 juta dosis. https://t.co/qxLA4ezT1o",,,
"Pada hari ini, Vaksin Gotong Rotong resmi digunakan. Presiden Jokowi menyatakan 19 perusahaan manufaktur sudah dapat menggunakan Vaksin Gotong Royong.

Vaksin yang digunakan dalam vaksinasi gotong royong adalah vaksin Sinopharm dan CanSino. 

#VaksinGotongRoyongPekerja https://t.co/w5ZxBV52it",,,
Pengadaan vaksin Sputnik V dan CanSino masih dalam proses negosiasi. Vaksinasi mandiri masih mengandalkan vaksin buatan Sinopharm. #korantempodigital #KoranTempo https://t.co/7nFvvxVn0i,,,
"Sinopharm Jadi Salah Satu Vaksin Gotong Royong, Ini Profilnya https://t.co/FfmEZCTs45",,,
"Sobat BUMN! 
Pada hari ini, Vaksin Gotong Rotong resmi digunakan. Presiden Jokowi menyatakan 19 perusahaan manufaktur sudah dapat menggunakan Vaksin Gotong Royong.

Vaksin yang digunakan dlm vaksinasi gotong royong adalah vaksin Sinopharm dan CanSino. 

#VaksinGotongRoyongPekerja https://t.co/GxZ5qe8LEl",,,
"@hrdbacot Setelah penunjukkan, perusahaan melakukan Purchase Order, penandatanganan PKS dan pembayaran ke Biofarma &gt; Pembayaran DP 50% &gt; Sebelum vaksinasi dimulai harus sudah lunas.

Info tambahan:
1. Vaksin yang digunakan sejauh ini Sinopharm",,,
"#Portlovers
Vaksin Gotong Rotong resmi digunakan. Presiden Jokowi menyatakan 19 perusahaan manufaktur sudah dapat menggunakan Vaksin Gotong Royong.

Vaksin yang digunakan dalam vaksinasi gotong royong adalah vaksin Sinopharm dan CanSino. 

#VaksinGotongRoyongPekerja https://t.co/zhZelVA0ru",,,
"Harga tertinggi vaksin Sinopharm yang digunakan dalam program Vaksinasi Covid-19 Gotong Royong untuk Pekerja ini ditetapkan sebesar Rp321.660 dengan tarif maksimal pelayanan vaksinasi sebesar Rp117.910 masing-masing untuk setiap dosisnya.

#KawalPresidenJokowi https://t.co/opCeb8u7Sr",,,
"Sblmnya, pada 7 Mei 2021, WHO telah memasukkan Sinopharm ke dlm WHO Emergency Use Listing shg dpt digunakan oleh berbagai negara. BPOM juga telah mengeluarkan izin penggunaan darurat (EUA) bagi Sinopharm utk dpt digunakan dlm program vaksinasi di Indonesia

#KawalPresidenJokowi https://t.co/PFDVCu42Pp",,,
"Untuk diketahui, program Vaksinasi Covid-19 Gotong Royong untuk Pekerja yang digelar perdana hari ini menggunakan vaksin Sinopharm yang berbeda dengan vaksin yang digunakan dalam program vaksinasi massal pemerintah.

#KawalPresidenJokowi https://t.co/l8pC7bwQ2I",,,
Dua Jenis Vaksin Gotong Royong yang  telah tersedia di Indonesia yaitu Sinopharm dan Cansino. #VaksinCOVID19 #CoronaVaccine #VaksinGotongRoyongPekerja #coronavirus #IngatPesanIbu https://t.co/x7GeoIbliJ,,,
"Ini Spesifikasi Vaksin Sinopharm China untuk Vaksinasi Mandiri

WHO telah mengeluarkan persetujuannya terhadap penggunaan darurat vaksin COVID-19 buatan perusahaan farmasi milik Pemerintah China Sinopharm karena dinilai aman dan efektif digunakan.
https://t.co/5SOKAMbARX",,,
"Walau Vaksinasi Sinovak C-19 berlangsung khusus Tenaga Medis &amp; Lansia, &amp; 18/5 Vaksinasi Gotong Royong Sinopharm berlangsung dihadiri Pres @jokowi
B117 dari Inggeris &amp; mutasi baru dari India. 18/05 Kasus 1.748.230 org, sembuh 1.612.239 org, Wafat 48.477 org. #ProtokolKesehatan3M https://t.co/YKpjPeA8Hh https://t.co/AR8VS9zsfV",,,
@bin_sinopharm Mohon info tmpt yg harga miring atau kalau mau jual harga diskon,,,
Vaksin Sinopharm Siap Didistribusikan dengan Skema Gotong Royong https://t.co/Xbr6qGnMeR #beritajogja #jogja #jogjaistimewa https://t.co/UaZ6BpZSLK,,,
"Cek Fakta! Vaksin Sinopharm yang Digunakan Sebagai Vaksin Gotong Royong, Memiliki Tingkat Efikasi 86%  https://t.co/EJsvBeXKwt",,,
@bin_sinopharm pantau!,,,
@DanShortyShort Haha sebal,,,
"Technobike terpantau mulai tebar diskon saudara-saudara

Pertanda hype-nya udah luntur",,,
*pdhl belum setengah taun ganti sepeda 😢*,,,
@swuah Sinopharm itu beda kah sama sinovac ?,,,
Vaksin yang digunakan dalam vaksinasi gotong royong adalah vaksin hasil kerjasama Bio Farma dengan Sinopharm dan CanSino. https://t.co/579Q9StTTG,,,
"Lolos Standar WHO, Ini Penjelasan KAEF soal Vaksin Sinopharm https://t.co/2rXbVpcckK",Percaya,,
"Lolos Standar WHO, Ini Penjelasan KAEF soal Vaksin Sinopharm https://t.co/sHtP22kedl",Percaya,,
"Didistribusi dengan skema gotong royong, ini profil vaksin Sinopharm https://t.co/JBiWVH2WiD",,,
"Organisasi Kesehatan Dunia (WHO) telah mengeluarkan persetujuannya terhadap penggunaan darurat vaksin COVID-19 buatan perusahaan farmasi milik Pemerintah China Sinopharm karena dinilai aman dan efektif digunakan.

https://t.co/SQXPBjOc7X",Percaya,,
@st_nurjanahh Siap siap di suntik nih pakai vaksin sinopharm,,,
Pengadaan vaksin Sputnik V dan CanSino masih dalam proses negosiasi. https://t.co/5BbudEkSfE #KoranTempo,,,
