Tweet,Nilai,,
"Baru aku tahu kenapa ramai ahli agama tolak vaksin. 

Kerana mereka ...... https://t.co/RWwj04s0wS",,,
@LAHofficial Petronas bagi fund banyak kt gomen sebab tu depa dapat vaksin dulu. Simple Dimple Kapadia.,,,
"@mieja_ibrahim X,nak tanya la en..nape yg +covid kt hosp. X diberikan vaccine terus ek? Bukan lagi snng ke klu diorg diberi vaksin terus bila dh +covid? Tanya je sbb terpikir n nak tahu",,,
Aku yang dah dapat vaksin pun still tak berani nak kemana mana. Yang tak ambik vaksin berani nak merentas negeri bagai. I dont know what to say.,,,
"kau mengundi pandai pulak naik motor pegi angkut orang mengundi, kalau boleh yang tengah parak nak mampus pun kau bawak slip undi ke hospital, angkut pakai van, tolak pakai wheelchair, ni mai vaksin, tau2 ""depa semua bodo, depa tolak vaksin, ni semua melayu bodo"", eh buloh betul",,,
"Boleh tak trace untuk vaksin, kau tu register vaksin guna apps, memang umur 70-80 an ni terer sangat pakai apps, memang semua 70-80 an digital illiteracy tinggi. Pastu suruh anak2 tolong, anak2 dia memang sorang je, lepastu kau expect orang rentas negeri, semata2 vaksin, cantik.",,,
"And kebanyakan decision untuk tolak vaksin ni jugak, anak2 diorang yang umur 40-60an ni yang buatkan, iye, tempat atuk aku vaksin, banyak sibat2 mcm ni yang datang and cakap parents dia tak mau, tapi idak dibawak orang tua tu datang.",,,
"nak kena balik hari pulak tu, penyudahnya apa, penyudahnya tak ada la, diorang datang. Lepastu diorang yang tua2 ni pulak makan maki engko, macam la engko tu terpaling vaksin dalam malaysia ni. Diorang phone pun x ada nak sibuk2 jadi anti vaksin ni.",,,
"Orang tua tak tolak vaksin, diorang sebenarnya tahu pun tidak, silap2 cucu yang daftarkan dalam phone parents diorang, dan tolong buatkan untuk atuk nenek masing2. Lepastu nak rentas negeri, anak2 pun dah 50-60 umur, nk rentas kene sorang2 tak boleh berdua laki bini.",,,
"Berapa banyak kali dan hari hashtag #KerajaanGagal , tapi semuanya tak dipedulikan oleh kerajaan atau golongan kayangan. Nafsi nafsi katanya. Janji aku dan keluarga dapat cucuk vaksin, rakyat boleh buat hal sendiri.",,,
"Well done @DBKL2u tapi Sepatutnya minta bantuan Polis untuk tangkap PATI GRO yg duk menari ini!

Pastu tak ada Kompaun??

Rakyat 🇲🇾,patuh SOP tapi warga asing boleh bermaharajalela melanggar SOP

Eh PATI ini pun dapat FREE Vaksin!

@AnnuarMusa @DGHisham @zulkiflibujang 
@Dzaimee",,,
"Selain Program Vaksin Gratis, Ada Jugae Program Vaksinasi Gotong Royong untuk Membantu Upaya Pemerintah.

#UUCiptaKerjaPerkuatNKRI https://t.co/SFzXbDanJ2",,,
Gue tadi nemenin bokap vaksin di gbk terus seneng deh beneran helpful bgt orang2 yg ngarahin. Jelas dan cepet bgt 👏🏻,Percaya,,
"Dengar cerita staff kkm sendiri, “orang kita” ramai reject vaksin. Sudahlah kerajaan gagal, yang kita kat bawah ni tolong la celik otak sikit. Haishh.",,,
"@khairizulfadhli Sama macam untuk vaksin kan @Khairykj cakap takpayah surat, tunjuk je appointment dekat mysejahtera tu tapiii",,,
"@mfarhanafi Betul doh, dah la tak boleh tracing first CC. 

Betul ae vaksin AZ tak boleh prevent South Africa variant?",,,
😂😂😂 sebelum vaksin https://t.co/I5V2bA6oyG,,,
"@TunCarlos666 #KerajaanGagal mana taknya 

Menteri pertahanan - umno
Menteri kesihatan - umno
Menteri vaksin - umno

rsenya lah klu kerajaan BN yg memerintah hari ni lagi sampah jadinya.. setuju tak?",,,
"@TimpalBali setauku kudu sama, karena udah ada suratnya kan, jadi kita kudu ikut surat tsb 

aku udah selesai vaksin kedua btw di Legian",,,
"9 MEI 2021
MASA : 9.30 PAGI

INFO ON WHEELS
PKP 2021, PRO &amp; VAKSIN COVID-19
PMR DAERAH BANDAR BAHARU KEDAH

BERSAMA :
APM B.Baharu

LOKASI :

1. KEDA Sungai Salleh, Serdang 
2. Pekan Relau 
3. Kg Pintu Air
4. Kg Kilang Batu
5. Kg Padang
6. Taman Relau Indah
7. Taman Kelisa Emas https://t.co/OBCHpA2H7l",,,
"COVID: 666,495 Individu Terima Dua Dos Vaksin Setakat Semalam – Dr Adham https://t.co/inNs2dc5lw",,,
"Cepatkan vaksin! 😤
Tutup border! 😤 https://t.co/Ptw19NJVsz",,,
"Dalam rangka rangkaian HUT Lab CITO ke-54, persembahan istimewa diberikan khusus kepada Komunitas Lansia, Guru, Nakes, dan TNI.

Sahabat sehat CITO bisa mendapakan harga spesial pemeriksaan Antibodi Kuantitatif pasca vaksin ke-2 selama bulan April dan Mei. https://t.co/VuacYh7s9O",,,
"Sebanyak 1,389 Juta Dosis Vaksin Siap Pakai Astrazeneca Kembali Tiba di Indonesia.

#UUCiptaKerjaPerkuatNKRI https://t.co/gIwbyT0sXI",Percaya,,
@alextham878 Dak mungkin ini orang mau vaksin pasti takut mati,Tidak Percaya,,
"@alextham878 Tempo hari teriak vaksin bermasalah... Giliran vaksin datang... Eeh.. Duluan dia.  
Kan bangkee🤣🤣🤣",,,
Temenku baru abis vaksin semua wkwk gmn crnya ngajak pergi,,,
"#InfoMakmurJohor

Jumlah pendaftaran vaksin terkini di Johor melalui MySejahtera bagi negeri Johor sehingga 8 Mei 2021.

Sumber : Majlis Keselamatan Negara Negeri Johor https://t.co/knRfcovB9x",,,
"Total Vaksin Estrazeneca Dari Jalur Covax Adalah Sejumlah 6,41 Juta Dosis Vaksin.

#UUCiptaKerjaPerkuatNKRI https://t.co/PNW8x2vvqn",,,
Beragam pertanyaan terkait vaksin Covid-19 terus mengemuka. https://t.co/B9pDLH01Xv,,,
Satu berita kematian sebab vaksin dah menggelabah. Selama ni banyak berita kematian sebab rokok rilek je.,,,
"Selagi belum cucuk vaksin, selagi tu berisiko untuk jangkit. Kuarantin elok2, cepat sembuh ❤️ https://t.co/tKuaDCuPtn",,,
Forward2 maklumat tah pape kat ws bukan main. Nak ambil vaksin 🥲 oh bangsaku..... https://t.co/xrWyhKFURN,,,
"Maskar tu tak ad gunanya,sedangkan di vaksin aj ngak ngaruh ..gitu lho.... https://t.co/pliMiXJ7jC",,,
Nak bagi duit kat kapir tapi vaksin free😭. Kau kaya sangat ke kapir nak duit kau😭. Ni mesti golongan percaya gangster penunggang agama ni pejuang bangsa 😭. Bangsaku https://t.co/JyiiNzR4W6,,,
Saya punya KTp dan KK masih nunggu giliran belum divaksin. Malah SJW cs yg nolak vaksin kegirangan dapat vaksin duluan. Angel wes angel. 🤣 https://t.co/DRngM1ttvj,,,
@Ayyeepp Hahaha kan.. well. Everyone deserve to get vaccinate. Kita semua! Tapi kerajaan kata vaccine roll out lembab. Ka kerajaan yg lembab. Hahahaha. Sebab tu timbul isu sapa dpt dlu sapa xdpt. Shud be takdak isu prioritise sapa2 klau proses vaksin tu ok😭,,,
"Lepaih tu takde inisiatif nk bg orang semangat ambik vaksin. Bg la cabutan bertuah ka, free baucar kedai aceh ka. Tengok mcm mana US UK buat nk bg rakyat dia kucar kacir nk vaksin. Stakeholder punya banyak. Collab. Kerajaan bodoh.",,,
Syukur mak ayah sendiri memang dari awal nak vaksin. Katanya kalau boleh nak vaksin cepat-cepat sebab nak tengok cucu. Nak tengok cucu tau bukan anak sendiri hahaha.,,,
"Vaksin tak nak percaya, bomoh percaya pulak https://t.co/oqnCRz4c81",Tidak Percaya,,
@Marchfoward @zulijul921 Pakai sniper...jab semua org ...dgn vaksin...tanpa kecuali..terutamanya yang degil sgt..dok merayau.....hu.hu..,,,
@jisoomuallaf @hwanclouds @Poposindoe @Kemlu_RI Pernah denger kl israel sering dibom sm hamas?pernah denger yg vaksin pekerja2 palestina itu israel?mknye sering2 liat berita dr berbagai negara.biar kgk idiots,,,
"Embah cakap masa dia ambil vaksin, dia seorang je melayu. Ramai cina. https://t.co/m08EEjXz0m",,,
"Orang kilang aku pon tak cuti la.....
So based on your justification, operator and technician aku layak jugak dapat vaksin la kan..... https://t.co/Nha8ZzF3Z5",,,
Setau gue lebihdri sebulan. Adek temen tugas disana baru dibayar sebulan dri utang brapa bulan gtu. Duitnya di alihin dulu ke vaksin. Jdi tolong org2 pda mau divaksinlah. Ini nakes udh ngalah gajinya sementara ditunda loh. https://t.co/vRCZwtwvFA,,,
"@AnggikPrasetyaa lapor ke dokter yg vaksin la, malah nge twit",,,
@aminyasimin Laaa x dpt vaksin lg ke?,,,
Macam mana nak pujuk mak aku cucuk vaksin ni. Hum. https://t.co/Qv3dhxtaBA,,,
"So, sy menyeru, jgnlah rasa takut utk amik vaksin. Tp takutlah JIKA disebabkan anda tolak vaksin, lalu terkena covid &amp; spread jangkitan kpd org lain esp family tersyg. 

Sape yg da regis, sedang sabar menunggu giliran &amp; da amik, SYABAS sy ucapkan! Keep on patuh SOP &amp; stay safe!♥️",,,
"✅Extra info yg anda perlu tahu mengenai vaksin:

Fakta: % keberkesanan/efficacy rate lbh rendah TAK bermakna ianya kurang berkesan.

Any vaksin yg kita gunakan SEMUA nya telah terbukti berkesan. 

Kurang komplikasi serius, hospitalisation &amp; dpt mengelak kematian akibat Covid-19. https://t.co/lMKaQUJLJB",,,
"@hamimahothman4 Sudah la proses vaksinisasi lembab, kadar jangkitan pula meningkat dgn kes sporadik menggila, individu yg divaksinkan pula diserang pelbagai kesakitan. Tidak adakah penilaian sblm vaksin ditempah?",,,
"Apa yg perlu di lakukan pada hari kejadian pengambilan vaksin, adalah: 

Pastikan anda:
1. Pakai baju lengan pendek
2. Bawa IC
3. Dtg 30min/1 jam awal
4. Xperlu telan panadol or any ubat utk mengelak sebarang post side effect😅🙏🏻
4. Pakai mask/sanitize hands
5. Jgn skip ur meals",,,
"✅My vaccination experience:

Regardless apa vaksin yg anda dpt/terima, take it ok?! Sbb semua vaksin da terbukti selamat &amp; berkesan.

Pd 4.4.21, sy da pon terima vaksin jns Pfizer (Comirnaty). Segalanya berjalan lancar &amp; baik2 je. Alhamdulillah👍🏻💪🏻

#donevaksin #COVID19Vaccine https://t.co/KmkC5CVcMM",,,
"Sambil tggu 15 minit selepas vaksin, tiba² dgar perempuan menjerit sebab takut jarum. 😂",,,
@adamhariisss Cucuk vaksin dulu,,,
@republikaonline Yg benar vaksin merah putih atau vaksin gotong-royong ?,,,
food delivery frontliner tak dapat vaksin ka,,,
"Excuse me what? Ni kalau pak ostad suruh berubatbcara Islam, mesti dah gempur satu duni. Come on. Jgn double standard. Org bodoh kita lawan. Thanks sbb menjauhkan org dari vaksin. Ni parents kat pedalaman ramai akan terpengaruh. Share kat whatsapp lak. Aduh sakai https://t.co/w3GilFcH8K",,,
"Kalau perkiraan macamni. Better bagi kat banking industry bahagian kaunter dulu lah kot mana ada cuti. Hari2 mengadap customer. Senang cerita semua yg kerja kaunter, kena dapat vaksin dulu. Budak delivery/courier pun sama. https://t.co/OtY9sCU8Vq",,,
Harap esok lepas vaksin tak bertukar jadi bangman,,,
"Karena masih banyak yang belum vaksin, orang rumah memutuskan untuk gak unjung-unjung ke sekitar waktu hari raya~

Asikk, opini tetangga terminimalisir wkwk",,,
Mcmna nk yakinkan org terdekat/kenalan yang tak nk ambil vaksin?,,,
Masa election sanggup la angkut org tua naik motor. Kalo boleh nk diangkut ataih bahu suruh org tu mengundi. Bila time vaksin ni mampu mengeluh kat socmed “keNAPa oRAnG TuA caNcEL vaKSin”. Bodoh punya kerajaan.,,,
@AdibahOj @takterqyira @pedoqpop habis aku kerja hari2 tak layak diberi vaksin ke?? aku pun kira frontliner kot???,,,
Aku kena deal dgn high crowd density gak hari-hari. Tak dapat jugak vaksin. Kerja kasino dapat. Kerja OnG dapat. Bodoh je.,,,
Menyampah dengan anak-anak yang tak bagi mak ayah cucuk vaksin,,,
"Planning for today. Pagi keluar beli baju abah dgn abg, then balik kemas rumah. Kesudahannya, keluar lewat, then abah dapat vaksin tiba2 ada kosong, dari pukul satu lebih sampai lani tak siap lagi.  N malam ni due assignment. Ku pikir cuti sik da assignment kene hantar ba. Adehh",,,
Andi Mallarangeng Positif Covid-19 Walau Sudah Disuntik Vaksin https://t.co/JH1fQe910n lewat @Onlineindo News,,,
"@tilianker Eh babi, cakap Bill Gates yang wujudkan virus. Habis kenapa cucuk vaksin? Kenapa tak cucuk pendrive dalam dubur?",,,
"terpaling kerja, terpaling tak cuti, terpaling layak vaksin awal https://t.co/iq5AwTlj3n",,,
"@niknurfarlina Buke koho banyok, realitinyo meme dh makin banyok. Cepat²lah daftar vaksin tu",,,
"Area Indera Mahkota/Kuantan ni, satu poster vaksin pun aku tak jumpa.

Poster Darurat dan Raya gambar dia bersepah.

Oh. Dan poster amalkan 3W. https://t.co/LW5mHfXrz1",,,
@RasputinKW Iya lupa vaksin itu maha benar 😪,,,
Gila puak-puak ni .Gaya macm semua dah dapat vaksin https://t.co/l9xaI8cVPh,,,
Kemenkes Susun Rencana Imunisasi 14 Jenis Vaksin Secara Nasional https://t.co/jIWXIeCbSE,,,
@cxllenpnd Wow kena ada vaksin dulu baru boleh aku menembusi lurah IG mu,,,
Sebab tu aku kata melayu isleyyyyyy ni bab dosa maksiat tak takut mati tapi bab vaksin paling takut mati https://t.co/GPWmsWDdPv,,,
"Yang ni okay la dapat vaksin dulu, sb masa pandemik menyumbang, yang genting tu kenapa? Kira frontliners jela, sb kalau takde oil&amp;gas bende je kita ada, balak dah hm u kno where the balaks gone https://t.co/Fo1f3gRKPL",,,
24hours - Demam panas . Makan panadol terus tido . Kaklong ckp demam tu biasa sbb tu reaksi vaksin dlm badan 💪🏻 #jiahAZ,,,
@AnggikPrasetyaa sblm e takut apa gak pas mau vaksin?,,,
"@Annalyne___ Pengeluaran tetap, wks. Siapa bilang miara anakan bulu gampaaaang? Sini dikuliahin dulu. Biaya makan, jajan, obat rutin, vaksin, vitamin, mainan dan tabungan buat biaya emergency termasuk kalo mau steril~",,,
Jadi guna n manfaat vaksin utk apa??? https://t.co/muegpIQNOp,Tidak Percaya,,
"Amik vaksin lambat, daftar sbg pengundi punnn lambat. Yg cepatnya, teori konspirasi masing2. Melayu, melayu https://t.co/O6hHKcdiUP",,,
Andi Mallarangeng Positif Covid-19 Walau Sudah Disuntik Vaksin https://t.co/f0ZEMTv1Vj,,,
Vaksin ke2 masih lama juga ya https://t.co/yq9Uw1jqAa,,,
"video ni bg aku semangat utk cucuk vaksin. the man who is drowning is us during this pendemik, n kapal datang tolong tu is the vaksin. so fikir2 jela n munasabah diri. taknak ambik vaksin, takpe aku tak kisah pun. your body, your rights. yg penting jangan menyusah kan orang lain. https://t.co/yvHhUy5I8C",,,
Yang dah cucuk dua dos vaksin mesti fakap gila dengan goverment sebab tak dapat gak balik kampung haha,,,
"@ewinwinarti @r4nigoes Efeknya ngantuk, tp bobo jd efektif. Bs lama bobo setelah vaksin hehehe",,,
Aku cakap dekat kawan aku yang aku nak ambik vaksin covid ... Diaorg tanya kenapa... hek eleh...,,,
@A_C3PC @caesar_emil @Nikiae11 @chokie2nd @Bukan_anggota_ @venomest1 @jo201_rido @marshaalysia @arkompas Ga tahu petugasnya padahal aku sudah bilang kalo aku juga lansia tp tetap ga mau vaksin...,,,
"Cacamarba betul Malaysia sekarang ni.
Kadang2 aku harap dalam vaksin memang ada cip.
Senang sikit nak reset semua orang to factory default.",,,
"Giat Pawas Ipda KZ.Lubis beserta piket fungsi laksanakan Patroli dan monitor vaksin covid -19 di Puskesmas, serta kantor PAC IPK di wilkum Polsek Bt.Kuis.
https://t.co/dicSnAa5oc",,,
"Kapolda Metro Jaya Irjen Pol Fadil Imran meninjau penyuntikan vaksin dosis kedua di Kampung Tangguh Jaya (KTJ) PT Kawan Lama, Pegadungan, Kalideres, Jakarta Barat, Minggu #vaksincovid-19 https://t.co/dWdfHc3JFu",,,
"@TimpalBali Gak tau nder, baru 2 hari vaksin pertama. Bayu e drop",Percaya,,
"@SPlandemic ""Itu karena sindroma was wes wus wis, bukan karena vaksin, krn vaksin itu aman""
Template jawaban 🤦‍♂️",,,
Bisnis vaksin ok juga nih setelah drive thrue test 😂 https://t.co/0y3QXoMlfk,Tidak Percaya,,
memang kroni je yg sapu semuaa vaksin kat Malaysia nii,,,
@msaid_didu Justru lu yg sdh diselamatkan bangsa didu.. karna sdh di beri vaksin duluan.. walau sdh lu hina2 tuh vaksin.. masa di pecat sakit nya ampe kaya gini nih..,,,
"@jokowi Percuma di vaksin, kalo pulang kampung aja kagak bisa. 
Giliran pilkada bisa, WNA bisa masuk Indo, negeri wakwakLand emang selalu beda banyak aturan yg konyol. Bilang aja pngn ngilangin tradisi budaya umat Islam.",,,
"ibukku habis di vaksin malah demam + mual, kasian banget wkwk",,,
"Gue jalan lewat batas kota aja deg deg an,, gimana kalau naik pesawat...takut c0v1d gue bismillah😭 mana belum dapat vaksin ahhh lama banget",,,
"Pattern yg kena jangkit sama je. 'Close contact'. Setakat ni, aku bersyukur masih dilindungi 🙏 tak tahu la di masa hadapan macam mana, giliran vaksin jauh lagi hahaha 🤣 

Sekian.

Kita jaga kita. Boleh kan?",,,
if dah terima 2 suntikan vaksin boleh rentas negeri. okay now cucuk me. https://t.co/qXC1Cl2OW0,,,
@tetechanie capek. ditunggu giliran vaksin saya pak @jokowi,,,
Konsert amal yang dianjurkan dengan kehadiran penonton sebenar dan setiap yang terlibat/hadir sudah menerima vaksin. Rasa goosebump tengok konsert dalam pandemik yang ada sorak penonton. Serious meremang. https://t.co/e1EUNXYRHB,,,
"@TiraSahar @Lyyahh_ tah buat laaaaaaaa iklan mcm sg punya iklan yg power power, yg boleh basuh pemikiran rakyat yg taknak ambik vaksin. So slow",,,
"By following SOP, and get vaccinated when you can. Tapi itulah masalahnya. SOP pun tak tahu nak follow yang mana. Vaksin pun celaru https://t.co/xhjZqcn0HK",,,
"Indonesia Dorong Kesetaraan Akses Vaksin Covid-19 Bagi Semua Negara..!!

#UUCiptaKerjaPerkuatNKRI https://t.co/hzq5pBmhyB",,,
@republikaonline Vaksin apaan ini,,,
"Eh rakyatnya ga patuhin protokol kesehatan, gk percaya kalau covid ada, gamau di vaksin.
Ntar giliran khasus makin parah malah nyalahin pemerintah, haha kalian bercanda?",,,
"Vaksin 1 dpt astrazeneca, vaksin 2 dpt coronavac. Aaaaku jadi zombie 😭",,,
Ni sebenarnya Kalau nak vaksin kena ambik kebenaran polis nak rentas daerah ke tak ni.. kejap cakap lain kejap lain,,,
pergi vaksin tu menyempat buat kawan baru. member ni pun kata benda sama but maybe aku je kut yg struggle utk tidur. https://t.co/6yUkoC0GsB,,,
"INFO ON WHEELS

Tarikh : 9.5.2021
Masa : 9.00 pagi
Tempat : Taman Kuning Batu 5, Sik

Aktiviti :

1. Pendaftaran Vaksin COVID 19
2. Semakan Pendaftaran Vaksin COVID 19
3. Edaran Beras Pulut
4. Edaran Pamplet dan Poster https://t.co/z837pimU8q",,,
This MCA deputy minister idiot tweeted about covid hoax tapi bila bab dapat vaksin dia paling laju mengalahkan orang yang lebih layak. https://t.co/DJSewHLFBS,,,
"1,389 Juta Dosis Vaksin Siap Pakai AstraZeneca dari Covax Facility Sampai di Indonesia",,,
"@TiadaIzzat @anakdragun @sayaokayke tuan bijaksana tak tahu apa2 pasal sekolah negara ni?tutup sampai penggal jun.tutup bukan cuti ya.Fasiliti belajar kat rumah semua cukup ke nak pdpr?bantuan laptop kerajaan pun entah mana.pendidikan anak tercicir,yg penting vaksin staff genting.itu yg dikatakan tak boleh tutup?",,,
Today mama’s first dose vaksin. Tadi sempat belikan bunga bagi dia tenang tenang. Among family boleh dia pulak first. Mana tak cuak.,,,
"Masa kecik nurse tanya mak hg nak cucuk vaksin tak kat hg, mak hg cakap buat je apa yang terbaik, dah beso org tanya hg nak cucuk mak hg tak, laju je takpe mak saya kalis covid, malaysian",,,
UPDATE VAKSIN GOTONG ROYONG. https://t.co/KsClevv2TH,,,
"Selamat Siang🥰

Banyak banget manfaat dari Vaksin Influenza yuk langsung ke Klinik Menik Husada🤗

#KlinikUmum24Jam #apotik24jam #PelayananDokterUmum #PelayananBidan #infusvitc #suntikvitaminc https://t.co/260BTQiMxs",,,
"Andi Mallarangeng Positif Covid-19 Walau Sudah Disuntik Vaksin
https://t.co/gzZm33uEim",,,
Presiden Dominika Luis Abinader diinokulasi dengan satu dosis vaksin Sinovac Tiongkok. Simak penuturan sang presiden Dominika tersebut usai menerima vaksin tersebut dalam liputan berikut ini https://t.co/VyN3VmIK7n,,,
Alhamdulillah abah sendiri dah selesai amik vaksin,,,
@leonputri Beuh 3 tahun lalu kena tetanus dan d vaksin selaim pegel tekor jg wkwk,,,
UEA bekerja cepat memvaksin seluruh penduduknya. https://t.co/FGQbIs044g,,,
@hannabunnyb Rasanya sebab jemaah haji tahun ni. Nak pi haji kan wajib ada vaksin dulu 😁,,,
Dah lah malas ah. Tunggu je lah vaksin ni berkesan,,,
Kemenkes tak bisa memastikan kapan petunjuk teknis vaksin gotong royong terbit. https://t.co/1jqlmoYjFL,,,
"@Fakhrul_Fizal Vaksin tu ada cip, cip tu para yahudi boleh detect kita time kelas odl tidur ke focus! Sebabtu dorg tknk amek vakshin. Sebab ada shin chan dalam tu",,,
"@azmanrocks Instead takutkan diorang, pujuk diorang dgn fakta balas anti vaksin kenapa kena ambil. Guna bahasa mudah yg mereka faham, bukan teknikal. Banyakkan anekdot yg dekat dgn situasi mereka.",,,
"@e100ss min, ijin nanya. Kalo pulang ke desa(bukan surabaya raya) untuk vaksin boleh gak? kira2 disuruh puter balik gak di tempat penyekatan",,,
"Aku takda appointment untuk terima vaksin... Kebetulan aku bertugas untuk sesi pemberian vaksin dose pertama... So, aku register manual kebetulan ada lebihan vaksin.. Alhamdulillah.. Done Dose 1...Vaksin Sinovac 💉✅ https://t.co/ox4FKonvWA",,,
@ProfAdeeba @fahmi_fadzil @marcospopeyj @Khairykj @JemilahMahmood kenapa Kerajaan tidak menggunakan Heli utk menghantar Vaksin ke penempatan seperti ini,,,
"Cikgu pun belum semua dapat vaksin, kau dah dapat dulu. Kahkahkah",,,
"@jeje_jildhuz @MUIPusat @ismailfahmi Agama rahmatan Lil alamin, TAPI

Mbantu bikin vaksin? NGGAK
Mbantu nyari obat? NGGAK
Orang bikin vaksin, tambah aturan halal.
Menyetop penyebaran penyakit,GAK MAU
Terima biaya tahlilan korban, TETAP.

dari nama asal katanya SELAMAT.

yakin? itu yg dimaksud nabimu? Ummati 3x?",,,
Pagi tadi aku terima Panggilan bertubi-tubi untuk cocok vaksin. Aku malas.,,,
"@rizalkhaerul96 @MUIPusat Agama rahmatan Lil alamin, TAPI

Mbantu bikin vaksin? NGGAK
Mbantu nyari obat? NGGAK
Orang bikin vaksin, tambah aturan halal.
Menyetop penyebaran penyakit,GAK MAU
Terima biaya tahlilan korban, TETAP.

dari nama asal katanya SELAMAT.

yakin? itu yg dimaksud nabimu? Ummati 3x?",,,
"Dalam HeKAYAT Podcast dengan Prof Dr Zakaria Ali, aku bawa mural Diego Rivera, “Detroit Industry” (Mexico: 1933) — dua lukisan tentang vaksin.

Satu: penemuan vaksin yang beri harapan kehidupan disuntik kepada anak kecil. 

Kedua: pehak tamak ambil untung daripada vaksin itu. https://t.co/Lr4lumb2st",,,
"pentingnya vaksin covid-19 dapat membentuk imun dan mencegah penularan, hal ini diharapkan akan mengakhiri pandemi covid-19 https://t.co/YWsKQd0M5e",,,
pengurus besar ikatan dokter indonesia memberikan dukungan terhadap pelaksanaan vaksin covid-19 https://t.co/bKDqVmmyH6,Percaya,,
vaksin aman dan halal untuk di gunakan https://t.co/jn0Be8i4zg,Percaya,,
Pembebasan Paten Vaksin Jangan Jatuh ke Cina-Rusia https://t.co/2fwHDOPlM4 via @rri.co.id,,,
"@azmanrocks Mak saya, anak² dah paksa ambil tapi dia enggan sbb baca mesej Whatsapp berantai entah siapa. Tapi lepas kawan saya yg ibunya dah ambil vaksin yakinkan dia, baru dia dengar kata. Kebykn org tua tak terdedah dgn byk maklumat ttg vaksin or kes C19 mcm golongan muda yg IT savvy",,,
@lati0s_ @iam_MSSA aku heran belah sg petani awat tak start lagi vaksin dh la daerah kuala muda merah dari dulu lagi,,,
Nih ya dengerin kata drh. Angga! kucing lu indoor tapi ga divaksin dan selama ini sehat2 aja bkn berarti gak harus divaksin. virus bisa datang kapan aja😀 jadi tetap harus vaksin ya https://t.co/AMAsxDIFwb,,,
Bro yang sembuhkan Covid 19 bukan Vaksin tapi Allah.,,,
"Agama rahmatan Lil alamin, TAPI

Mbantu bikin vaksin? NGGAK
Mbantu nyari obat? NGGAK
Orang bikin vaksin, tambah aturan halal.
Menyetop penyebaran penyakit,GAK MAU
Terima biaya tahlilan korban, TETAP.

dari nama asal katanya SELAMAT.

yakin? itu yg dimaksud nabimu? Ummati 3x? https://t.co/QElCxUg2yn",,,
utk aku 8-9jam lepas vaksin tu baru rasa side effect. around 11mlm la tadi badan mula panas suam2. rasa macam duk dalam sauna. aku pun takleh tidur so gi minum air bnyk2 utk turunkan suhu n pergi mandi air sejuk. perghhhh mandi sejuk pagi while demam tu lain macam air sejuk dia.,,,
@Lelahku_Lelahmu Vaksin lah,,,
"Swasta Segera Disuntik Vaksin Gotong Royong, Ini Harganya! Satu paket penyuntikan sebsar rp 1.000.000,_ https://t.co/nJMTjWRqdq",,,
@bertanyarl Sosialisasi vaksin mungkin,,,
Kita pun nak vaksin. Kalau org lain dapat dulu pun kita okay. Kita mati pun takpa janji staff o&amp;g boleh hidup dan pakai lanyard kemana mana,,,
"Federal ada roadblock lagi eyh? 
Selasa nnti nak g vaksin, agak2 kena keluar berapa jam awal dari rumah ni? 

Kalau pergi balik kerja boleh stuck sampai 1 jam setengah... 

Appointment kul 4, mau kul 1 kena gerak dah.. 😔😔",,,
"Berikut adalah jumlah total vaksin yg sdh ada di tangan pemerintah Indonesia.
Belum semuanya bisa diberikan kpd rakyat krn sebagian besarnya msh dlm proses produksi di Bio Farma.
Mari kita syukuri upaya pemerintah yg sdh optimal dlm mengamankan quota vaksin yg diperebutkan ini https://t.co/cYjEqsyp8D",,,
@cntrakp06 Kebanyakan nonton pembukaan vaksin klopid gitu dah 😂,,,
"@daunsirih5 @DivHumas_Polri @CCICPolri Agama rahmatan Lil alamin, TAPI

Mbantu bikin vaksin? NGGAK
Mbantu nyari obat? NGGAK
Orang bikin vaksin, tambah aturan halal.
Menyetop penyebaran penyakit,GAK MAU
Terima biaya tahlilan korban, TETAP.

dari nama asal katanya SELAMAT.

yakin? itu yg dimaksud nabimu? Ummati 3x?",,,
@bertanyarl Gak tau bekas vaksin kali,,,
"Vaksin nusantara hampir ga mungkin ga di hambat krn .......

https://t.co/Qvw1GdyD4V",,,
Bila nak vaksin ashraf zaneca dengan pfaisal ni,,,
@sirkulangka17 @DGHisham Mana data yg masuk tu terima vaksin tuan? Setakat ni berapa peratus yang dah terima vaksin?hanya sebahagian Frontliner dan baru bermula fasa 2. Dalam setahun ni kes berapa? Ada berapa varian virus?,,,
"mentality aku time gi vaksin tu positive gila. i said to myself, kau sihat fi. selalu workout bagai. gunung celah mana kau tak panjat enn. so ingatkan tak demam n dah 2 tahun dah tak pernah demam. sekali mlm tadi fuhhh one of my worst sleep.",,,
"@azmanrocks Selalunya parents akan dengar cakap org yg bukan ahli keluarga. Jadi ahli keluarga yg nak pujuk, kena guna pendekatan org luar yg boleh yakinkan mereka vaksin itu tak memudaratkan. Perasan tak, mostly diorg jadi antivax sbb ""kawan²""?",,,
"@akuinginbacot Wkwkwkw asli tapi di hari H gue vaksin emang udah berasa radang tapi pas cek kesehatan gue udah bilang dan tetep lanjut kan. Seminggu lebih dah tuh badan ga enak wkwkw

Yang kedua malah gue ga ada efek apa2an tapi temen2 gue malah tidurnya lebih bablas katanya dari yg pertama 🤣",,,
@susipudjiastuti Klo utk vaksin gimana🙄,,,
