Tweet,Nilai,,,
"""Jadi kamu mau ngomongin pdkt apa vaksin nusantara, sih?"" bf, ""Kita combine aja gimana"" gf.",,,,
"Dalam uji vaksin Nusantara Fase I, BPOM mengungkap terdapat kategori tak diinginkan pada relawan yang membuat uji vaksin harus dihentikan sementara. Apa saja? https://t.co/1Or9Pj8KrO",Tidak Percaya,,,
"@Syarman59 @PBIDI @DPR_RI Kekuatiran terhadap vaksin Nusantara yg berkembang selama ini dijawab tuntas oleh kepercayaan yg diberikan oleh orang yg perduli dan percaya terhadap vaksin Nusantara karya anak bangsa, semoga sehat selalu Pak Letjen. Dr. Terawan Agus Putranto",,,,
Peneliti Pastikan Uji Klinis Vaksin Nusantara Penuhi Standar dan Bukan Asal-Asalan https://t.co/5tyn2XeMmB,Percaya,,,
"Sejumlah Anggota DPR mulai menjalani prosesi pemberian Vaksin Nusantara bikinan Terawan Agus Putranto. Meski demikian, vaksin ini belum mendapat izin BPOM.

https://t.co/7npwE0j477",,,,
"Masih banyak yg meragukan Terawan secara medis , bnyk juga yg percaya.

 https://t.co/xv73hnmpOu",,,,
"@na_dirs Menurut saya kita harus apresiasi vaksin Nusantara ini, dan seharusnya kita siap mati demi negara karena ini kedaruratan kita berperang melawan virus",,,,
"@KKusumawardani Aku baca utasnya dari pagi sampe skrg masih bingung. Siusan ujug2 ada vaksin cuy,antara bangga tapi kok aneeeeh yah. Sinovac ajah aku merasa janggal secara di china baru skrg keknya vaksin,duluan kita mulainya. Eh ini ada vaksin baru,namanya nusantara. Fix covid cuman hoax *lol*",Tidak Percaya,,,
"Covidiot itu nyata...

Sudah Divaksinasi, Anggota DPR Ikut Lagi Vaksin Nusantara Terawan 
 https://t.co/rd7n3ERJcP",,,,
"@ProfesorZubairi @ferdiriva Tadi liat diberita, ada satu jendral yg mau disuntik vaksin nusantara apapun yg terjadi walau belom uji lulus bpom karena buatan karya anak bangsa, dia rela melakukan apapun untuk karya anak bangsa 😑",,,,
"""Saya pikir dengan adanya Vaksin Nusantara akan menambah kekayaan vaksin apalagi ini produksi dalam negeri, sehingga bisa membantu pemerintah menekan laju penyebaran COVID-19 di Indonesia,"" https://t.co/Cc2Sky4bUn",,,,
Kata Gatot Usai Ikut Vaksin Nusantara di RSPAD https://t.co/cXj0SU0A4B #Terbaru #berita #inilah #metro,,,,
"Saya blm divaksin tp kalo ditawari vaksin nusantara, saya bersedia https://t.co/sDlw4rfhCn",Percaya,,,
"Legislator PDIP Kompak Tak Mau Disuntik Vaksin Nusantara
https://t.co/gCxN7ckcgy",Tidak Percaya,,,
"@inayahhilya Kalo mau cepet selesai,smua yg belum kebagian sinovac bisa dikasih vaksin Nusantara trmasuk anak2..negara kita kembali normal..semoga Indonesia juga bisa ekspor ke negara2 lain supaya pandemi global usai..dunia normal lagi..",,,,
Anggota DPR RI ramai-ramai ambil darah di RSPAD Gatot Soebroto. Vaksin Nusantara 'dr Terawan' sudah bisa untuk umum? Berapa harga atau biayanya? https://t.co/AagxO5FSfn,,,,
"BAKPIA kukus
BAKPIA paris
vaksin NUSANTARA
Semangat marketing yang sama. https://t.co/fMCwwqSMgK",,,,
"DPR VS BPOM: Vaksin ""Terawan"" Nusantara lanjut? Saksikan beritanya di Apa Kabar Indonesia Malam bersama Putri Violla jam 18.30 WIB hanya di tvOne &amp; live streaming di https://t.co/pkGSgh23k8 #AKIMalamtvOne #GemaRamadhantvOne https://t.co/9dG0EDkBu1",,,,
"@drpriono1 @tirta_hudhi @jokowi @DPR_RI @KemenristekBRIN @KemenkesRI Iye iye mentang"" gadapet fee vaksin Nusantara jadi diusik deh vaksin Nusantara nya. Eh keceplosan",,,,
@Mawar_Hitam09 Semua yg menolak vaksin nusantara hanya didasari benci karena kemungkinan pundi2 akan tertutup,,,,
"Vaksin Nusantara Tak Cocok Kendalikan Pandemi, Ini Kata Epidemiolog https://t.co/5q8lyPIppB",Tidak Percaya,,,
"DPR VS BPOM: Vaksin ""Terawan"" Nusantara lanjut? Saksikan beritanya di Apa Kabar Indonesia Malam bersama Putri Violla jam 18.30 WIB hanya di tvOne &amp; live streaming di https://t.co/pkGSgh23k8 #AKIMalamtvOne #GemaRamadhantvOne https://t.co/kW4uxlGEGg",,,,
"AB ini emang udh pernah rasakan terapi kanker pake alatnya dr. Terawan kan? Udah pernah merasakan kesembuhan tanpa menimbulkan penyakit baru

Itu prinsip terapi dr. Terawan begitu juga prinsip vaksin Nusantara, menyembuhkan tanpa menimbulkan penyakit baru 🙏 https://t.co/gb4eOutKtw",,,,
"Ia menjelaskan para peneliti vaksin Nusantara juga tak memahami proses pembuatan vaksin berbasis sel dendritik karena tak terlibat dalam penelitian.

Ini negara gobloknya udah ga ketulungan. 

https://t.co/s9yuicGoUg",Tidak Percaya,,,
@CNNIndonesia Kalau saya dapat kesempatan di vaksin nusantara .. mau banget !!,Percaya,,,
@TeddyGusnaidi Saya percaya dengan Vaksin nusantara.,Percaya,,,
"Tertarik Vaksin Nusantara, Adian Napitupulu: Saya Punya Penyakit Jantung, Ring 5 #AdianNapitupulu #PenerimaVaksinCovid19 #Vaksin #AstraZeneca #JohnsonJohnson https://t.co/Ujex7PZgga https://t.co/XorVOMBVKa",,,,
"@na_dirs Vaksin Nusantara; 
Perseteruan IDI Vs dr. Terawan
#BravoTerawan
https://t.co/B5p8sd0B6m",,,,
Sejumlah anggota komisi IX DPR RI mendatangi RSPAD Gatot Soebroto. Mereka mengikuti pengambilan darah untuk diproses menjadi vaksin nusantara. https://t.co/ItYSF0wvDM,Percaya,,,
"Yang support Vaksin Nusantara = bego.
Sorry.",Tidak Percaya,,,
"Naah, ini seru..Jk benar, nama2 tokoh
tsb, (Dibuktikan) Live, benar di injeksi
dg #Vaksin_Nusantara,(Bukan plasebo)
Màka klaim-tanpa resiko medik- menjadi hal berbeda.Pilihan Pemrth utk
#Sinovac_China, di pertanyakan.
@eijkman_inst @fkmui @drpriono1
@BudiGSadikin @KemenkesRl https://t.co/k9m3SKLtNs",,,,
@arifbsantoso Ada yg punya info kl mau ikutan di vaksin nusantara harus bayar berapa ?,,,,
"""Tidak dapat ditunjukkan izin penelitian bagi peneliti asing di Indonesia,"" imbuhnya.

https://t.co/OwfxIjSUAK",,,,
Vaksin nusantara rasa rendang,,,,
Vaksin Nusantara itu apa ya guys? rame amat.,,,,
"Dalam data yang diterima BPOM, hanya terdapat data keamanan untuk organ limpa. Studi toksisitas akut yang menilai batas maksimum dosis yang dapat ditoleransi hewan juga tak dilakukan. #kumparanNEWS https://t.co/nzLplfrBtP",,,,
Satgas Covid-19: Penggunaan Vaksin Nusantara Kewenangan BPOM https://t.co/4YPGI8ui8i https://t.co/TbrBFvcSAD,,,,
"Utk rakyat &amp; bangsa dlm situasi kondisi darurat krn terbatasnya sumberdaya, apakah sistim &amp; prosedur (yg butuh waktu panjang) lbh penting dr tujuan &amp; sasaran yg ingin dicapai ? 
Vaksin Nusantara maju terus' pantang mundur utk negara &amp; bangsa.""
https://t.co/QbekhFZCXc",,,,
"@CNNIndonesia Tentang vaksin nusantara, wajib dipahami secara utuh, jangan sepotong2 seperti ini",,,,
"daripada
mengkritik
lebih bagus
IDI buat vaksin
yang lebih unggul
dari vaksin TERAWAN

🤭

https://t.co/fHDEqAKAbt",,,,
"@pengarang_sajak Lanjutkan pak terawan buat negri ini, buktikan  Bahwa vaksin nusantara itu layak dan sgt layak utk digunakan. Gbi",Percaya,,,
"@detikcom perlu dicurigahi vaksin nusantara kok BPOM gk merestui jgn "" akal"" an sj ada yg pnya kepentingan",,,,
"@BPOM_RI merinci semua tahapan uji klinis vaksin nusantara, dinarasikan dg bahasa yg tegas: Persetujuan Pelaksanaan Uji Klinik TIDAK DILAKSANAKAN! https://t.co/E7Cjsy6vZA",,,,
"@Penyuka_ombak Dukung vaksin Nusantara karya anak bangsa... 
Vaksin ini mulai di goreng ama lawan...",,,,
BPOM Ungkap Data Penelitian Vaksin Nusantara Tersimpan di AS https://t.co/9FNRV4cZAL,,,,
Semoga ces pleng https://t.co/fYQTuC7Vdu,,,,
"Vaksin Nusantara, Dahlan Iskan Sebut Sejumlah Tokoh Percaya Kemampuan Terawan https://t.co/80EbcYmow0",Percaya,,,
Itu Vaksin Nusantara kabarnya ga aman ya? Jangan main-main lah sama nyawa,Tidak Percaya,,,
@VIVAcoid No1 GK di vaksin nusantara,,,,
"@CNNIndonesia Vaksin Nusantara bukan vaksin lokal Indonesia, vaksin Amerika yg di buat oleh pihak swasta Asing, cuma catut nama kemkes alias jualannya kemkes... Ngapusi tok.",Tidak Percaya,,,
"Anggota DPR Suntik Vaksin Nusantara Ala Terawan

Kalau bukan kita yang menghargai produk anak negeri, siapa lagi? 
@FraksiPKB @PKBTV @DPP_PKB
https://t.co/2sC56dffuh",,,,
"Dari CNN tgl 25 Feb 2021. Hrsnya dibuka aja, nama2 anggota yg sdh disuntik thp 1, dan yg dpt vaksin nusantara. Jgn sampe muncul klaim vaksin B sukses pdhl sblmnya udh dikasih vaksin A 
🤣🤣  lawakkkk

https://t.co/LhpzQDjuRx",Tidak Percaya,,,
"Desakan DPR Agar Uji Vaksin Nusantara Dilanjutkan
https://t.co/iY7yq4OOWp",,,,
BPOM Ungkap Soal Respons Antibodi pada Uji Praklinik Vaksin Nusantara https://t.co/8zJpGWaM5h,,,,
Gila sih vaksin Nusantara itu skandal banget,Tidak Percaya,,,
"@TulipKuning5 @Vante_Mrs @CNNIndonesia Dari kalimat terakhir bisa ditarik asumsi: BPOM punya standar yg rendah. Logikanya: Kalo melawati BPOM saja -yang standarnya rendah- vaksin Nusantara tidak mampu, bagaimana mau melewati uji badan Internasional yg standarnya jauh lebih tinggi? Bagaimana keamanannya?",,,,
"@kim_jong_out @septian @wencod Vaksin nusantara sekali seumur hidup VS vaksin lain setahun sekali 
Lebih ke masalah profit buat penyedia vaksin 
Terlepas dari semuanya sangat berharap vaksin nusantara bisa sukses pengobatan cuci otaknya",,,,
"Harus ada keterbukaan antara pihak RSPAD dan BPOM, ini ada konflik makanya vaksin Nusantara di abaikan oleh BPOM, kami rakyat Indonesia butuh vaksin agar kami dpt kembali bangkit dlm setiap sendi ekonomi.😎🇮🇩 https://t.co/fHpfneXeFs",,,,
"vaksin nusantara itu kaya obat herbal, dokter ada yg nentang karna bla2, tp yg pakai banyak yg sembuh.

uda sewajarnya dokter mentang yg ga sesuai ilmu yg mereka pelajari, masa bayar mahal2 kok percaya,

yg nentuin ya yg pakai, bisa sembuh kenapa ga.

dokter tetap bla22222",,,,
"Rame-rame vaksin Nusantara, jadi ingat tahun lalu Kemenkes pernah somasi jurnalis Narasi TV atas tuduhan ""pencemaran nama baik Menkes"".

https://t.co/2caetDUATI",,,,
Tim Peneliti Jelaskan Mengapa Butuh Sampel Darah Sebelum Suntik Vaksin Nusantara https://t.co/QZwODMizGt,,,,
"@lkhw2n @fajarnugros @TirtoID Kan itu vaksin sebenarnya dari luar, nama Nusantara itu hanya pencitraan untuk membodohi rakyat supaya mau jadi kelinci percobaan ""buatan negeri""",Tidak Percaya,,,
"BPOM jadi salah satu lembaga negara yang berhasil mempertahankan integritas selama pandemi

Salut dan turut bangga

Kalau ada relawan mau bayar untuk di Vaknus, tidak usah minta PPUK ke BPOM

Cukup minta PPUN aja ke DPR
Persetujuan Pelaksanaan Uji Nyali

https://t.co/4MeQ7U7wxw",,,,
"Anggota DPR Ngotot Pakai Vaksin Nusantara yang Belum Diizinkan BPOM, Ini Tanggapan IDI https://t.co/BS5jbcqUcj #beritajogja #jogja #jogjaistimewa https://t.co/MNcmLdf3vE",,,,
"Soal Vaksin Nusantara Terawan, Pakar: Tidak untuk Massal https://t.co/CpOyfwt51G",Tidak Percaya,,,
"BPOM Ungkap Data Penelitian Vaksin Nusantara Tersimpan di AS
https://t.co/HmGmwKGK9C",,,,
"Ikut Uji Vaksin Nusantara, Gatot Nurmantyo: Dua Tahun Lagi Dunia Pakai Ini #Vaksin #PenerimaVaksinCovid19 #TERAPI #LetnanJenderal https://t.co/Ykvoihig8j https://t.co/6Qt8Gl2FSr",,,,
"Uji Klinis Fase II Vaksin Nusantara, Sufmi Dasco: DPR-BPOM Jangan Diadu https://t.co/a1PyLMm2uP",,,,
"@na_dirs Baca di berita2, orang2 yang menaruh kepercayaan kepada dr. Terawan justru yg minta untuk divaksin pakek Vaksin Nusantara. Jika saya boleh memilih, saya juga ingin di vaksin pakek Vaksin bikinan Dalam Negri.",Percaya,,,
"Gila banget ya ini akrobat Vaksin Nusantara beserta segenap buzzer nya.

Regulator udah larang, di push sana sini sama legislator beserta isu politisnya, tapi eksekutif juga ga berani take down.",,,,
"gw sgt mndukung vaksin nusantara utk segera diinkubasi di bukit algoritma. nanti proyek kolaborasinya dinamai:

VAKNUS-BORMA

aliansi inovasi anak bangsa 4.000!",,,,
"Mestinya penggagas uji klinis di suntik vitamin Etika, relawan nya disuntik vitamin kecerdasan 😂🤣
Uji Klinis Vaksin Nusantara Dilanjutkan Tanpa Persetujuan BPOM - https://t.co/z9RbsjeBH4 https://t.co/jc8SgclUWG",,,,
"Hari ni, sejumlah anggota DPR RI menjadi relawan dalam uji klinis Vaksin Nusantara
#COVID19 #COVID__19 #COVIDー19 #coronavirus #COVID #CoronaUpdate #Covid_19 #Corona #VirusCorona #updatecorona #pakaimasker
https://t.co/D14twOwwKe",Percaya,,,
"Apkh msh ada rasa sakit hati krn DSA,cell cure,stem cell yg lg di teliti &amp; coba di kembangkan ya ?smp kpn kalian msh sakit hati &amp; ""dendam""?malu lah sm institusi kalian,salam waras
Pakar IDI Kritik DPR Ramai-ramai 'Suntik' Vaksin Nusantara dr Terawan https://t.co/rHUiwDiG3M",,,,
"@drpriono1 @AIVITABio Sudah menerima vaksinasi pake vaksin Sinovac terus ikut uji vaksin Nusantara, aneh banget kan udah terbentuk antibodi.",,,,
"BPOM harus proaktif jemput bola, ambil sample vaksin nusantara untuk uji klinik dan prioritaskan daripada vaksin import karna ini karya putra bangsa kita https://t.co/kqbKnOiVqY",,,,
20 dari 28 subjek atau relawan vaksin Nusantara dilaporkan mengalami Kejadian yang Tidak Diinginkan (KTD) https://t.co/szkLgqBr7i,Tidak Percaya,,,
"Kalau bener gini kejadiannya, Vaksin Nusantara nggak ada bedanya dong dengan proyek Mobil Nasional Timor dulu 😬😬😬 https://t.co/VeNfomL0Dn",Tidak Percaya,,,
@liputan6dotcom @msaid_didu Vaksin Nusantara/Vaksin Merah Putih prodak bangsa kita yg membanggakan tuk Covid-19.,Percaya,,,
@fimegasari Saknoo rek. keknya kamu kebagian vaksin nusantara sih lut🤣✌🏼,,,,
"https://t.co/2KhY4B1uIs

gaspol bg https://t.co/wUrgz8WYzy",,,,
@ry_only Vaksin nusantara nyan,,,,
"Dalam uji vaksin Nusantara Fase I, BPOM mengungkap terdapat kategori tak diinginkan pada relawan yang membuat uji vaksin harus dihentikan sementara. Apa saja? https://t.co/rWfa9U1SG9",,,,
"Jk masyarakat tdk keberatan &amp; rela knp tdk boleh??
BPOM Tegaskan Tak Ada Pilih Kasih soal Uji Vaksin Nusantara https://t.co/4hN0jTLM4c",,,,
Anggota DPR hari ini ramai-ramai menjadi relawan uji klinis vaksin Nusantara. https://t.co/8xGx9iGj6K,Percaya,,,
"Vaksin Nusantara Maksa Lanjut Ke Fase II, Prof. Beri: Relawannya Pun DPR, Ini Benar-benar Ganjil!

https://t.co/QGMEeQyljY",Tidak Percaya,,,
"Apkh masyarakat boleh ikut di vaksin ?@KemenkesRI &amp; boleh dtg lngsng utk mendaftar ?
Ramai-ramai Suntik Vaksin Nusantara dr Terawan, Ical hingga Komisi IX DPR https://t.co/TS7vTD7KVK",,,,
"Kalau gw sih ogah suntik Vaksin Nusantara.
Kalian gmn? Like: gw mau, Retweet: ogah jg gw! #vaksinnusantara",Tidak Percaya,,,
"Legislator PDIP Kompak Tak Mau Disuntik Vaksin Nusantara

https://t.co/SgXO3JBpf1",Tidak Percaya,,,
"Anggota DPR Ikut Proses Vaksin Nusantara, Begini Langkahnya https://t.co/wIOg9SA4g1",Percaya,,,
Wiku Pastikan Satgas Covid-19 Tak Intervensi Pengembangan Vaksin Nusantara https://t.co/8dMtlsOhvF,,,,
"Soal Vaksin Nusantara, Penny Lukito: BPOM Tidak Pilih Kasih https://t.co/9N49Jn3GGw",,,,
"Masih Rahasia, Tim Peneliti Enggan Ungkap Pihak Pengawas Vaksin Nusantara

https://t.co/0yCq14pjvt",,,,
"Daftar Tokoh hingga Anggota DPR yang Ikut Vaksin Nusantara Terawan
https://t.co/2aKUaBgnIb",Percaya,,,
"Tanpa persetujuan BPOM, produk makanan dan obat, tidak akan bisa beredar resmi di Indonesia.

Lalu vaksin Nusantara ini maunya gimana? https://t.co/RTmI7dnGxr",,,,
"@mediaindonesia tolong ya, itu vaksin nusantara pake kultur sel dendritik masing2 penerima vaksin... biayanya berapa?

Kembangkan silahkan, dukung silahkan, tapi kalau sampai dijadikan program nasional pake anggaran negara, tetap harus lewat studi perbandingan dengan vaksin lain.",,,,
"Tetap dilakukannya vaksin Nusantara, bukti bengalnya mantan menteri kita yang satu ini.",,,,
@argan942 @Rahayutronik3 @KompasTV Yang bikin vaksin nusantara juga banyak anggota idi.,,,,
"Jejak Vaksin Nusantara Terawan: Dijegal BPOM, Didukung DPR https://t.co/LxKKM40lQm",,,,
"Jejak Vaksin Nusantara Terawan: Dijegal BPOM, Didukung DPR - https://t.co/NEaGZjU8fF https://t.co/Wq8vNJCGF4",,,,
"Rangkuman Covid: Kisruh Vaksin Nusantara, Keterisian RS Turun https://t.co/f9ubKe5Ziq",,,,
Peneliti Jelaskan Tahapan Fase 2 Vaksin Nusantara https://t.co/M9vNEf9K43 #Terbaru #berita #live #nusantara,,,,
BPOM Belum Ada Izin Uji Klinik Fase II Vaksin Nusantara  https://t.co/s3ksKFTZYD Via @CNNIndonesia #Nasional #TopReport  #EPEOLATRY,,,,
Satgas Covid-19 meminta pihak-pihak yang mengembangkan Vaksin Nusantara untuk memenuhi kaidah ilmiah. #UjiKlinisVaksinNusantara https://t.co/VffGsaqkct,,,,
"Sejumlah anggota DPR menjadi relawan vaksin Nusantara besutan mantan Menteri Kesehatan, Terawan Agus Putranto. https://t.co/hiFoNkXxsA",Percaya,,,
"Jadi Relawan, Anggota DPR Dukung Vaksin Nusantara https://t.co/z2i8BcvrMc",Percaya,,,
Satgas Covid-19 Tegaskan Penggunaan Vaksin Nusantara Kewenangan BPOM https://t.co/oaBxdsXDoZ https://t.co/7kz6puP2cj,,,,
"Produksi Vaksin Nusantara Perlu Didukung
https://t.co/hVzzcXqkFk",Percaya,,,
@TeddyGusnaidi Kalau dianggap vaksin nusantara blm diuji scr ilmiah harusnya didukung bagaimana caranya supaya lulus uji scr ilmiah. Organisasi profesi sebesar IDI bisa lebih bijak menyikapinya.,,,,
@fullmoonfolks vaksin nusantara apa thor hammer itu beredar ga pake ijin bpom?,Tidak Percaya,,,
"Sobat, aku lebih percaya Letjend. dr. Terawan dengan vaksin Nusantara-nya ketimbang Kepala @BPOM_RI Penny Lukito. Aku dukung pimpinan/anggota DPR yg jadi relawan uji klinis vaksin Nusantara sebagai perlawanan terhadap kebijakan BPOM yg mem-bully upaya memproduk vaksin nasional.",Percaya,,,
"vaksin nusantara, islam nusantara, madu nusantara, ayo apalagi ini gan. apakah mungkin nanti bakalan ada apocalypse nusantara? rahayu rahayu rahayu 🙏🙏🙏 https://t.co/3kdrXKchcG",,,,
"@TirtoID Mari berdoa yg terbaik 😉

https://t.co/hGtzJYolBV",,,,
"Badan POM belum memberikan izin uji klinis fase II untuk vaksin Nusantara. Dalam keterangannya, Kepala BPOM Penny K. Lukito menyampaikan bahwa ada banyak aspek yang diabaikan tim vaksin Nusantara pada uji klinis tahap I. BPOM menyebut pihaknya sudah ... https://t.co/4Un7cS9L2c",Tidak Percaya,,,
"@na_dirs Sekadar membaca berita soal vaksin  yang itu....😰

https://t.co/25rl6mYP2U",,,,
"Anggota DPR Adian Napitupulu mengikuti uji klinis terkait vaksin Nusantara di RSPAD Jakarta.

https://t.co/75YIetanUq",Percaya,,,
"@RodriChen Dan temenku udah terdoktrin, udah aku ingetin tp tetep ngeyel.
Pdhl statement dia yg bilang ""Skrg msh berbayar yg vaksin nusantara."" Itu udh terbantahkan dgn uji klinis yg ga ada izin BPOM.
Tp ya apa boleh buat, yg penting udh aku ingatkan. 😅 https://t.co/7a7JsYxlBA",,,,
@caturatna Gpp klo DPR yg jd bahan percobaan vaksin nusantara. Aku ikhlas,,,,
"Epidemiolog: Harusnya Vaksin Nusantara Tak Dilanjutkan ke Uji Klinis Fase II

https://t.co/d5YPYkZKoM",Tidak Percaya,,,
"Wiku mengatakan, ihwal pengembangan vaksin menjadi wewenang Badan Pengawas Obat dan Makanan (BPOM) selaku otoritas resmi. https://t.co/bwVXVYNjXk",,,,
Gatot tak mempermasalahkan meski Badan Pengawas Obat dan Makanan (BPOM) belum mengeluarkan izin uji klinis fase II terhadap vaksin Nusantara. https://t.co/EwauXmm5Zl,,,,
"Peneliti Vaksin Nusantara: Kami Diaudit dan Diawasi Sesuai Standar: Dia menambahkan, dalam pelaksanaan uji klinis tahapan penelitian timnya juga mendapat monitoring oleh badan independen, yaitu CRO atau clinical research organisation. https://t.co/IIEwJPJiR2",,,,
"@tirta_hudhi Coba dok bantu suksesin vaksin nusantara, knp sih meragukan kemampuan anak bangsa sendiri malah lbh percaya buatan org luar??
Stop mau di bego2in org luar, toh mereka dan kita sama2 lahir dari spermatozoa 🤣🤣",,,,
Millenial Indonesia Apresiasi Vaksin Nusantara Buatan Anak Bangsa https://t.co/uayIV8yBmw,Percaya,,,
Millenial Indonesia Apresiasi Vaksin Nusantara Buatan Anak Bangsa https://t.co/79DSJ9596z,Percaya,,,
Millenial Indonesia Apresiasi Vaksin Nusantara Buatan Anak Bangsa https://t.co/HTNNiyhFaz,Percaya,,,
"Sebenarnya semua juga rekan, jangan perduli drama deh!

https://t.co/ykh17mlmoj",,,,
"@SoundOfYogi Barusan di CNN ada anggota DPR galak bgt belain vaksin Nusantara pake narasi ""kita lebih flekxibel aja demi rakyat""

Anggota DPR ngomong ""demi rakyat"" berasa lagi masa pemilu",,,,
"Dikiranya kalau yg berbau luar negeri keren kalik

Ngatain vaksin Nusantara gak murni dlm negeri, lah namanya kerjasama apa gak paham kerjasama? Yg jelas VakNus dibuat di Indo dan idenya murni dr pribumi Indonesia

KZL aku mak 😕 https://t.co/v3x6FXRQCi",,,,
"PT DI Ambyar
Bukit Algoritma dikritik abis abisan..
Vaksin Nusantara tdk diberi ijin..
Yahhhh memang bangsa ini harus puas jadi jongos dan konsumen selamanya..
Ironis...",,,,
"Sekadar berbagi berita soal vaksin  yang itu....

https://t.co/OBNhxOL57l",,,,
Ini kayak nya iri sama vaksin nusantara....😀 https://t.co/foJFKzBImq,,,,
"@BPOM_RI merinci semua tahapan uji klinis vaksin nusantara, dinarasikan dg bahasa yg tegas. https://t.co/MpQ8UaduVY",,,,
"Nyatanya Vaksin Nusantara sdh dipakai oleh Sultan Menteng @aburizalbakrie

prodak dalam negeri harus lebih di apresiasi @KemenkesRI @TeddyGusnaidi  @PBIDI @pengarang_sajak

#vaksinnusantara
#pdiperjuangan
#gesuriid

https://t.co/FSUbcKKQeZ",Percaya,,,
"Sejumlah anggota DPR dan para tokoh lain seperti Gatot Nurmantyo ikut uji vaksin Nusantara. Tak langsung disuntik, begini lho proses pembuatan vaksin Nusantara. https://t.co/RAD4XEVVOP",Percaya,,,
"Disuntik Perdana, Aburizal Bakrie: Ini Vaksin Nusantara, InsyaAllah Berhasil
https://t.co/xT4SwcRIPV",Percaya,,,
"Vaksin Nusantara Gagasan Eks Menkes Terawan vs BPOM, Penny Kusumastuti: Kami Tidak Pilih Kasih
 
https://t.co/G2FQVD3Oeg via @tribunnews",,,,
"Ini kacau sih soalnya banyak yg kena efek samping tapi proses vaksinasi pake vaksin nusantara ini g di stop terus berjalan 
Huf https://t.co/tZzmMN73pd",Tidak Percaya,,,
"@5Kapten @KompasTV Penerima (Sufmi Dasco A.) dg sadar, rasional memilih vaksin Nusantara. Seandainya nanti terbukti ramalan Gatot bhw metode ini 2 tahun lagi akan  mendunia, apa kata bpom idi?",Percaya,,,
"@ProfesorZubairi Prof, biarkan saja Vaksin Nusantara diuji cobakan ke anggota DPR.  Kalau bisa semuanya malahan.
One can only hope, mumpung di bulan Ramadhan pula, ....",,,,
"@P3nj3l4j4h_id Barusan saja tadi siang baca thread tentang issue vaksin Nusantara, akhirnya gue sedikit tau kenapa itu vaksin belum layak dan tetap mau dipaksakan.
https://t.co/K4UbGvXdjo",Tidak Percaya,,,
"Maju terus Dok ....
Cuekin aja mereka 2 itu https://t.co/PWo5qYlUHK",,,,
"Antigen virus yang dipakai dalam vaksin Nusantara diketahui dari AS, yang belum diketahui seperti apa sequence genomic-nya. #kumparanNEWS https://t.co/Ti7EIUiFHf",,,,
"Kenapa vaksin nusantara dipolitisasi? 
Saya jadi gak percaya vaksin nusantara. 
Sebab
SAYA GAK PERCAYA POLITIKUS.",Tidak Percaya,,,
Kejanggalan Vaksin Nusantara: Data Keamanan Diganti hingga Inkonsistensi #Vaksin #PenerimaVaksinCovid19 #Kariadi #AmerikaSerikat #BadanPOM https://t.co/LUiDIoyVQL https://t.co/xtTGyRDPB1,Tidak Percaya,,,
Anggota DPR Disuntik Vaksin Nusantara Kamis Pekan Depan https://t.co/wW1VN44fpg,,,,
"Vaksin 'dari' luar, pasang label nusantara

Seperti beli barang entah darimana, trus bikin cap sendiri

Gitu kah cara mainnya? https://t.co/7BfXg4ftn6",Tidak Percaya,,,
@alfi_kurniadha Silakan dibaca. :) https://t.co/jXtWR62ZQT,,,,
"@arifbsantoso @RodriChen https://t.co/f32yj0YdqG

71,4% wow sekali...",,,,
"Sejumlah anggota DPR dan para tokoh lain seperti Gatot Nurmantyo ikut uji vaksin Nusantara. Tak langsung disuntik, begini lho proses pembuatan vaksin Nusantara. https://t.co/gDgatXVrKP",Percaya,,,
"Sejumlah anggota DPR menjadi relawan vaksin nusantara besutan mantan Menteri Kesehatan, Terawan Agus Putranto. https://t.co/3b7xYuQgXF",Percaya,,,
vaksin nUSAntara,,,,
DPR Klaim Vaksin Nusantara Tak Langgar Ketentuan Apapun https://t.co/eorIadCNDN,,,,
"Kata Ketua Fraksi PAN Usai Ikut Uji Klinis Vaksin Nusantara: Banyak Peminat, tapi Dibatasi

Klik untuk baca: https://t.co/hs2KDdqLqT",,,,
"Kepala Badan Pengawas Obat dan Makanan, Penny Lukito mengklaim tahapan riset dan pengembangan Vaksin Nusantra belum memenuhi sejumlah standar yang ditetapkan BPOM.
-
VIDEO: Ini Alasan BPOM Belum Setujui Vaksin Nusantara
https://t.co/lak6bKep2C",,,,
"@tirta_hudhi Dok tolong bikin video tentang vaksin Nusantara dong dengan bahasa yang lebih ""awam"" aku kesulitan mencerna thread2 yg panjang itu 🙏",,,,
"""Vaksin Nusantara merupakan produk perusahaan obat asal Amerika Serikat, AIVITA Biomedical yang dikembangkan oleh perusahaan Indonesia PT Rama Emerald Multi Sukses""

https://t.co/cMpFME6fjr. https://t.co/bT9xFZkVtT",,,,
"""Kata pihak RSPAD, banyak yang mau divaksin. Tetapi mereka batasi. Mereka masih fokus pada studi dan penelitian yang dilaksanakan,"" kata Saleh. https://t.co/rrihBPhaXw",,,,
"Berita diatas sy up lg karena tadi rame pada up berita tentang ini🤭

Bahkan pada muji muji gatot dan ical yg selama ini kontra dg pak presiden.

Padahal sikap Pak Presiden jelas tentang vaksin ini.😌
https://t.co/xOprn22G13",,,,
DPR Klaim Vaksin Nusantara Tak Langgar Ketentuan Apapun https://t.co/wpszMGbrc5,Percaya,,,
