Tweet,Nilai
"@prasdiman Sebelum semuanya dimulai, pembekuan darah di otak",
"Rangkaian #TiensCalciumSeries bantu jaga tulang dan gigi, kerja sistem syaraf, pembekuan darah &amp; kontraksi otot. 

#NutrientCalcium (diatas 12 tahun)
#CalciumforChildren (dibawah 12 tahun)
#ShutangCalcium (penderita diabetes)

Pesan sekarang di https://t.co/0V8hh3gLGR

#tiens https://t.co/XQ1kM5xDfy",
Ahli Farmakologi Jelaskan Terkait Efek Pembekuan Darah Vaksin AstraZeneca https://t.co/yn7OqkZyGJ,
Ahli Farmakologi Jelaskan Terkait Efek Pembekuan Darah Vaksin AstraZeneca https://t.co/yi3cwZF2vi,
"Rata-rata semua jenis obat memiliki interaksi dgn warfarin (obat antikoagulan atau pengencer darah atau obat utk mengurangi pembekuan darah). Biasanya diresepkan dokter untuk penderita stroke atau serangan jantung.

So, be careful. Hati-hati minum/diresepkan obat dengan warfarin. https://t.co/YZzTtYcxBd",
"@Muchsin26971161 @AbuKarima8 @New_Reborn989 Flu biasa tidak pernah menyerang paru, hanya saluran nafas
Covid-19  bahkan bisa menyebabkan gangguan pembekuan darah yg tdk bisa kami kendalikan

Saya bergulat sejak awal sampai kini, bicara berdasar keilmuan, atas Nama Allah SWT satu2nya zat yg saya takuti 🙏🏻",
"@poenyapaoel Engga, patah tulang dalam tapi sempat pengobatan alternatif ditusuk jarum panas, jadi berbekas kaya gitu.
Ada bekas pembekuan darah juga.",
"Hingga hari ini otoritas kesehatan beserta tim ilmuwan di seluruh dunia belum tahu pasti mengapa kasus-kasus pembekuan darah terjadi pada beberapa orang penerima vaksin AstraZeneca dan Johnson &amp; Johnson.

https://t.co/w1oGg0m40h https://t.co/7PjetcYgwd",Tidak Percaya
"@bingulatte Iya jg ya.. adik aku pns, td pagi vaksinasi diganti sinovax, pdhl awalnya ktnya pake astra. Moga² semua batch dihentikan aja deh... ngeri efeknya pembekuan darah itu. Di UK n Aussie jg aku baca bbrp dihentikan",
"“Vaccine racun, aku anti vaccine. Aku percaya makanan sunnah je. Ada kena covid walaupun dah amik 2 dose.  Vaccine boleh buat pembekuan darah” “Mana kau tau?” “Kau pergi tgk whatsapp group” bro gtfo 😩😩",
"pembekuan darah gue cepet banget ya, tadi kan kepentok tuh tapi awalnya ga sadar, lama² ngerasa ngilu gitu terus pas di cek ternyata berdarah, terus aku ngetweet di twitter terus nyari minyak telon, pas mau diobatin ternyata darahnya udah ngebeku, padahal lumayan gede lukanya🥺",
@HappyonYon kalo gaslah itu gra2 peredaran darah kda lancar jd pembekuan kytu drahnya timbul jd biru2 kytu,
Seorang pria yang terinfeksi Covid-19 tanpa gejala memiliki keluhan pembengkakan di lengan kirinya. Hasil diagnosis menunjukkan adanya pembekuan darah https://t.co/zuQe7kaLbJ,Tidak Percaya
@xmxlrfn Iyah satunya itu yg masih banyak kasus ya pak.. Apalagi banyak kasus pembekuan darah di eropa dan amerika. Yg di indonesia kmrn ada 2 yg meninggal juga katanya.,
"@RTM_Malaysia @PMRMachang Vaksin ni kebanyakan juga tidak diuji kepada pesakit yg ada mengambil ubat2 tertentu dan tak tahu kesan2nya.  AstraZeneca sekurang2nya jika berlaku kompilasi, pada Dr sudah tahu kesan pada pembekuan darah.  Tapi Pfizer yg sintetik ni mcm2 boleh berlaku dan simtom kesan tak jelas",
"Perlu ditambahkan juga dari ilmu Virology, virus Influenza (Orthomyxovirus), virus parainfluenza (Paramyxovirus)  dan Adenovirus mengaglutinasi darah(mengakibatkan pembekuan darah, sedangkan virus Sars-Cov-2 tidak menyebabkan aglutinasi darah. https://t.co/jBR5kpu0gb",
Pernah tangguh ekoran isu pembekuan darah #malaysiagazette https://t.co/yf8sfn6U7B,
"@bertanyarl yang kedua waktu kelas 1 sd, jatoh dari langit2 rumah, ternyata ada pembekuan darah di kepala, muntah darah 2 kali, tapi untungnya langsung di bawa ke rumah sakit dan di operasi 2hari kemudian, mana operasinya pas takbiran idul fitri, experience yang bener-bener campur aduk",
Manajemen Risiko KIPI Pembekuan Darah Vaksin Astra Zeneca @aik_arif @iic_a @dirgarambe @ProfesorZubairi @DokterAri @blogdokter @drpriono1 @septian @LaporCovid @firdzaradiany @mharisman @BudiGSadikin https://t.co/DqhfIXG7Mm,
"@Aripp1nya @kkmanti @WongAlasRoban Pada prinsipnya AstraZeneca itu aman dan masih boleh banget digunakan. 

Kejadian pembekuan darah dari vaksin ini juga sangat jarang dan dapat diobati pada beberapa kasus di Eropa. Pun yang diduga bermasalah hanya Batch CTMAV547 saja.

baca thread ini 👇
https://t.co/AHtc2evP5D",
