Tweet,Nilai,,Percaya,,Tidak Percaya
Sejumlah ahli sebut metode vaksin Nusantara lebih cocok untuk pengobatan kanker dibandingkanuntuk melawan virus Covid-19. Tak layak disebut vaksin. https://t.co/aaDGMLeUZP,Tidak Percaya,,,,
"@___Mr_J03n4____ Jauh"" dr vaksin dech....di vaksin jg msh hrs pake masker trus gunanya apa tuch vaksin klo g bisa kebal tubuh kita dr virus..👎",Tidak Percaya,,,,
"Sejumlah anggota DPR RI kemarin telah mengikuti uji klinis vaksin Nusantara. Padahal vaksin ini sendiri belum dapat lampu hijau dari BPOM untuk uji klinis Fase 1, tetapi uji klinis ini tetap dilakukan hingga Fase 2.
https://t.co/N6Z7TQhldb",,,,,
@ashrepett vaksin,,,,,
"Ngebet disuntik vaksin buatan Terawan, Siti Fadilah: Saya ahli, jadi tahu risikonya https://t.co/TeoLvrNQ0Q lewat @Repelita",,,,,
"New post in LawanHoaks: [HOAKS] Data WHO Sebut 377 Orang dari Setiap 100.000 Orang Meninggal karena Vaksin

https://t.co/nSU8RbtS7j https://t.co/BcugOAZOZl",,,,,
"@6789xx1 haritu they planned to derma 50,000 vaksin to bosnia. taktaulah betul ke tak but??? rakyat sendiri tak cukup bekalan??",,,,,
"orang yg tahu intrik dan politik di blkng ni vaksin udah pasti ogah, lihat aje kejadian ikutannye banyak tapi uji klinis malah ga berhenti. 

https://t.co/FtXwUa4zBH",Tidak Percaya,,,,
@ReniMeidayanti Ini laper pusing ngantuk tapi gak bisa bedain efek puasa apa vaksin 🤣,,,,,
"@carlaclaudiaw wkkwkw parah, kt so vaksin bru ad jdwl vaksin keluar utk smua balai😂😂😂😂",,,,,
"Kenapa aku lemah sekali, di vaksin langsung klenger 😣",Percaya,,,,
Apa setelah vaksin terus sertifikatnya di upload ke story itu bakal dapat reward gitu ya?,,,,,
"Hidup @pemudanegara_my! 

We will continue to support the whole-government and whole-society approach in making sure the success of National Immunisation programme! 

Siapa belum daftar, sila daftar di @my_sejahtera untuk vaksin

#LindungDiriLindungSemua https://t.co/QE8ReynHWU",,,,,
"Mantan Panglima TNI Gatot Nurmantyo diketahui ikut mengambil darah di RSPAD Gatot Soebroto untuk dibuat jadi vaksin nusantara, vaksin Corona berbasis sel dendritik besutan dr Terawan Agus Putranto.
https://t.co/1d8o7Qt6UY",,,,,
@byrxihxn they derma vaksin to other country????,,,,,
"@ZSP____ Wah, harus vaksin dulu ya bang?

by te way ke Aceh mana?",,,,,
"Sejak di Vaksin,ko nafsu makan lebih bergairah ya😆😅",Percaya,,,,
Ini Alasan Denmark Batalkan Vaksin AstraZeneca https://t.co/kuQ94u5Wbk,Tidak Percaya,,,,
@E_Blackbeard Kena vaksin dulu sebab aku makan ni pun dekat jepun sana.,,,,,
Boleh pulak derma 50 ribu vaksin kat bosnia. Sampai abang jamil mampus la kita ni tak dapat vaccine. Butoh. https://t.co/eMatHVITOM,,,,,
"Bismillah... 
In syaa Allaah Siap di Vaksin Covid - 19.

 #menunggujadwaldiVaksin",Percaya,,,,
"@indria_vitri Sy divaksin pake sinovac gejala nya ngantuk berat mbak, lengan juga rasanya kyk agak bengkak gitu, gejalanya cuma 1 hari aja sih, besoknya udah hilang. Tmn2 yg lain juga sama efeknya 😂 ini msh nunggu jadwal vaksin keduanya.",Percaya,,,,
"@RaiTeguhParjaya @kompascom Ya gimana, pihak vaksin nusantaranya juga cuma ngasih statement ""karya anak bangsa"" atau ""cintai produk dalam negri"", itu pun jubirnya anggota DPR",Tidak Percaya,,,,
"Makan kd lagi, langsung be vaksin 😬 https://t.co/VFIc7E2fJP",,,,,
Karimun Butuh 56 Ribu Dosis Vaksin Khusus untuk Lansia https://t.co/G8X5QLmYsl via @harianbatampos,,,,,
"@rizkynirwandhi Jadi.. satu2nya yg bisa ditolerir cuma yang nomer 6 untuk saat ini. Aslinya juga pasti di dukung asalkan saran BPOM di patuhi, pengembangan ga grusa grusu dan sesuai kaidah pengembangan obat yang terstandar. Kita ga mau aja malah hasilnya adalah vaksin abal2",,,,,
So pregnant dgn bf mom dah bole ambik vaksin la kan?,Tidak Percaya,,,,
"Bambang Brodjonegoro selaku Menteri Riset dan Teknologi/Kepala Badan Riset dan Inovasi Nasional (BRIN) berharap agar Vaksin Merah Putih yang masih diteliti efektif melawan berbagai varian COVID-19.
https://t.co/6i4U4G9FOZ",Percaya,,,,
@pengarang_sajak Vaksin Nusantara ganti aja namanya jadi Vaksin Wicis pasti BPOM dan MUI langsung woookeee 🤭 ...,,,,,
"Hari ini dapet jadwal vaksin di Senayan, lagi nunggu antriannya panjang juga ya Bun banyak orang yg mau divaksin.
Berasa kaya mau nonton konser🙄 https://t.co/d12IlhTB2u",Percaya,,,,
Rumania Tanggguhkan Penggunaan Vaksin Covid-19 Johnson &amp; Johnson https://t.co/NIWelPsakY https://t.co/dpmzLMH35d,Tidak Percaya,,,,
"@HendroWibowoYZA @TirtoID Lu mau mati sia"" kah? Itu vaksin nya harus sesuai biar apa biar bisa digunakan kalo bukan manusia yg gunakan oke lah tapi ini untuk manusia yang benar ajah ding kalo ngomong,",Tidak Percaya,,,,
"Uji Klinis Vaksin Nusantara, 71 Persen Peserta Alami KTD https://t.co/yFJOTz6dA9",,,,,
"KJ cakap, 60% yang dah 'dijemput' suntik vaksin Fasa ke-2, tak respon lagi jemputan. Hmmmm yang dah daftar dari first day ramai lagi yang tertunggu-tunggu 🙄 
Bantu jawab survey and voice out your opinion~ 
https://t.co/1phQUfBBPx",,,,,
@schokocatcher Emang gak ada consent gitu sebelum vaksin?,,,,,
"@HendroWibowoYZA @TirtoID Setuju, jangan karena ada ketidaksesuaian dalam pembuatannya, misalnya dalam hal ini tidak steril lalu dihambat, izinin aja, toh semua orang pasti mati, lagian kalo pinter ya mana mau disuntik vaksin yg gak lolos uji BPOM, jadi sekalian memfilter mana org goblok mana yg enggak",,,,,
"Beres vaksin ngarep dibagi nasi box, isinya nasi rendang padang 😂",Percaya,,,,
"@IdKalimantan Selamat Abang . 
Smoga sehat terus.. 

Ga kena vaksin Nusantara donk",,,,,
"@__earth Mengharapkan vaksin menyelesaikan masalah, mmg problem tuan. Tp tgk gaya vaksin ni pon belum benar-benar berkesan .",,,,,
"@indria_vitri Iya kl kata yg udh divaksin sih abis divaksin paling pegel bentaran doang. Nah kalau milih ini gatau juga sih kak bisa apa engganya soalnya pas vaksinasi kemarin tuh yg dipake sinovac semua (krn emang vaksin lain blm datang), kalau ntar belum tau nih gimana :(",,,,,
"@yunartowijaya Menurut hasil survei, corona takut sama vaksin yang berbau Nasionalis",,,,,
"Vaksin COVID-19 Johnson &amp; Johnson Dihentikan Akibat Kasus Langka
https://t.co/VsSIjQnCJN",Tidak Percaya,,,,
"Bupati Sleman Terpapar Covid-19 Sepekan Usai Disuntik Vaksin

Jadi vaksin bukan jaminan kebal ya

#programfolback 
#IndonesiaSehat 
tetap jaga prokes ya

https://t.co/49iKcL3GZd.",,,,,
"Meskipun kita divaksin apapun jenis vaksin nya, 😏ya tetap aja prokes tetap jalan, seperti pake masker dll, ya kalau begitu ngapain di vaksin? #vaksinbukansolusimengakhiripandemi",Tidak Percaya,,,,
@HendroWibowoYZA @TirtoID Kalo mau cepet silahkan berpartisipasi jadi tikus percobaannya vaksin nusantara 🤣,Tidak Percaya,,,,
"@doubleuiem @fbangapadang @na_dirs Wkwkwkwk...Terawan counter attack dengan klaim ""Vaksin Nusantara"", orang awam yg namanya netizen ibarat anak ayam kehilangan induk ngga ada rule yg jelas barbar primitif intinya membenarkan yg salah atau sebaliknya, kasihan netizen indo kumpulan anak ayam yg terjebak fakta/fake..",,,,,
Dinas Kesehatan DKI Jakarta memastikan vaksinasi di Jakarta tetap berjalan meskipun penerima vaksin sedang menjalankan puasa. Vaksin aman jadi jangan khawatir. Pemerintahan Jokowi berharap agar vaksinasi bisa berjalan dengan lancar di bulan Ramadhan ini.,Percaya,,,,
"@geloraco Vaksin Sinovac diakui WHO ga sih, kalau ga diakui, sebut saja dengan vaksin Palu Arit PKC !

Biar terang benderang...",Tidak Percaya,,,,
"Segala sesuatu yg ada ""Nusantara"" nya, adalah kaleng2 (???)

 https://t.co/QHsexHtmty",,,,,
"@drpriono1 @tamrintomagola @BPOM_RI Ini kebutuhan yg mendesak, hanya sedikit pilihan, seluruh dunia membutuhkan sementara produksi tdk memadai, kl hanya tdk steril masih bisa ditoleransi. Jd BPOM hrs proaktif utk menyelamatkan masyarakat. Krn tdk ada vaksin yg bebas dr efek samping, yg utama tdk fatal.",,,,,
"Peminat Vaksin Nusantara Antre, BPOM Minta Diulang dari PreKlinis https://t.co/fTLWKlUYhE",,,,,
Indonesia juga sudah melakukan uji klinis vaksin lebih dulu. Bio Farma juga berkoordinasi dengan baik dengan seluruh pihak mulai dari Kementerian Luar Negeri dan Kementerian BUMN terkait pengadaan vaksin. https://t.co/zVgWjL915x,Percaya,,,,
"@rizkynirwandhi 3. .... Padahal dpr sendiri sudah di vaksin sinovac sebelumnya. Jadi mau nguji apa?
4. Secara bahan material ini impor semua dan peneliti juga mayoritas dari amerika jadi kurang tepat menyematkan label lokal. Ini cuma vaksin luar yg dikembangkan di indonesia",Tidak Percaya,,,,
Berita terbaru: Maya Rumantir: Maya Rumantir Dukung Terobosan Anak Bangsa Ciptakan Vaksin Nusantara https://t.co/fS3MimEn4z,Percaya,,,,
@nomersijii isok e aku blm vaksin:(,,,,,
"Hingga Mei, Pemkot Bandung Targetkan Vaksin 36.000 Guru dan Tenaga Kependidikan https://t.co/ivH5PZkavK #infoBDG https://t.co/KaAKrQyWi5",,,,,
"@PLindungi terdapat kesalahan penulisan NIK di sertifikat dan surat keterangan vaksin saya. 

Mohon bantuan untuk revisi. Datanya sudah saya email dengan subyek ""KESALAHAN/REVISI NIK""",,,,,
"@sam__mir Iya disini jadinya dicancel padahal tadinya aku mau vaksin astrazeneca aja kalau bisa biar efeknya maksimal, cm ya udh gak boleh 😔",,,,,
"@rizkynirwandhi Ini ki yang bikin banyak org jadi kesel

1. Uji klinis fase 1 udah ga layak buat lanjut ke fase 2 tp tetep di terobos tanpa menghiraukan rekomendasi BPOM
2. Anggota DPR bahkan sampai meminta BPOM untuk segera meloloskan uji dari vaksin nusantara ini
3. DPR berani jadi uji coba...",,,,,
"[Live @ NS Daily]

Menteri Sains, Teknologi dan Inovasi melawat Pusat Pemberian Vaksin (PPV) Kerajaan Negeri Sembilan.

Dewan Majlis Bandaraya Seremban,
Jalan Yam Tuan.

Khamis, 15 April 2021",,,,,
@abcdefifnh @fsaputra__ semangatttt vaksin ke duaaa,Percaya,,,,
Vaksin Dosis Dua Untuk Guru di Karanganyar Disiapkan Akhir Bulan Ini https://t.co/5ie6vgEXJs,,,,,
Unair: Vaksin Merah Putih Diproduksi Massal Akhir 2021 https://t.co/gRQXlr3kB4,,,,,
"@izzulrizl Ini lagi nunggu vaksin dulu Bang,,
Siap vaksin langsung meluncur balek ke Aceh .. 🤲🏻🤲🏻",Percaya,,,,
"@ancamade @Hizbuhnf Serius nanya, cip macem apa yang bisa dimasukin ke tubuh melalui cairan vaksin? Atau emang bisa ya?",,,,,
@nazzah5597 Bila lah nak balik. Suruh dia vaksin dulu kalau nak balik.,,,,,
Vaksin CBU aja bangga karya nusantara https://t.co/p7QwNckwc8,,,,,
@iKmisHyunjin jadi ayam lah genteng satu pilkada enggak tua kenapa maka rambutan ih yutup semua vaksin kagak enem gila hah wewegombel,,,,,
@drpriono1 @agussari @BPOM_RI Berati vaksin sinovac ama astra ga rekomended,Tidak Percaya,,,,
Dah la kita bayar sendiri je la vaksin tu🤧,,,,,
Lol datang ambik vaksin pakai baju camtu https://t.co/LSCInBSJDL,,,,,
"Ramai Politisi Ikut Vaksin Nusantara, Rocky Gerung: Terlihat Ada Semacam Pemberontakan Diam-diam
https://t.co/B7m7AgBA2w",Tidak Percaya,,,,
aku habis vaksin gais https://t.co/NNhVZwC7fa,Percaya,,,,
Kekacauan informasi terkait penerimaan vaksin Nusantara oleh DPR dianggap sebagai langkah politisasi vaksin oleh DPR. https://t.co/5XoY0xuUI5,Tidak Percaya,,,,
"@drpriono1 @politikana @BPOM_RI Misteri? Ga usah ndakik"" Drama itu transparan kok ada di web clinical trial US. 

Org bebas pake vaksin apa aja mau itu made China or US utk nyawanya, Adian Napitupulu udah pake 5 ring jantung, ngapain pake Vaksin Nusantara klo ada vaksin lain bagus. 

https://t.co/exySRgxaH3",,,,,
"@tommyhariantogb @TeddyGusnaidi Tapi komponen Vaksin Nusantara juga bahannya dari USA, gimana dong?",,,,,
"@dr_koko28 paspor vaksin digital uda diterapkan di bbrp negara dok, termasuk dinegara kami berdomisili..

jadi klo uda komplit 2nd dose vaksin, di aplikasi kesehatan yg ada di hp ada keterangan vaccinated..
bisa di’print jg brupa sertifikat",,,,,
@PreciousBloomf2 @ulyahusamudin @Khairykj Pi la check bahan apa dorang guna kat vaksin ni. Lepas tu try boh kat darah Warga emas. Tengok kesan dia apa. Siapa saintis try buat ujian. Karang aku cakap tak laku sebab aku marhaen je. Pi buat kajian sendiri.,,,,,
Group vaksin kat Banting rini is for cikgu-cikgu yang ada penyakit. mama's 1st vaksin.  😬,,,,,
@JLukup @detikcom Apa ndak boleh kalau dr Amerika  vaksin vaksin yg lain juga dr luar indonedia  salah di mana,,,,,
"@tirta_hudhi Dok mau tanya, ini beneran apa hoax? Vaksin sinovac bikin impoten? Bener gak dok ini? Sorry kudet saya.",Tidak Percaya,,,,
Vaksin thp 1 done,Percaya,,,,
"@ciksayhaaaaa Dah la tunggu vaksin pun lama. Mana tak naik kes, yg rentas negeri tu guna alasan palsu pun lepas",,,,,
katanya sesuatu yang masuk dlm tubuh tu membatalkan puasa. w abis vaksin aturan batal dong.,,,,,
"https://t.co/DNTSCvSnqf

Product Import memang gurih duitnya 
Product sendiri dilepeh2 
Welcome to Indonesia",,,,,
"Sebanyak 71 Persen Relawan Alami Kejadian Tidak Diinginkan, Keamanan Vaksin Nusantara Dipertanyakan https://t.co/pVZLKv1qql",Tidak Percaya,,,,
"@LeeHyunMun87 @ulyahusamudin @Khairykj OK,
Semoga dipermudahkan urusannya vaksin satu ahli keluarga kamu.",,,,,
"@must_gwuon Gue ogah di vaksin 😫
#SidangIBHRS_DramaRezim
#SidangIBHRS_DramaRezim",,,,,
"@ramayanti81 @goldstar41 @HPringgondani Selain penggunaan vaksin untuk melawan virus covid-19,bisa jg dngan herbal, vitamin,ekstrak yg mengandung bahan-bahan alami akan efektif melawan virus covid-19.Salah satu ekstrak tsb adalah Ekstrak FRY81 yg terbukti mampu melawan virus Covid19.Ekstrak FRY81 bisa didapatkan GRATIS",,,,,
PPIM gesa kerajaan nyatakan SOP aduan dan ganti rugi kesan vaksin https://t.co/AN0yJTJBH2,,,,,
"@HeqalNajmi @ulyahusamudin @Khairykj Tak cayer boleh la try kat parents korang pulak. Aku bukan tuhan, aku ni hamba sebab tu ikut je. Aku pun kalau boleh nak bapak aku hidup. Tapi sebab dia Terpaksa ambik. Jadi kita kenal vaksin &amp; bahan Dalam tu. Nasib baik aku dah prepare.",,,,,
"Vaksin aman jadi selama Ramadhan tetap dilanjutkan vaksinasi, sebab kategori batal puasa adalah masuknya benda ke dalam perut seperti mulut, hidung dan telinga. https://t.co/CGfzhgY67j",Percaya,,,,
@vaksin_covid19 Mungkin bisa membantu 😂 https://t.co/vejlXzktaD,,,,,
"@schokocatcher Keluarga aku jg pas vaksin kmrn itu pake yg ada juga, tp kalau diliat2 vaksin yg ada di Indonesia lbh minim resikonya. Mudah2an efeknya tetep bagus ya dan selalu jalani protokol kesehatan, itu yg paling penting.",Percaya,,,,
@VIVAcoid https://t.co/i95ZN7uX7V,,,,,
"@djamtjoek berkat threadnya dokter @djamtjoek jd paham gunanya steril,vaksin,gak pernah beli lg obat2an dipetshop.kucing yg berkeliaran didepan rmh kl ketahuan sakit &amp; bisa dipegang insyaallah dibawa keklinik.",,,,,
"Kenapa ya utk Corona ini disebutnya 'vaksinasi' bukan 'imunisasi' spt penyakit lain?

Padahal sama2 yg disuntikkan adl vaksin dan tujuannya sama2 membentuk imunitas.

Cc Uda @ivanlanin",,,,,
@seeetian Kita yakin &amp; pasti berkenaan material Dalam vaksin &amp; kesannya pada manusia yg Warga emas. Tak caye boleh la try hantar parents yg umur 60++.,,,,,
"Hingga saat ini, sekitar 40 juta dosis vaksin Covid-19 sudah masuk ke Indonesia, baik dalam bentuk dosis  maupun berbentuk bulk atau bahan baku. Tentu saja dengan jumlah dosis sebanyak itu diharapkan proses vaksinasi berjalan lancar. https://t.co/NPoQ0nwO22",Percaya,,,,
"Kakanwil Kemenag Sumbar, H. Hendri bersama Kabag TU, H. Irwan, Kabid Urais, H. Edison, Kabid Papkis, H. Rinalfi dan ASN Kanwil Kemenag Sumbar Mengikuti Vaksin Tahap II di RS. M. Djamil Padang, Kamis (15/04). https://t.co/rVt354xerD",,,,,
"Karena tahun lalu sempet nguli di salah satu BUMN, alhasil dapet vaksin lebih dulu
#fotomainstreamdikalapandemi https://t.co/GaYQHu49F2",Percaya,,,,
"@na_dirs Eh tp bener gak ya gus vaksin sinovac bikin impoten? Saya kemaren baca baca di ig, ada yg mendadak impoten sehabis vaksin",,,,,
Kok efek vaksin aku rak ngerasakke opo opo ya,,,,,
MUI Kota Bandung menegaskan bahwa penyuntikan vaksin saat puasa juga harus memperhatikan pertimbangan kesehatan. Jika penerima vaksin merasa kondisi kurang sehat sebaiknya penerima vaksin membatalkan puasanya. Jokowi tekankan agar masyarakat harus dalam kondisi fit untuk vaksin.,,,,,
@imanagentz Belom vaksin?,,,,,
"@thearuum Kalau di atas 60 itu bisa dibilang gapapa, krn penggumpalan darah ini penyebabnya perubahan hormon. Kolega aku yg usia 60 pas vaksin ga ada efek samping sama sekali.",,,,,
@MrsRachelIn vaksin nUSAntara katanya,,,,,
Ini “perang” vaksin nusantara sama BPOM dibiarin aja sama Menkes nih? Kasian lah BPOM suruh ngurus ginian https://t.co/hQjlRkjNNa,,,,,
"Gak jadi vaksin hari ini, gak tau harus seneng atau gimana :"") 😂",,,,,
ribet banget ini ibu-ibu nyusun rencana ngibul supaya bisa vaksin di kapolda -_-,,,,,
"Berbagai isu miring mulai dari penggumpalan darah hingga efikasi rendah menggoyang vaksin Corona. Tak terkecuali, vaksin Pfizer hingga Johnson &amp; Johnson. https://t.co/OECApSPj5u",,,,,
"btw, tambah kangen kamu itu efek samping vaksin juga kan?",,,,,
"Sinovac sampai sekarang belum dapat persetujuan FDA Amerika, gak heboh tuuuh.

Dikutip dari Reuters lhoo - https://t.co/fazzcHtU2r https://t.co/9BEbGyt7Jl",,,,,
"@na_dirs Mau asalnya darimana kek, mau namanya apa kek. Vaksin tetep untuk bisnis",Tidak Percaya,,,,
Habis vaksin kepala gua pusing sekarang lemes udah kayak abis sunatan tapi kagak dibius,Percaya,,,,
"@politikana Web uji klinis US udah update di web mereka dan org berhak nentuin mrk mo pake vaksin made in apa Cina or US. 

Adian Napitupulu itu udah pasang ring Jantung 5 klo ada yg lebih bagus dari vaksin nusantara dia mestinya pake vaksin utk nyawanya. 

https://t.co/exySRgxaH3",,,,,
Empat kereta polis escort van DHL.. Vaksin eh?,,,,,
Brasil Selidiki Laporan Penukaran Vaksin Covid-19 dengan Emas Ilegal https://t.co/OQtuXJE76t,,,,,
Agak takut vaksin,Tidak Percaya,,,,
@jytralala @adhikanry dhika abis di vaksin dapet super power,,,,,
Lawatan YB @khairykj ke Pusat Pemberian Vaksin (PPV) Kerajaan Negeri Sembilan bertempat Dewan Perbandaran Seremban https://t.co/PWvRANjUAk,,,,,
"Ini bacaan bagus buat yang ketinggalan informasi tentang Vaksin ""Nusantara"" yg ga ada sangkut pautnya sama anak bangsa sama sekali. Cuma jadi subjek uji klinis doang kitanya. Semua2nya dari US. https://t.co/nYWnsG31a4",,,,,
"@gresiahaan @na_dirs Cari berita dulu ttg vaksin Nusantara itu. Knpa smpe ada yg mau diujicoba pdhl bpom dh nglarang. Kecuali klo buzzer,mungkin akan mendukung penuh apa yg jd brief kliennya",,,,,
Vaksin Covid Fada Kedua Dah Start Ke Belom Ni?,,,,,
312 anggota Maritim Malaysia Sarawak terima suntikan vaksin https://t.co/u5bclpDGYd,,,,,
"Pemerintah lagi rame masalah Vaksin, Pemodal sama2 Kuat.
Vaksin nusantara vs Vaksin merah
Putih.

Dimana Vaksin yg Paling NKRI bakal laris di pasaran.
#SidangIBHRS_DramaRezim",,,,,
"Vaksin Nusantara bukan asli Nusantara

Tidak hanya menyesatkan publik tapi sudah membahayakan rakyat https://t.co/YdsfTDlsps",,,,,
Denmark jadi Negara Pertama yang Memutuskan Berhenti Total Menggunakan Vaksin AstraZeneca https://t.co/QXwQjZC1fP,Tidak Percaya,,,,
"@TirtoID B.P.O.M coba membantu percepatan produk vaksin yg diperlukan segera, jangan hanya tok mengamati, menilai, apalagi menghambat",,,,,
"Vaksin pak terawan kenapa diserang habis habisan yaa. Okelah kalo masih banyak kekurangan disana sini, tapi statement2nya menjatuhkan semua. Usaha anak bangsa untuk menciptakan vaksin sendiri dipandang sebelah mata. Yang kirakira tau alasannya boleh reply yaa",,,,,
"BPOM: 71,4 Persen Relawan Uji Klinik Vaksin Nusantara Alami Nyeri Otot, Gatal, Hingga Demam dan Batuk https://t.co/3R0sPvUzrt",,,,,
"Antara anggota DPR dengan BPOM, ya tentu lebih baik mendengarkan apa kata BPOM.  https://t.co/Y6ZLKl5fMC",,,,,
"Ayo vaksin, lawan Covid-19 dengan Vaksinasi 

@divisihumaspolri #polripresisi #poldasulsel https://t.co/1fG1RgCOQt",Percaya,,,,
https://t.co/gyrp5zNrCp,,,,,
"Ini klaim ngawur. BPOM blum pernah memberi izin uji klinis fase II.

Baca: ""Tidak ada izin uji klinik fase II yang dikeluarkan oleh BPOM untuk vaksin Nusantara,"" kata Rizka saat dihubungi CNNIndonesia, Rabu (14/4). https://t.co/mp4v1GGygJ https://t.co/LS4k5sbE2a",Tidak Percaya,,,,
"Vaksin aman selama puasa, Cairan yang dimaksudkan ke dalam tubuh melalui penyuntikan itu tidak membatalkan puasa. Hal itu merupakan proses pengobatan untuk mengakhiri pandemi ini. https://t.co/s8sMcMvDpL",Percaya,,,,
"BPOM menyebut ada banyak temuan dari uji klinis sebelumnya yang belum dibereskan oleh tim peneliti Vaksin Nusantara, salah satunya soal sterilitas dalam pembuatan vaksin.

https://t.co/EHHa4inDh3",Tidak Percaya,,,,
mereka semua blm vaksin ya. udh bisa pup sama pip di pasirrr. bisa diajak mainn. biasanya mereka kl siang di luar kl malem dimasukin ke rumah jd bukan anak rumahan 100persen wkwkw. agak cerewet kl laper sm ngajak main trs. jrg di kandang jadi lebih seneng kl dibiarin gt,,,,,
"Pengembangan Vaksin Nusantara, Ini Kata Charles

https://t.co/c7syyk438y #pdiperjuangan",,,,,
"@ZOO_FESS Tergantung ngasih makannya apa, pasirnya apa...

Yg fixed budget itu steril &amp; vaksin.

- Steril 200-1juta tergantung subsidi/gak
- Vaksin start from 150rb (tahun pertama 3x, tahun lanjutan dst 1x)",,,,,
"@dmasduqie @wiwithyulianto @drpriono1 @BPOM_RI Kata siapa import? Uji klinis US catut nama Indonesia jg, org berhak nentuin mrk mo pake vaksin made in apa Cina or US. 

Adian Napitupulu itu udah pasang ring Jantung 5 klo ada yg lebih bagus dari vaksin nusantara dia mestinya pake vaksin utk nyawanya. 

https://t.co/exySRgxaH3",,,,,
"@gheaprativi Sehat2 ya kaa, semoga bisa cepet vaksin",Percaya,,,,
"Vaksin kedua, done~ https://t.co/k26fyBwlwZ",Percaya,,,,
Denmark menyetop permanen vaksinasi AstraZeneca karena memicu pembekuan darah. Bagaimana nasibnya di Indonesia? Begini kata Kemenkes RI. https://t.co/PQJvUIpltA,Tidak Percaya,,,,
"sing disuntik, sing wis divaksin.
nek ra ono opo-opo, kari diklaim.
nek ono opo-opo, salahke vaksin sak durunge.

ngene iki termasuk prejudis ra?",,,,,
"*LAPORAN POLSEK PASRUJAMBE
  KONTROL PENYIMPANAN
  VAKSIN COVID-19 DI PUSKESMAS
   PASRUJAMBE * https://t.co/rCNNPvwufq",,,,,
https://t.co/5EwlVaFi29,,,,,
"@Mantova42167289 @FirzaHusain Pagi drun.. 
Gue puasa dong. 
Lo puasa panjang ya.. Ga ada nasi bungkus. 
Mrs gmana dibui? Kayanya betah tuh. 
Binatang emang kudu dikandang. Jangan lupa vaksin rabies 👍",,,,,
"Awal Puasa, 1970  Warga Karanganyar Terima Vaksin Dosis Kedua https://t.co/fqb8Qal3Lr",Percaya,,,,
@annenmaymarie Sama.. tapi kayaknya masih lama deh nunggu vaksin itu mungkin juni-agustus 😔 dan rambutku juga dah kusam parah diliatnya ga seger kek org blom mandi klo warna rambut trlalu pudar tuh bingungg😭,,,,,
"@yunartowijaya Mental inlander. Negara di Afrika mau bikin vaksin sendiri terhalang paten negara barat. Beruntung kita punya penelitian sendiri jadi nggak terhalang kapitalis barat. Tapi sayang, inisiatif anak bangsa ternyata dihalangi oleh komponen bangsa yang sangat yakin kita bangsa bodoh.",,,,,
@jass_fun @bharianmy Yo o o je kempen vaksin..penat menunggu tapi vaksin nan hadoo🤦🏻‍♀️,,,,,
@indomiesekardus vaksin,,,,,
"Ayo vaksin, lawan Covid-19 dengan Vaksinasi 

@divisihumaspolri #polripresisi #poldasulsel https://t.co/MjeKk4WBYM",Percaya,,,,
@e100ss Mhn info jika ada vaksinasi di area SBY ... Kami ingin ikut vaksin tsb.. trmksh 🙏,,,,,
"BPOM: Komponen Utama Vaksin Nusantara dr Terawan dari AS Semua
https://t.co/bAM8wJuOaw",,,,,
"Itu yang pada ga mau di vaksin kaum apa deh? Kaum intelektual kah? Kaum terlalu banyak berfikir kah? Kaum terlalu banyak mencari tahu di tempat yang salah kah? Kaum katanya katanya kah? 
Mumpung masih gratis bang, kalo udah berbayar nanti lu makin berisik.",,,,,
"@Pulotutui Boleh selit lagi 1-2 orang, kami nak vaksin juga. 😬",,,,,
Awas Modus Penipuan pasca Vaksin https://t.co/HgKFnXrgte,,,,,
"Denmark akan secara permanen berhenti memberikan vaksin Covid-19 AstraZeneca, yang akan menunda peluncuran vaksinasi di Denmark beberapa minggu. Tanpa suntikan J&amp;J dan AstraZeneca, para ahli memperingatkan bahwa program vaksinasi Denmark mungkin tidak selesai sebelum akhir tahun.",Tidak Percaya,,,,
Vaksin hasil Naturalisasi 🇮🇩 https://t.co/SNaE47maFi,,,,,
@pengarang_sajak Bisnis besar vaksin itu bos... Jangan sampai terganggu dengan adanya vaksin lokal..,,,,,
Tak perlu masuk Parlimen pun dah tau isu kasi vaksin kat Bosnia ni isu bangang. Entah kenapa baik hati tak bertempat. Lain la kalau semua dah dapat vaksin dan ade lebihan bekalan barulah kalau bagi pun orang tak bising. Bayar bulan2 gaji mahal pun bangang takleh fikir https://t.co/GCLZ7FBvkK,,,,,
ayah dah dapat janji temu cucuk vaksin.. semoga dipermudah urusan dia,,,,,
"Dalam rangka rangkaian HUT Lab CITO ke-54, persembahan istimewa diberikan khusus kepada Komunitas Lansia, Guru, Nakes, dan TNI.

Sahabat sehat CITO bisa mendapakan harga spesial pemeriksaan Antibodi Kuantitatif pasca vaksin ke-2 selama bulan April dan Mei. https://t.co/uefZDVQII0",,,,,
"@sallyfauzi aku lagi nungguin jadwal vaksin dari kantor suami, kebetulan kantor suami ngasih jatah vaksin buat keluarga juga. kalopun harus vaksin pas puasa, aku sih oke aja, nggak batalin puasa ini",,,,,
"Heh, apa gimana-gimana?

vaksin nUSAntara terawan.

https://t.co/qLOpFk4EVo",,,,,
Vaksin tahap 2 Para Lansia yg berumur 60 Tahun keatas https://t.co/bLEFLAPQuk,,,,,
